atr_timeframe,tolerance_atr,width_bin,level_kinds,horizon_min,resolved,reversal_pct,vs_single_kind_pp,mean_favourable_atr,mean_adverse_atr,years_agreeing,years_testable
1,1,1.2-2.0,1,10,60,53.33,0.00,2.402,2.012,0/0,0
1,1,1.2-2.0,2,10,677,63.66,10.33,2.412,1.392,0/0,0
1,1,1.2-2.0,3,10,1594,62.42,9.09,2.317,1.421,0/0,0
1,1,1.2-2.0,4+,10,2913,63.47,10.14,2.354,1.352,0/0,0
1,1,1.2-2.0,1,30,69,53.62,0.00,4.285,3.921,0/2,2
1,1,1.2-2.0,2,30,754,58.36,4.73,4.033,3.113,1/2,2
1,1,1.2-2.0,3,30,1766,58.04,4.42,4.016,3.151,1/2,2
1,1,1.2-2.0,4+,30,3232,58.01,4.39,3.962,2.926,1/2,2
1,1,1.2-2.0,1,120,76,47.37,0.00,10.056,9.299,0/2,2
1,1,1.2-2.0,2,120,838,49.64,2.27,8.570,8.637,0/2,2
1,1,1.2-2.0,3,120,1951,52.49,5.12,8.564,8.076,1/2,2
1,1,1.2-2.0,4+,120,3503,54.38,7.01,8.391,7.119,1/2,2
5,0.25,0.0-0.7,1,10,953,59.81,0.00,1.087,0.706,0/4,4
5,0.25,0.0-0.7,2,10,2247,63.82,4.01,1.024,0.559,2/4,4
5,0.25,0.0-0.7,3,10,2757,66.34,6.53,1.030,0.460,3/4,4
5,0.25,0.0-0.7,4+,10,2605,68.10,8.29,1.055,0.385,4/4,4
5,0.25,0.0-0.7,1,30,989,56.72,0.00,1.857,1.502,0/4,4
5,0.25,0.0-0.7,2,30,2358,57.97,1.25,1.733,1.284,2/4,4
5,0.25,0.0-0.7,3,30,2911,60.39,3.67,1.711,1.092,3/4,4
5,0.25,0.0-0.7,4+,30,2778,62.28,5.55,1.667,1.012,3/4,4
5,0.25,0.0-0.7,1,120,1005,51.94,0.00,3.862,3.653,0/4,4
5,0.25,0.0-0.7,2,120,2494,54.05,2.11,3.666,3.294,3/4,4
5,0.25,0.0-0.7,3,120,3067,54.74,2.80,3.558,2.964,3/4,4
5,0.25,0.0-0.7,4+,120,2959,55.96,4.02,3.401,2.627,3/4,4
