year,sessions,node_class,arm,first_touch_events,per_session
2019,245,HIGH_VOLUME_NODE,TREATED,602,2.457
2019,245,HIGH_VOLUME_NODE,CONTROL_WIDTH_MATCHED,616,2.514
2019,245,LOW_VOLUME_NODE,TREATED,505,2.061
2019,245,LOW_VOLUME_NODE,CONTROL_WIDTH_MATCHED,516,2.106
2021,250,HIGH_VOLUME_NODE,TREATED,951,3.804
2021,250,HIGH_VOLUME_NODE,CONTROL_WIDTH_MATCHED,948,3.792
2021,250,LOW_VOLUME_NODE,TREATED,606,2.424
2021,250,LOW_VOLUME_NODE,CONTROL_WIDTH_MATCHED,580,2.320
2023,247,HIGH_VOLUME_NODE,TREATED,897,3.632
2023,247,HIGH_VOLUME_NODE,CONTROL_WIDTH_MATCHED,926,3.749
2023,247,LOW_VOLUME_NODE,TREATED,686,2.777
2023,247,LOW_VOLUME_NODE,CONTROL_WIDTH_MATCHED,636,2.575
2025,243,HIGH_VOLUME_NODE,TREATED,869,3.576
2025,243,HIGH_VOLUME_NODE,CONTROL_WIDTH_MATCHED,839,3.453
2025,243,LOW_VOLUME_NODE,TREATED,573,2.358
2025,243,LOW_VOLUME_NODE,CONTROL_WIDTH_MATCHED,545,2.243
