node_class,treated_n,control_n,treated_mean_atr,control_mean_atr,difference_atr,years_agreeing
HIGH_VOLUME_NODE,3319,3329,9.300,9.258,0.042,2/4
LOW_VOLUME_NODE,2370,2277,8.744,8.522,0.222,4/4
