arm,node_class,nodes,tapped,tap_rate_pct
CONTROL_WIDTH_MATCHED,HIGH_VOLUME_NODE,27667,1610,5.82
CONTROL_WIDTH_MATCHED,LOW_VOLUME_NODE,31045,901,2.9
TREATED,HIGH_VOLUME_NODE,27667,1566,5.66
TREATED,LOW_VOLUME_NODE,31045,871,2.81
