contract,family,freeze_time,max_smoothed_activity,median_smoothed_activity,p95_smoothed_activity,peak_plateau_count,profile_id,session_date,smoothing_half_width_ticks,source_date,year
NQH9,midnight,2019-01-18T09:30:00-05:00,3.69940047643789967548587663,0.6842352544430352220342962822,3.289480373221399298302718033,11,000181fe67c6fecf6c7d,2019-01-18,2,2019-01-18,2019
NQM9,opening_hour_rth,2019-04-29T10:30:00-04:00,2.135626184551746395340393477,0.877076820224640651495016987,2.076956074445101302867866851,8,0049442e3899ed9c34e6,2019-04-29,2,2019-04-29,2019
NQH9,full_overnight,2019-02-26T09:30:00-05:00,2.251970547450592285381251277,1.127305845743007695879348777,2.154743745276119632326920993,19,00671d426e6be9a5c330,2019-02-26,2,2019-02-26,2019
NQZ9,prior_rth,2019-09-20T16:00:00-04:00,2.660523128085126568203442837,0.8801561202610119123004681515,2.291999354961142207035317076,40,0078278d143e6b3ff2cc,2019-09-23,2,2019-09-20,2019
NQM9,prior_rth,2019-04-08T16:00:00-04:00,2.578141705771014550279446259,0.927707610331710892208322546,2.264768944993499492448142209,24,0182c5442c60e79f6612,2019-04-09,2,2019-04-08,2019
NQU9,opening_hour_rth,2019-07-12T10:30:00-04:00,1.796915596484413234592189549,1.06745512572809558519293407,1.743592965111501221743879792,5,0192f1f6f6dc6c7587bf,2019-07-12,2,2019-07-12,2019
NQM9,prior_rth,2019-05-24T16:00:00-04:00,2.592830296706676692941380378,1.04358605123360272125592134,2.43354267985505436428082268,21,01bba9e94bdea915d3c7,2019-05-28,2,2019-05-24,2019
NQM9,full_overnight,2019-06-12T09:30:00-04:00,3.101020963350288636325937897,0.7541187157209221916545048496,2.698263684900283908889495261,18,021e9b52893475eda8ad,2019-06-12,2,2019-06-12,2019
NQM9,full_overnight,2019-03-11T09:30:00-04:00,3.152163457546345232660626481,0.933279182679158782547388202,2.013882504031924766555836001,17,027d098d6cf4f482a46d,2019-03-11,2,2019-03-11,2019
NQZ9,opening_hour_rth,2019-11-21T10:30:00-05:00,1.796963425349555739271676554,0.905606163950408204912619904,1.747998329613023716580080086,7,02a8ea834d4edbb1447b,2019-11-21,2,2019-11-21,2019
NQM9,prior_rth,2019-03-11T16:00:00-04:00,4.019555623011256428287797249,0.7328819080598259102345848807,2.658828435311653197047825924,32,02d6c21c7b93b5712a96,2019-03-12,2,2019-03-11,2019
NQM9,prior_rth,2019-05-16T16:00:00-04:00,3.917220486544556301642095413,0.474152991452891632101970801,3.199691006064448676965243101,24,030771c5b9bcf1d3ee6b,2019-05-17,2,2019-05-16,2019
NQH9,prior_rth,2019-01-14T16:00:00-05:00,2.916209586757308012413904272,0.7189982061445657905674990796,2.738994260233424862448014121,12,0327f9c6289d20a35520,2019-01-15,2,2019-01-14,2019
NQU9,prior_rth,2019-08-27T16:00:00-04:00,3.029704370643070992671795234,0.863295793440416813736709548,2.492982268690274672753044854,35,038916c838e3f81240a8,2019-08-28,2,2019-08-27,2019
NQH9,midnight,2019-03-01T09:30:00-05:00,2.752175511949282069010418386,0.8686966262106006419221274066,2.601278345514923852416491182,5,03c21eab4c532627bdcf,2019-03-01,2,2019-03-01,2019
NQU9,midnight,2019-09-10T09:30:00-04:00,2.262995309498348392713128582,0.9968165944034405923152769455,1.998444789480706392857974066,11,03f2603e5e9a30fb6eb2,2019-09-10,2,2019-09-10,2019
NQH9,prior_rth,2019-02-14T16:00:00-05:00,2.885654299478765003376302629,0.921046618996575094529924771,2.40975499923013281596792541,15,042251ba58af8a687149,2019-02-15,2,2019-02-14,2019
NQH9,opening_hour_rth,2019-02-26T10:30:00-05:00,2.857875556992247763882838692,0.8813840978427489753399761285,2.615492396863048829565651579,10,044fc8d538e8d2cb0223,2019-02-26,2,2019-02-26,2019
NQZ9,midnight,2019-10-15T09:30:00-04:00,2.848013294014719528999894169,1.072130123105575541865809466,2.309949626042858897061602192,12,0470eeb58bcb2c7e309f,2019-10-15,2,2019-10-15,2019
NQH9,prior_rth,2019-03-04T16:00:00-05:00,2.165621948952296116059967873,1.017968239124450727289870554,1.979980170564784765299538591,40,04e69c645caeedcacc6f,2019-03-05,2,2019-03-04,2019
NQU9,midnight,2019-07-02T09:30:00-04:00,1.800582251770999556136007101,1.049236295160654753433669956,1.661547742540289980191920792,10,065916afcc9d0db18f2b,2019-07-02,2,2019-07-02,2019
NQZ9,opening_hour_rth,2019-12-13T10:30:00-05:00,2.050192335911254520756204123,0.9585668481255704149328818511,1.895125039742613973743434407,18,069a465479e66bbf20f7,2019-12-13,2,2019-12-13,2019
NQH9,midnight,2019-01-23T09:30:00-05:00,2.183653718151634965245448768,0.967596577689721586334544568,1.810972507410496810770147878,16,06c13f25f54f4501e90f,2019-01-23,2,2019-01-23,2019
NQU9,prior_rth,2019-07-30T16:00:00-04:00,4.231764361639379188733548992,0.3645018444143143442765509864,3.88729283374483419832826265,11,06e70b6f2a16b0882785,2019-07-31,2,2019-07-30,2019
NQZ9,prior_rth,2019-09-17T16:00:00-04:00,3.338140320803786172660713046,0.3823537244960357417697432153,3.094361429844290355056748637,15,06fc22a10dadfe91f9b3,2019-09-18,2,2019-09-17,2019
NQU9,full_overnight,2019-08-22T09:30:00-04:00,2.495276145924139470389723291,0.8354493456681816611398135491,2.143365915131231452218235551,23,0754eec74e603fc9404c,2019-08-22,2,2019-08-22,2019
NQU9,full_overnight,2019-06-26T09:30:00-04:00,4.578142049838656336865904503,0.7137503419562784761415496477,2.899738579140436260173151044,29,0816a70bca8da5dd37cf,2019-06-26,2,2019-06-26,2019
NQZ9,prior_rth,2019-09-23T16:00:00-04:00,2.651298499843903282416611537,1.034602872048456633619519275,2.211193309901835041787842317,12,0886830907bd7f562b9e,2019-09-24,2,2019-09-23,2019
NQM9,prior_rth,2019-05-14T16:00:00-04:00,3.490755428480014462530273153,0.9249346555527178388519901321,2.053433924157521968698724886,31,088dc15f93cd4106fdad,2019-05-15,2,2019-05-14,2019
NQU9,opening_hour_rth,2019-06-21T10:30:00-04:00,1.936890011510146137635895589,1.219545559306367446469262508,1.767676354161153972892070791,9,092399182ac8a87c17ab,2019-06-21,2,2019-06-21,2019
NQU9,midnight,2019-08-15T09:30:00-04:00,3.829062028906365943053366248,0.6793654327848859467383834675,2.893306996651762807346936162,48,098f84fa38635711bb8e,2019-08-15,2,2019-08-15,2019
NQM9,prior_rth,2019-06-07T16:00:00-04:00,6.132167788804473656601964419,0.3921987392865259324675403854,5.253427038317423605521411837,28,09946e5c23d4668a278e,2019-06-10,2,2019-06-07,2019
NQM9,full_overnight,2019-04-26T09:30:00-04:00,3.369340486775869057079371094,0.6995578387456802393515076977,2.908265378958594160508772237,17,09e63a4daac9f7527e52,2019-04-26,2,2019-04-26,2019
NQZ9,full_overnight,2019-11-12T09:30:00-05:00,2.918042475036093007156754373,0.813535545018247920045131187,2.225677149832714346652057437,14,0a4720417b22b0fe62ff,2019-11-12,2,2019-11-12,2019
NQU9,opening_hour_rth,2019-07-31T10:30:00-04:00,1.912960471436414871154892224,1.030662207013943584871143766,1.750122542288596755343226986,6,0acb9ac11443686ee1c3,2019-07-31,2,2019-07-31,2019
