check,value
accepted_nonpoc_zones,248
accepted_poc_zones,891
accepted_zones,1139
bars_admitted,430528
candidates_equal_accepted_plus_rejected,1
forbidden_year_rows_admitted,0
forward_outcomes_computed,0
max_accepted_nonpoc_width_ticks,28
min_accepted_width_ticks,3
nonpoc_broad_distributions,213
peak_candidates,14780
poc_broad_distributions,1
profiles_constructed,895
profiles_valid,895
rejected_candidates,13641
relationship_opportunities,1468
rows_admitted_from_archive,430528
rows_excluded_earlier_year,481125
rows_excluded_later_year,0
rows_skipped_non_outright,30906
tpo_value_areas,895
unique_physical_nonpoc_zones,248
unique_physical_zones,1139
volume_value_areas,895
