metric,count,mean,median,p75,p90,p95,minimum,maximum
accepted_all_width_atr,1139,1.468186497708020995381895478,1.459718516866095391850446092,1.829352932278544398864374728,2.015058466483032377059435671,2.114927948899265451466770284,0.4133460373696183749859099293,2.483169467052280646643468745
accepted_all_width_ticks,1139,12.29675153643546971027216857,12,15,18,20,3,30
accepted_nonpoc_width_atr,248,1.151322024698932809216078002,1.18524225642602572219358672,1.343208852833880036210769668,1.425464706491837363084973209,1.45952769155755141584204228,0.4135737699652605413506208539,1.499157613373337097422520862
accepted_nonpoc_width_points,248,3.296370967741935483870967742,3.125,4,4.75,5.5,1.25,7
accepted_nonpoc_width_ticks,248,13.18548387096774193548387097,12.5,16,19,22,5,28
accepted_poc_width_atr,891,1.556382220835129716110428292,1.624503626303136529974368045,1.88916775360119178642361269,2.054899886564832394322065936,2.1365685158889739414389714,0.4133460373696183749859099293,2.483169467052280646643468745
accepted_poc_width_ticks,891,12.04938271604938271604938272,12,15,18,20,3,30
