node_class,distance_atr,deadline_bars,treated_rotations,control_rotations,treated_mean_bars_held,control_mean_bars_held,bars_held_difference,bars_held_years_agreeing,treated_mean_further_extension_atr,control_mean_further_extension_atr,further_extension_difference_atr,further_extension_years_agreeing,consistent
HIGH_VOLUME_NODE,0.5,3,5104,5228,11.357,11.637,-0.279,3/4,6.119,6.362,-0.243,3/4,True
HIGH_VOLUME_NODE,0.5,5,5550,5630,11.328,11.647,-0.319,3/4,6.076,6.329,-0.253,3/4,True
HIGH_VOLUME_NODE,0.5,10,5780,5851,11.295,11.576,-0.281,4/4,6.043,6.270,-0.228,3/4,True
HIGH_VOLUME_NODE,1,3,3866,3962,9.711,10.536,-0.825,3/4,6.254,6.543,-0.289,2/4,True
HIGH_VOLUME_NODE,1,5,4637,4721,9.851,10.396,-0.545,3/4,6.177,6.482,-0.305,2/4,True
HIGH_VOLUME_NODE,1,10,5421,5474,9.823,10.244,-0.421,3/4,6.037,6.325,-0.288,3/4,True
HIGH_VOLUME_NODE,2,3,1764,1843,9.395,10.596,-1.201,3/4,7.393,7.547,-0.154,2/4,True
HIGH_VOLUME_NODE,2,5,2548,2651,9.232,10.581,-1.349,4/4,7.120,7.183,-0.063,2/4,True
HIGH_VOLUME_NODE,2,10,3801,3942,9.058,10.295,-1.237,4/4,6.772,6.832,-0.060,2/4,True
HIGH_VOLUME_NODE,3,3,765,856,9.350,10.786,-1.436,3/4,8.577,8.468,0.109,2/4,True
HIGH_VOLUME_NODE,3,5,1281,1396,9.304,10.480,-1.176,3/4,8.225,8.097,0.128,2/4,True
HIGH_VOLUME_NODE,3,10,2367,2541,9.396,10.093,-0.697,3/4,7.641,7.490,0.151,2/4,True
LOW_VOLUME_NODE,0.5,3,2711,2812,11.393,10.833,0.560,3/4,6.239,6.124,0.114,2/4,True
LOW_VOLUME_NODE,0.5,5,2934,3024,11.253,10.628,0.625,3/4,6.158,6.095,0.062,2/4,True
LOW_VOLUME_NODE,0.5,10,3028,3147,11.262,10.466,0.795,3/4,6.119,6.037,0.082,2/4,True
LOW_VOLUME_NODE,1,3,2058,2093,10.238,9.788,0.450,3/4,6.564,6.414,0.149,2/4,True
LOW_VOLUME_NODE,1,5,2465,2516,9.878,9.537,0.341,3/4,6.327,6.302,0.025,3/4,True
LOW_VOLUME_NODE,1,10,2828,2921,9.918,9.185,0.733,4/4,6.211,6.085,0.126,3/4,True
LOW_VOLUME_NODE,2,3,975,973,9.208,8.037,1.171,4/4,7.144,7.094,0.050,2/4,True
LOW_VOLUME_NODE,2,5,1376,1415,9.251,8.166,1.085,3/4,6.932,6.890,0.042,2/4,True
LOW_VOLUME_NODE,2,10,2047,2040,9.346,8.347,0.999,3/4,6.648,6.525,0.124,3/4,True
LOW_VOLUME_NODE,3,3,417,395,8.607,7.185,1.422,3/4,8.603,8.230,0.373,2/4,True
LOW_VOLUME_NODE,3,5,731,692,8.919,7.832,1.087,4/4,7.867,7.822,0.045,1/4,True
LOW_VOLUME_NODE,3,10,1332,1321,9.026,8.628,0.398,4/4,7.313,7.237,0.076,3/4,True
