node_class,excursion_atr,treated_n,control_n,treated_reaching_pct,control_reaching_pct,difference_pp,years_agreeing
HIGH_VOLUME_NODE,7.25,5867,5914,47.776,48.411,-0.635,3/4
HIGH_VOLUME_NODE,7.5,5867,5914,45.424,46.432,-1.009,3/4
HIGH_VOLUME_NODE,7.75,5867,5914,43.429,44.572,-1.143,4/4
HIGH_VOLUME_NODE,8,5867,5914,41.606,43.017,-1.411,4/4
HIGH_VOLUME_NODE,8.25,5867,5914,40.157,41.275,-1.118,4/4
HIGH_VOLUME_NODE,8.5,5867,5914,38.350,39.313,-0.963,3/4
HIGH_VOLUME_NODE,8.75,5867,5914,36.697,37.775,-1.078,4/4
HIGH_VOLUME_NODE,9,5867,5914,35.078,36.118,-1.040,3/4
HIGH_VOLUME_NODE,9.25,5867,5914,33.714,35.019,-1.305,4/4
HIGH_VOLUME_NODE,9.5,5867,5914,32.385,33.581,-1.197,4/4
HIGH_VOLUME_NODE,9.75,5867,5914,31.140,32.212,-1.071,4/4
HIGH_VOLUME_NODE,10,5867,5914,29.794,30.842,-1.048,4/4
