arm,node_class,nodes,tapped,tap_rate_pct
CONTROL_WIDTH_MATCHED,HIGH_VOLUME_NODE,98526,5914,6.00
CONTROL_WIDTH_MATCHED,LOW_VOLUME_NODE,121966,3184,2.61
TREATED,HIGH_VOLUME_NODE,98526,5867,5.95
TREATED,LOW_VOLUME_NODE,121966,3061,2.51
