horizon_minutes,population,control_arm,treated_events,control_events,treated_median_excursion_atr,control_median_excursion_atr,ratio,treated_p75,control_p75,treated_p90,control_p90,treated_median_net_atr,control_median_net_atr,full_years_treated_farther,underpowered
15,NONPOC,C01_NEUTRAL,1377,1369,6.138,6.060,1.013,11.048,10.661,17.335,17.101,2.606,2.524,3/4,False
15,NONPOC,C02_ACTIVITY_MATCHED,1377,1234,6.138,6.309,0.973,11.048,11.259,17.335,17.801,2.606,2.812,1/4,False
15,POC,C01_NEUTRAL,3148,3134,7.899,8.098,0.975,15.503,15.475,26.053,26.060,3.866,4.066,1/4,False
15,POC,C02_ACTIVITY_MATCHED,3148,2233,7.899,8.204,0.963,15.503,16.200,26.053,26.922,3.866,4.092,1/4,False
30,NONPOC,C01_NEUTRAL,1370,1358,8.239,8.195,1.005,14.330,14.519,23.275,23.638,3.732,4.016,2/4,False
30,NONPOC,C02_ACTIVITY_MATCHED,1370,1230,8.239,8.391,0.982,14.330,14.773,23.275,23.619,3.732,4.083,1/4,False
30,POC,C01_NEUTRAL,3133,3115,10.924,10.919,1.000,21.059,21.028,33.590,33.476,5.463,5.457,1/4,False
30,POC,C02_ACTIVITY_MATCHED,3133,2221,10.924,11.244,0.972,21.059,22.331,33.590,35.196,5.463,5.608,1/4,False
60,NONPOC,C01_NEUTRAL,1352,1339,11.152,11.209,0.995,18.282,18.953,29.576,30.099,5.211,5.202,2/4,False
60,NONPOC,C02_ACTIVITY_MATCHED,1352,1203,11.152,11.706,0.953,18.282,19.059,29.576,31.474,5.211,5.497,0/4,False
60,POC,C01_NEUTRAL,3103,3089,14.164,14.465,0.979,27.003,27.024,44.240,43.835,7.227,7.155,0/4,False
60,POC,C02_ACTIVITY_MATCHED,3103,2191,14.164,15.078,0.939,27.003,27.926,44.240,45.680,7.227,7.408,1/4,False
