anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C01_NEUTRAL,2,0.75,265,263,24,5,1,17,53,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,41,41,99.8,50,18,121,263,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,22,22,48.4,26,15,39,113,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C01_NEUTRAL,1,100,1,0,,,,,,NONPOC,OUT_OF_SESSION,true
ALL_ANCHORS,C01_NEUTRAL,1,5.88,17,16,7.2,5,1,13,17,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,20,20,9,6,1,8,26,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C01_NEUTRAL,0,0,60,60,9.3,5,3,10,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,104,104,2.9,2,0,3,7,NONPOC,RTH_OPEN,false
R01,C01_NEUTRAL,0,0,63,63,81.8,42,18,113,203,NONPOC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,41,41,99.8,50,18,121,263,NONPOC,ETH_EVENING,false
R01,C01_NEUTRAL,0,0,22,22,48.4,26,15,39,113,NONPOC,ETH_OVERNIGHT,true
R02,C01_NEUTRAL,0,0,59,59,6.1,3,1,8,15,NONPOC,ALL_SESSIONS,false
R02,C01_NEUTRAL,0,0,11,11,7.2,5,1,13,17,NONPOC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,3,3,4.7,3,3,3,3,NONPOC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,7,7,14,8,2,12,15,NONPOC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,38,38,4.5,3,1,7,9,NONPOC,RTH_OPEN,false
R03,C01_NEUTRAL,0,0,64,64,3.8,2,0,3,6,NONPOC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,8,8,9.8,3,1,6,15,NONPOC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,7,7,6.3,3,0,5,12,NONPOC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,49,49,2.4,1,0,3,4,NONPOC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,22,22,2.5,1,0,1,4,NONPOC,ALL_SESSIONS,true
R04,C01_NEUTRAL,0,0,2,2,4,7,1,1,1,NONPOC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,3,3,12.3,8,3,8,8,NONPOC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,17,17,0.6,0,0,1,1,NONPOC,RTH_OPEN,true
R05,C01_NEUTRAL,2,3.51,57,55,9,5,3,9,21,NONPOC,ALL_SESSIONS,false
R05,C01_NEUTRAL,1,100,1,0,,,,,,NONPOC,OUT_OF_SESSION,true
R05,C01_NEUTRAL,1,25,4,3,9.7,7,1,7,7,NONPOC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,6,6,8.5,6,1,6,6,NONPOC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,46,46,9,5,3,9,21,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,1,0.41,245,243,20,4,1,17,57,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,36,36,82.5,80,19,119,174,NONPOC,ETH_EVENING,false
