anchor,arm,intervals,median_minutes_to_first_touch,population,retouches,total_touches,touch_rate_pct,touched,touches_per_touched_interval,underpowered,untouched
ALL_ANCHORS,C01_NEUTRAL,610,15,NONPOC,3189,3572,62.79,383,9.33,false,227
R01,C01_NEUTRAL,142,180,NONPOC,929,1005,53.52,76,13.22,false,66
R02,C01_NEUTRAL,142,21,NONPOC,591,677,60.56,86,7.87,false,56
R03,C01_NEUTRAL,156,7,NONPOC,859,963,66.67,104,9.26,false,52
R04,C01_NEUTRAL,67,9,NONPOC,334,377,64.18,43,8.77,false,24
R05,C01_NEUTRAL,103,11,NONPOC,476,550,71.84,74,7.43,false,29
ALL_ANCHORS,C02_ACTIVITY_MATCHED,549,20,NONPOC,2699,3051,64.12,352,8.67,false,197
R01,C02_ACTIVITY_MATCHED,132,192,NONPOC,762,831,52.27,69,12.04,false,63
R02,C02_ACTIVITY_MATCHED,132,19,NONPOC,580,660,60.61,80,8.25,false,52
R03,C02_ACTIVITY_MATCHED,135,8,NONPOC,653,747,69.63,94,7.95,false,41
R04,C02_ACTIVITY_MATCHED,60,13,NONPOC,245,288,71.67,43,6.7,false,17
R05,C02_ACTIVITY_MATCHED,90,20,NONPOC,459,525,73.33,66,7.95,false,24
ALL_ANCHORS,TREATED,610,13,NONPOC,3175,3559,62.95,384,9.27,false,226
R01,TREATED,142,180,NONPOC,868,945,54.23,77,12.27,false,65
R02,TREATED,142,19,NONPOC,610,697,61.27,87,8.01,false,55
R03,TREATED,156,6,NONPOC,891,994,66.03,103,9.65,false,53
R04,TREATED,67,9,NONPOC,296,338,62.69,42,8.05,false,25
R05,TREATED,103,6,NONPOC,510,585,72.82,75,7.8,false,28
ALL_ANCHORS,C01_NEUTRAL,1157,6,POC,6251,7087,72.26,836,8.48,false,321
R01,C01_NEUTRAL,236,146,POC,1639,1784,61.44,145,12.3,false,91
R02,C01_NEUTRAL,236,22,POC,791,921,55.08,130,7.08,false,106
R03,C01_NEUTRAL,220,2,POC,1287,1471,83.64,184,7.99,false,36
R04,C01_NEUTRAL,237,1,POC,1423,1625,85.23,202,8.04,false,35
R05,C01_NEUTRAL,228,4,POC,1111,1286,76.75,175,7.35,false,53
ALL_ANCHORS,C02_ACTIVITY_MATCHED,825,7,POC,4243,4824,70.42,581,8.3,false,244
R01,C02_ACTIVITY_MATCHED,170,163,POC,1102,1199,57.06,97,12.36,false,73
R02,C02_ACTIVITY_MATCHED,170,23,POC,529,627,57.65,98,6.4,false,72
R03,C02_ACTIVITY_MATCHED,146,1,POC,797,916,81.51,119,7.7,false,27
R04,C02_ACTIVITY_MATCHED,173,1,POC,1043,1188,83.82,145,8.19,false,28
R05,C02_ACTIVITY_MATCHED,166,7,POC,772,894,73.49,122,7.33,false,44
ALL_ANCHORS,TREATED,1157,5,POC,6246,7093,73.21,847,8.37,false,310
R01,TREATED,236,157,POC,1618,1763,61.44,145,12.16,false,91
R02,TREATED,236,19,POC,787,924,58.05,137,6.74,false,99
R03,TREATED,220,2,POC,1276,1464,85.45,188,7.79,false,32
R04,TREATED,237,0,POC,1466,1670,86.08,204,8.19,false,33
R05,TREATED,228,5,POC,1099,1272,75.88,173,7.35,false,55
