anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C01_NEUTRAL,8.36,4.18,32.38,8.88,9.92,5.74,9.66,3.66,13.58,3.13,2,0.52,383,4,0,0,40,NONPOC,381,99.48,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,12.77,27.66,8.51,21.28,0,0,0,0,10.64,19.15,0,0,47,48,0,0,212,NONPOC,47,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,20.69,10.34,10.34,37.93,0,0,0,6.9,6.9,6.9,0,0,29,23,0,0,114,NONPOC,29,100,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,C01_NEUTRAL,0,0,0,0,0,0,0,0,0,0,1,100,1,,0,0,,NONPOC,0,0,OUT_OF_SESSION,3atr,true
ALL_ANCHORS,C01_NEUTRAL,20,0,20,5,25,0,5,0,20,0,1,5,20,4,0,0,18,NONPOC,19,95,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,8,0,8,12,16,4,24,4,24,0,0,0,25,4,0,0,16,NONPOC,25,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C01_NEUTRAL,10.23,0,22.73,9.09,7.95,6.82,13.64,7.95,20.45,1.14,0,0,88,4,0,0,19,NONPOC,88,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,2.89,0,52.6,0.58,12.72,8.67,10.4,2.31,9.83,0,0,0,173,1,0,0,7,NONPOC,173,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,15.79,21.05,9.21,27.63,0,0,0,2.63,9.21,14.47,0,0,76,32,0,0,193,NONPOC,76,100,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,12.77,27.66,8.51,21.28,0,0,0,0,10.64,19.15,0,0,47,48,0,0,212,NONPOC,47,100,ETH_EVENING,3atr,false
R01,C01_NEUTRAL,20.69,10.34,10.34,37.93,0,0,0,6.9,6.9,6.9,0,0,29,23,0,0,114,NONPOC,29,100,ETH_OVERNIGHT,3atr,true
R02,C01_NEUTRAL,10.47,0,29.07,1.16,11.63,6.98,16.28,2.33,22.09,0,0,0,86,4,0,0,13,NONPOC,86,100,ALL_SESSIONS,3atr,false
R02,C01_NEUTRAL,30.77,0,23.08,0,23.08,0,7.69,0,15.38,0,0,0,13,4,0,0,17,NONPOC,13,100,RTH_AFTERNOON,3atr,true
