anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,86,51.5,167,15,NONPOC,142,85.03,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,58.82,17,15,NONPOC,14,82.35,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,42.86,14,15,NONPOC,10,71.43,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,75,8,15,NONPOC,5,62.5,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,13,72.22,18,15,NONPOC,13,72.22,RTH_MIDDAY,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,19,44.19,43,15,NONPOC,40,93.02,RTH_MORNING,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,32,47.76,67,15,NONPOC,60,89.55,RTH_OPEN,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,16,51.61,31,15,NONPOC,24,77.42,ALL_SESSIONS,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,58.82,17,15,NONPOC,14,82.35,ETH_EVENING,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,42.86,14,15,NONPOC,10,71.43,ETH_OVERNIGHT,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,26,60.47,43,15,NONPOC,36,83.72,ALL_SESSIONS,3atr,false
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,5,100,5,15,NONPOC,2,40,RTH_AFTERNOON,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,5,83.33,6,15,NONPOC,4,66.67,RTH_MIDDAY,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,12.5,8,15,NONPOC,7,87.5,RTH_MORNING,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,15,62.5,24,15,NONPOC,23,95.83,RTH_OPEN,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,19,46.34,41,15,NONPOC,36,87.8,ALL_SESSIONS,3atr,false
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,66.67,6,15,NONPOC,5,83.33,RTH_MIDDAY,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,50,6,15,NONPOC,6,100,RTH_MORNING,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,12,41.38,29,15,NONPOC,25,86.21,RTH_OPEN,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,50,20,15,NONPOC,18,90,ALL_SESSIONS,3atr,true
