metric,count,mean,median,p75,p90,p95,minimum,maximum
nonpoc_activity_density,6,2.205328786262579682622246877,2.139615994763743954253742826,2.31441394324009489127811255228140169823,3.305104493863662850087124488827510450937,3.305104493863662850087124488827510450937,1.587672444719244104470118929169894253724,3.305104493863662850087124488827510450937
nonpoc_peak_percentile,6,98.58599284511478615067636268,98.91415363113476321023490835,99.77220956719817767653758542,99.83896940418679549114331723,99.83896940418679549114331723,96.47887323943661971830985915,99.83896940418679549114331723
nonpoc_peak_smoothed_activity,6,2.38104911732966448451397312,2.343659447166486512557706544,2.450288438856164179012160346,3.505518980062220277969950969,3.505518980062220277969950969,1.741486136012504410511481007,3.505518980062220277969950969
nonpoc_tpo_density,6,2.41916556629139305065803662,2.262862374337228215299025172,2.617069486404833836858006042,3.900407406440155650152777415,3.900407406440155650152777415,1.659833630421865715983363042,3.900407406440155650152777415
nonpoc_volume_density,6,2.024111510415876436387631347,1.871436831802331280943860944,2.400911323619326339797888201,2.800660181631562766846812439,2.800660181631562766846812439,1.518648463027053805198958574,2.800660181631562766846812439
poc_activity_density,123,2.351075246911880165474739536,2.296019521506666114117290023144047918187,2.720973248800069671345266373725985954946,2.98853023866477499308732221395563804278,3.200575440182726289652850711370531596531,1.366855351220638867403694654104200573202,4.072580217253215397762025798062318298341
poc_tpo_density,123,2.382898920866809467990003733,2.352475247524752475247524752,2.822768970131007729552302021,3.12054873925224615979132451,3.362103692651995524058187245,1.241521571918047688972799105,4.520691416893732970027247957
poc_volume_density,123,2.335800669954715111941511398,2.259358200919530728100533762,2.635601926572556971312947657,2.918388855008213245726780445,3.140587779979905207812748504,1.296509885123359828380917483,3.668887808617291636501881811
