accepted,atr_value,basin_high_index,basin_low_index,basin_width_ticks,code_sha,contract,distance_to_tpo_POC_atr,distance_to_tpo_VAH_atr,distance_to_tpo_VAL_atr,distance_to_volume_POC_atr,distance_to_volume_VAH_atr,distance_to_volume_VAL_atr,family,freeze_time,high_index,inside_tpo_value_area,inside_volume_value_area,left_valley_activity,low_index,maximum_width_ticks,minimum_width_ticks,overlaps_tpo_POC,overlaps_tpo_VAH,overlaps_tpo_VAL,overlaps_volume_POC,overlaps_volume_VAH,overlaps_volume_VAL,peak_activity_percentile,peak_price,peak_smoothed_activity,peak_to_valley_ratio,physical_zone_id,profile_id,reference_valley_activity,rejection_reason,right_valley_activity,session_date,smoothing_half_width_ticks,source_date,value_area_location,width_atr,width_points,width_ticks,year,zone_activity_density,zone_class,zone_high,zone_id,zone_low,zone_tpo,zone_tpo_density,zone_volume,zone_volume_density
false,0.9142627644298091208095504129,27009,27003,7,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,14.49255128339774458384864717,1.503944001107313117191840744,22.55916001660969675787761115,0,19.0043832867196839354241694,15.72305092066736440700560777,midnight,2019-01-18T09:30:00-05:00,27009,false,true,,27003,3,4,false,false,false,true,false,false,92.82700421940928270042194093,6751.625,2.915780291355031691886648467,,46627c3a05b6dd60c9ff,000181fe67c6fecf6c7d,,WIDTH_EXCEEDS_MAXIMUM,,2019-01-18,2,2019-01-18,INSIDE_VALUE,1.914110546863853058244160946,1.75,7,2019,2.690770170074711859599333169405718835041,POC_BROAD_DISTRIBUTION,6752.5,000181fe67c6fecf6c7d-Z0027003,6750.75,312,2.520503118928315778709479496,5446.91617500146911911617794,2.872539237817864221696782766
false,1.791794080913788187081218203,31383,31376,8,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,0,2.162636901905495717506129242,4.255511323104362540899157541,0,2.302161863318753505732331129,4.115986361691104752672955655,opening_hour_rth,2019-04-29T10:30:00-04:00,31383,true,true,2.00825287629596829320526332,31376,7,4,true,false,false,true,false,false,97.95918367346938775510204082,7845.125,2.130411566155529287265520551,1.060828340544877543564230557,8a97ed59f81d65df7283,0049442e3899ed9c34e6,2.00825287629596829320526332,WIDTH_EXCEEDS_MAXIMUM,1.885019671400105065068921958,2019-04-29,2,2019-04-29,INSIDE_VALUE,1.116199691306062305809615093,2,8,2019,2.01803733000408401322456631709680462031,POC_BROAD_DISTRIBUTION,7846,0049442e3899ed9c34e6-Z0031376,7844,184,2.02697841726618705035971223,14121.68167457220031265077054,2.009135682254877399247078338
false,1.743833749628763857329403626,28392,28385,8,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,6.164578476754744731199641071,2.508840077749024018511481831,9.390230005289204183571546283,0,6.236259621833288274585683409,5.949535041519114101041514057,full_overnight,2019-02-26T09:30:00-05:00,28392,true,true,,28385,6,4,false,false,false,true,false,false,97.46192893401015228426395939,7097.875,2.180797675110525773181348134,1.000080302160675330304231348,28933a4942c72cccfa7d,00671d426e6be9a5c330,2.180622566406825921119952947,WIDTH_EXCEEDS_MAXIMUM,2.180622566406825921119952947,2019-02-26,2,2019-02-26,INSIDE_VALUE,1.146898321256696694176677409,2,8,2019,2.062831135343005049625192412931050577058,POC_BROAD_DISTRIBUTION,7098.25,00671d426e6be9a5c330-Z0028385,7096.25,414,1.901296158149944050727340544,6884.501776001776001776001775,2.238090196890264218774542477
true,3.135345477062097891845751261,31738,31724,15,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQZ9,27.5089302378309340694383894,10.96370408029493749144283636,38.55237034780074383354626457,0,3.388781261182071588264149419,25.55539751079656338914493856,prior_rth,2019-09-20T16:00:00-04:00,31735,false,true,2.53353695904188711722432548,31724,12,4,false,false,false,true,false,false,97.90874524714828897338403042,7931.625,2.541200544223031182488497133,1.003024856279989781177131422,1d82e9b8f2a42b5e0bf9,0078278d143e6b3ff2cc,2.53353695904188711722432548,,,2019-09-23,2,2019-09-20,INSIDE_VALUE,0.9568323560984672719804657183,3,12,2019,2.221679086472256027835391252684135459318,POC_HVN_ZONE,7934,0078278d143e6b3ff2cc-Z0031724,7931,281,1.902265122265122265122265122,19724.69744712215999542475125,2.594726626428825558948458336
false,1.719481747427119455686533893,30378,30371,8,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,0.5815705816571252557293402594,7.633113884249768981447590905,14.17578292789242810840266882,0,7.923899175078331609312261035,14.17578292789242810840266882,prior_rth,2019-04-08T16:00:00-04:00,30378,true,true,2.519933500819540651791322986,30371,6,4,false,false,false,true,false,false,98.89705882352941176470588235,7593.125,2.566366756125281797389614258,1.018426381208329496446101268,8a38cc6d62e0d1d027dd,0182c5442c60e79f6612,2.519933500819540651791322986,WIDTH_EXCEEDS_MAXIMUM,,2019-04-09,2,2019-04-08,INSIDE_VALUE,1.163141163314250511458680519,2,8,2019,2.502555276536525639216783544620703434966,POC_BROAD_DISTRIBUTION,7594.75,0182c5442c60e79f6612-Z0030371,7592.75,297,2.546142208774583963691376702,18941.61027006301605843939939,2.459714500838890655922618462
false,1.707380688855655826917513581,31784,31772,13,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQU9,6.735463318205671051134758196,0.8053271358724171908965471757,8.858598494596589099862018932,0,0.9517502514855839528777375712,7.101521107238587956087734185,opening_hour_rth,2019-07-12T10:30:00-04:00,31782,false,true,,31772,6,4,false,true,false,true,false,false,96.07843137254901960784313725,7944.625,1.749485561406162808898428262,1.98262565198121928702376021,4f5b75b75bdeaabff0f6,0192f1f6f6dc6c7587bf,0.8824084161616280086797636923,WIDTH_EXCEEDS_MAXIMUM,0.8824084161616280086797636923,2019-07-12,2,2019-07-12,INSIDE_VALUE,1.610654271744834381793094351,2.75,11,2019,1.566101883263463742450760961771767306281,POC_BROAD_DISTRIBUTION,7945.75,0192f1f6f6dc6c7587bf-Z0031772,7943,167,1.576930198111460840585076837,11831.59264628818034390789808,1.555347923261729197000978973
false,2.748592469329516139813594598,29307,29291,17,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,1.000512091438141504197098716,7.867663264490840010277185355,3.501792320033495264689845505,0,8.413397132548008103475602836,8.686264066576592150074811576,prior_rth,2019-05-24T16:00:00-04:00,29305,true,true,2.322644846906411067698356016,29291,10,4,false,false,false,true,false,false,98.42271293375394321766561514,7324.375,2.576709259718240830164094913,1.109385820716509683684556913,894974a8d529cb4a0a67,01bba9e94bdea915d3c7,2.322644846906411067698356016,WIDTH_EXCEEDS_MAXIMUM,,2019-05-28,2,2019-05-24,INSIDE_VALUE,1.364334670142920232996043703,3.75,15,2019,2.313053075145230220057815727108597434308,POC_BROAD_DISTRIBUTION,7326.5,01bba9e94bdea915d3c7-Z0029291,7322.75,755,2.510331445353471785189846864,29776.40958220736622944187893,2.131278137929495342415381772
false,1.925917967837954638780741664,29953,29941,13,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,0,10.5793706379265359948577109,6.944740234712511358587577092,0,5.906274405222790033938967433,6.03608263390900519952004364,full_overnight,2019-06-12T09:30:00-04:00,29953,true,true,2.418830056933452471332750747,29941,7,4,true,false,false,true,false,false,99.57081545064377682403433476,7487.125,3.101020963350288636325937897,1.087402548429732872698721071,8df60f215bb7251e22b1,021e9b52893475eda8ad,2.851769078367829719307910077,WIDTH_EXCEEDS_MAXIMUM,2.851769078367829719307910077,2019-06-12,2,2019-06-12,INSIDE_VALUE,1.687506972920797152553990695,3.25,13,2019,2.814037001879590660542011236516814040405,POC_BROAD_DISTRIBUTION,7488.5,021e9b52893475eda8ad-Z0029941,7485.25,934,2.672011787095585978267542514,14926.95952868167264452094174,2.963611270800204613112370222
false,2.003056585667675340379335513,28298,28282,17,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,0,1.934543451106925690171438158,12.91775788319785864082218383,0,4.680347059129658927834124575,12.04409309882698897429314724,full_overnight,2019-03-11T09:30:00-04:00,28293,true,true,,28284,8,4,true,false,false,true,false,false,99.6124031007751937984496124,7072.625,3.152163457546345232660626481,,1d22f19cc0f4a7dcae62,027d098d6cf4f482a46d,,WIDTH_EXCEEDS_MAXIMUM,,2019-03-11,2,2019-03-11,INSIDE_VALUE,1.248092549101242380755766553,2.5,10,2019,2.784976135877396216659360737941727390579,POC_BROAD_DISTRIBUTION,7073.5,027d098d6cf4f482a46d-Z0028284,7071,554,2.65376903082064611956925362,6052.759681336222593457752967,2.92267035575741690986899041
false,2.614966437672727975820237085,33090,33070,21,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQZ9,0.3824140859299064671120395781,3.967546141522779596287410623,2.533493319285630344617262205,0,4.158753184487732829843430412,2.915907405215536811729301783,opening_hour_rth,2019-11-21T10:30:00-05:00,33090,true,true,,33070,10,4,true,false,false,true,false,false,95.52238805970149253731343284,8270.125,1.748861006112098872998797504,,edf425dc68a4418b6edc,02a8ea834d4edbb1447b,,WIDTH_EXCEEDS_MAXIMUM,,2019-11-21,2,2019-11-21,INSIDE_VALUE,2.007673951132008952338207785,5.25,21,2019,1.635860315621672042045564594434485419134,POC_BROAD_DISTRIBUTION,8272.75,02a8ea834d4edbb1447b-Z0033070,8267.5,381,1.687122038267076435015366314,23203.88994227259377391791461,1.586156135435539574411808351
