contiguous,contract,family,freeze_time,poc_inside,profile_id,session_date,source_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_share,volume_value_area_tick_count,year
true,NQH9,midnight,2019-01-18T09:30:00-05:00,true,000181fe67c6fecf6c7d,2019-01-18,2019-01-18,6751.625,6769,6737.25,0.7089992421476066335879420006,127,2019
true,NQM9,opening_hour_rth,2019-04-29T10:30:00-04:00,true,0049442e3899ed9c34e6,2019-04-29,2019-04-29,7845.125,7849.25,7837.75,0.7037829412520008523428203571,46,2019
true,NQH9,full_overnight,2019-02-26T09:30:00-05:00,true,00671d426e6be9a5c330,2019-02-26,2019-02-26,7097.875,7108.75,7087.5,0.7035789837280810445700840786,85,2019
true,NQZ9,prior_rth,2019-09-20T16:00:00-04:00,true,0078278d143e6b3ff2cc,2019-09-23,2019-09-20,7931.625,7942.25,7851.5,0.7003902407457597923974829844,363,2019
true,NQM9,prior_rth,2019-04-08T16:00:00-04:00,true,0182c5442c60e79f6612,2019-04-09,2019-04-08,7593.125,7606.75,7568.75,0.700989210180845815334500525,152,2019
true,NQU9,opening_hour_rth,2019-07-12T10:30:00-04:00,true,0192f1f6f6dc6c7587bf,2019-07-12,2019-07-12,7944.625,7946.25,7932.5,0.7087953635029853614184726312,55,2019
true,NQM9,prior_rth,2019-05-24T16:00:00-04:00,true,01bba9e94bdea915d3c7,2019-05-28,2019-05-24,7324.375,7347.5,7300.5,0.7004047400098326954043492075,188,2019
true,NQM9,full_overnight,2019-06-12T09:30:00-04:00,true,021e9b52893475eda8ad,2019-06-12,2019-06-12,7487.125,7498.5,7475.5,0.7009621076694845346997105263,92,2019
true,NQM9,full_overnight,2019-03-11T09:30:00-04:00,true,027d098d6cf4f482a46d,2019-03-11,2019-03-11,7072.625,7082,7048.5,0.7025821747180822711991553171,134,2019
true,NQZ9,opening_hour_rth,2019-11-21T10:30:00-05:00,true,02a8ea834d4edbb1447b,2019-11-21,2019-11-21,8270.125,8281,8262.5,0.7058593842082048164292272968,74,2019
