rejection_reason,zone_class,count
,NONPOC_HVN_ZONE,6
,POC_HVN_ZONE,123
BASIN_TOO_NARROW,NONPOC_HVN_ZONE,19
BASIN_TOO_NARROW,POC_HVN_ZONE,10
NO_VALID_BASIN_SEPARATION,NONPOC_HVN_ZONE,170
OVERLAPS_VOLUME_POC,NONPOC_HVN_ZONE,729
PEAK_ACTIVITY_TOO_LOW,NONPOC_HVN_ZONE,3
PEAK_PERCENTILE_TOO_LOW,NONPOC_HVN_ZONE,12427
PEAK_TO_VALLEY_TOO_LOW,NONPOC_HVN_ZONE,330
WIDTH_EXCEEDS_MAXIMUM,BROAD_ACTIVITY_DISTRIBUTION,198
WIDTH_EXCEEDS_MAXIMUM,POC_BROAD_DISTRIBUTION,762
ZONE_ACTIVITY_DENSITY_TOO_LOW,NONPOC_HVN_ZONE,1
ZONE_VOLUME_DENSITY_TOO_LOW,NONPOC_HVN_ZONE,2
