metric,count,mean,median,p75,p90,p95,minimum,maximum
accepted_all_width_atr,131,0.7977839256637170672556717397,0.8394877356339341729053537317,0.9273075174696459591464091754,0.9749681844817956989152089329,0.9885994440788673013334203692,0.3704542315407425013709833807,1.798497464811080417118150543
accepted_all_width_ticks,131,11.48091603053435114503816794,11,14,16,19,4,28
accepted_nonpoc_width_atr,6,0.620280920743861855560093927,0.6602447261804469942622113385,0.6879349087743734721616657313,0.7128556934455122826214484181,0.7128556934455122826214484181,0.3840327863963133598255765072,0.7128556934455122826214484181
accepted_nonpoc_width_points,6,2.791666666666666666666666667,3,3.25,3.5,3.5,1.25,3.5
accepted_nonpoc_width_ticks,6,11.16666666666666666666666667,12,13,14,14,5,14
accepted_poc_width_atr,125,0.8063040698998701174170594744,0.8523615903751181312438023779,0.9291344962933850681706112437,0.9753179570733624063212974588,0.9885994440788673013334203692,0.3704542315407425013709833807,1.798497464811080417118150543
accepted_poc_width_ticks,125,11.496,11,14,17,19,4,28
