arm,node_class,nodes,tapped,tap_rate_pct
CONTROL_WIDTH_MATCHED,HIGH_VOLUME_NODE,25991,1527,5.88
CONTROL_WIDTH_MATCHED,LOW_VOLUME_NODE,33284,759,2.28
TREATED,HIGH_VOLUME_NODE,25991,1526,5.87
TREATED,LOW_VOLUME_NODE,33284,735,2.21
