relationship_id,control_family,year,unique_economic_episodes,mean,ci_low,ci_high
R01,C01,2021,1,0.1333333333333333333333333334,0.1333333333333333333333333334,0.1333333333333333333333333334
R01,C01,2023,0,,,
R01,C01,2025,0,,,
R01,C01,2026,0,,,
R02,C01,2021,1,0.1666666666666666666666666667,0.1666666666666666666666666667,0.1666666666666666666666666667
R02,C01,2023,0,,,
R02,C01,2025,2,-0.1,-0.1333333333333333333333333333,-0.0666666666666666666666666667
R02,C01,2026,0,,,
R02,C02,2021,0,,,
R02,C02,2023,0,,,
R02,C02,2025,1,0,0,0
R02,C02,2026,0,,,
R03,C01,2021,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,2023,3,-0.1111111111111111111111111111,-0.2666666666666666666666666667,0.03333333333333333333333333333
R03,C01,2025,4,0.008333333333333333333333333332,-0.03333333333333333333333333334,0.06666666666666666666666666667
R03,C01,2026,1,0.2666666666666666666666666667,0.2666666666666666666666666667,0.2666666666666666666666666667
R03,C02,2021,1,0,0,0
R03,C02,2023,0,,,
R03,C02,2025,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C02,2026,0,,,
R04,C01,2021,0,,,
R04,C01,2023,1,0,0,0
R04,C01,2025,4,0.1416666666666666666666666667,-0.1333333333333333333333333334,0.4166666666666666666666666667
R04,C01,2026,0,,,
R04,C02,2021,0,,,
R04,C02,2023,0,,,
R04,C02,2025,1,-0.0333333333333333333333333333,-0.0333333333333333333333333333,-0.0333333333333333333333333333
R04,C02,2026,0,,,
R05,C01,2021,5,-0.05777777777777777777777777778,-0.2333333333333333333333333333,0.1044444444444444444444444444
R05,C01,2023,0,,,
R05,C01,2025,0,,,
R05,C01,2026,1,0.28,0.28,0.28
R05,C02,2021,2,0.1,0.0333333333333333333333333334,0.1666666666666666666666666666
R05,C02,2023,0,,,
R05,C02,2025,0,,,
R05,C02,2026,1,0.1333333333333333333333333334,0.1333333333333333333333333334,0.1333333333333333333333333334
