relationship_id,control_family,diagnostic,excluded_year,mean,count
R01,C01,BASE,,0.1333333333333333333333333334,1
R01,C01,LEAVE_ONE_YEAR_OUT,2021,,0
R01,C01,LEAVE_ONE_YEAR_OUT,2023,0.1333333333333333333333333334,1
R01,C01,LEAVE_ONE_YEAR_OUT,2025,0.1333333333333333333333333334,1
R01,C01,LEAVE_ONE_YEAR_OUT,2026,0.1333333333333333333333333334,1
R01,C01,REMOVE_LARGEST_1_PERCENT,,,0
R01,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R02,C01,BASE,,-0.0111111111111111111111111111,3
R02,C01,LEAVE_ONE_YEAR_OUT,2021,-0.1,2
R02,C01,LEAVE_ONE_YEAR_OUT,2023,-0.0111111111111111111111111111,3
R02,C01,LEAVE_ONE_YEAR_OUT,2025,0.1666666666666666666666666667,1
R02,C01,LEAVE_ONE_YEAR_OUT,2026,-0.0111111111111111111111111111,3
R02,C01,REMOVE_LARGEST_1_PERCENT,,-0.1,2
R02,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R02,C02,BASE,,0,1
R02,C02,LEAVE_ONE_YEAR_OUT,2021,0,1
R02,C02,LEAVE_ONE_YEAR_OUT,2023,0,1
R02,C02,LEAVE_ONE_YEAR_OUT,2025,,0
R02,C02,LEAVE_ONE_YEAR_OUT,2026,0,1
R02,C02,REMOVE_LARGEST_1_PERCENT,,,0
R02,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R03,C01,BASE,,-0.007407407407407407407407407403,9
R03,C01,LEAVE_ONE_YEAR_OUT,2021,-0.004166666666666666666666666662,8
R03,C01,LEAVE_ONE_YEAR_OUT,2023,0.04444444444444444444444444447,6
R03,C01,LEAVE_ONE_YEAR_OUT,2025,-0.02,5
R03,C01,LEAVE_ONE_YEAR_OUT,2026,-0.04166666666666666666666666666,8
R03,C01,REMOVE_LARGEST_1_PERCENT,,0.02500000000000000000000000001,8
R03,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R03,C02,BASE,,-0.01666666666666666666666666666,2
R03,C02,LEAVE_ONE_YEAR_OUT,2021,-0.03333333333333333333333333333,1
R03,C02,LEAVE_ONE_YEAR_OUT,2023,-0.01666666666666666666666666666,2
R03,C02,LEAVE_ONE_YEAR_OUT,2025,0,1
R03,C02,LEAVE_ONE_YEAR_OUT,2026,-0.01666666666666666666666666666,2
R03,C02,REMOVE_LARGEST_1_PERCENT,,0,1
R03,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R04,C01,BASE,,0.1133333333333333333333333333,5
R04,C01,LEAVE_ONE_YEAR_OUT,2021,0.1133333333333333333333333333,5
R04,C01,LEAVE_ONE_YEAR_OUT,2023,0.1416666666666666666666666667,4
R04,C01,LEAVE_ONE_YEAR_OUT,2025,0,1
R04,C01,LEAVE_ONE_YEAR_OUT,2026,0.1133333333333333333333333333,5
R04,C01,REMOVE_LARGEST_1_PERCENT,,0,4
R04,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R04,C02,BASE,,-0.0333333333333333333333333333,1
R04,C02,LEAVE_ONE_YEAR_OUT,2021,-0.0333333333333333333333333333,1
R04,C02,LEAVE_ONE_YEAR_OUT,2023,-0.0333333333333333333333333333,1
R04,C02,LEAVE_ONE_YEAR_OUT,2025,,0
R04,C02,LEAVE_ONE_YEAR_OUT,2026,-0.0333333333333333333333333333,1
R04,C02,REMOVE_LARGEST_1_PERCENT,,,0
R04,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R05,C01,BASE,,-0.001481481481481481481481481483,6
R05,C01,LEAVE_ONE_YEAR_OUT,2021,0.28,1
R05,C01,LEAVE_ONE_YEAR_OUT,2023,-0.001481481481481481481481481483,6
R05,C01,LEAVE_ONE_YEAR_OUT,2025,-0.001481481481481481481481481483,6
R05,C01,LEAVE_ONE_YEAR_OUT,2026,-0.05777777777777777777777777778,5
R05,C01,REMOVE_LARGEST_1_PERCENT,,0.06488888888888888888888888888,5
R05,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R05,C02,BASE,,0.1111111111111111111111111111,3
R05,C02,LEAVE_ONE_YEAR_OUT,2021,0.1333333333333333333333333334,1
R05,C02,LEAVE_ONE_YEAR_OUT,2023,0.1111111111111111111111111111,3
R05,C02,LEAVE_ONE_YEAR_OUT,2025,0.1111111111111111111111111111,3
R05,C02,LEAVE_ONE_YEAR_OUT,2026,0.1,2
R05,C02,REMOVE_LARGEST_1_PERCENT,,0.0833333333333333333333333334,2
R05,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
