relationship_id,control_family,treated_events,matched_pairs,match_rate,control_reuse_count,mean_distance,maximum_absolute_post_match_smd,material_imbalance
R01,C01,439,1,0.002277904328018223234624145786,0,7.599507856169948292652005607,Infinity,true
R01,C02,439,0,0,0,,,
R02,C01,826,3,0.003631961259079903147699757869,0,4.0133522566025845928406888,1.122979850149754259614399179,true
R02,C02,826,1,0.001210653753026634382566585956,0,6.912324601908031014813051349,Infinity,true
R03,C01,621,11,0.01771336553945249597423510467,0,2.413863534455213734893183887,0.6738269127113106651466609672,true
R03,C02,621,2,0.003220611916264090177133655395,0,1.664546094766712677459129246,2.309095747422207630680920373,true
R04,C01,672,5,0.00744047619047619047619047619,0,3.075036075345271909038118948,0.7147535097803248201241733969,true
R04,C02,672,1,0.001488095238095238095238095238,0,1.182390619075368796654360899,Infinity,true
R05,C01,677,14,0.02067946824224519940915805022,0,2.416260912154063193198103235,2.270311487999876562416115092,true
R05,C02,677,4,0.005908419497784342688330871492,0,2.431070930942259565970925945,1.430454663412788415511966462,true
