relationship_id,control_family,allocation_method,positive_cells,available_cells,median_effect,minimum_effect,maximum_effect,stable_neighborhood
R01,C01,tpo_range_occupancy,1,1,0.1333333333333333333333333334,0.1333333333333333333333333334,0.1333333333333333333333333334,false
R01,C01,uniform_bar_volume,0,0,,,,false
R01,C02,tpo_range_occupancy,0,0,,,,false
R01,C02,uniform_bar_volume,0,0,,,,false
R02,C01,tpo_range_occupancy,0,0,,,,false
R02,C01,uniform_bar_volume,1,3,-0.0666666666666666666666666667,-0.1333333333333333333333333333,0.1666666666666666666666666667,false
R02,C02,tpo_range_occupancy,0,0,,,,false
R02,C02,uniform_bar_volume,0,1,0,0,0,false
R03,C01,tpo_range_occupancy,1,3,0,-0.1166666666666666666666666667,0.0777777777777777777777777778,false
R03,C01,uniform_bar_volume,0,2,0,-0.05555555555555555555555555557,0,false
R03,C02,tpo_range_occupancy,0,0,,,,false
R03,C02,uniform_bar_volume,0,2,0,-0.03333333333333333333333333333,0,false
R04,C01,tpo_range_occupancy,2,3,0.2666666666666666666666666667,-0.2,0.5666666666666666666666666667,false
R04,C01,uniform_bar_volume,0,2,0,-0.0666666666666666666666666667,0,false
R04,C02,tpo_range_occupancy,0,0,,,,false
R04,C02,uniform_bar_volume,0,1,-0.0333333333333333333333333333,-0.0333333333333333333333333333,-0.0333333333333333333333333333,false
R05,C01,tpo_range_occupancy,1,1,0.1,0.1,0.1,false
R05,C01,uniform_bar_volume,6,7,0.1,-0.2166666666666666666666666666,0.4,false
R05,C02,tpo_range_occupancy,1,1,0.0333333333333333333333333334,0.0333333333333333333333333334,0.0333333333333333333333333334,false
R05,C02,uniform_bar_volume,2,3,0.1666666666666666666666666666,-0.0333333333333333333333333333,0.3,false
