arm,node_class,nodes,tapped,tap_rate_pct
CONTROL_WIDTH_MATCHED,HIGH_VOLUME_NODE,17781,1071,6.02
CONTROL_WIDTH_MATCHED,LOW_VOLUME_NODE,24311,711,2.92
TREATED,HIGH_VOLUME_NODE,17781,1061,5.97
TREATED,LOW_VOLUME_NODE,24311,659,2.71
