bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.05,true,NQU9,full_overnight,true,ca2d6ef22e19f47b1303,R03,2019-08-12,7613.125,7664.5,7587,310,0.7011285921001198023178666501,2019
0.05,true,NQH9,midnight,true,ca32a5717418c77bb327,R04,2019-02-19,7043.375,7061,7035.25,103,0.7030337159771857627608114943,2019
0.2,true,NQU9,full_overnight,true,ca619633ff59210fe3b8,R03,2019-07-02,7778.375,7791.75,7773.25,74,0.7063826958777574554524270263,2019
0.2,true,NQU9,prior_rth,true,ca77517ff1630691cbd5,R01,2019-08-19,7614.5,7629,7591,38,0.7009268984520029953103733144,2019
0.2,true,NQU9,prior_rth,true,ca77517ff1630691cbd5,R02,2019-08-19,7614.5,7629,7591,38,0.7009268984520029953103733144,2019
0.05,true,NQU9,midnight,true,ca7a050cadb4e5b89138,R04,2019-07-01,7824.125,7836.25,7818.5,71,0.7007516312442380124182035134,2019
0.1,true,NQZ9,opening_hour_rth,true,ca94b7fa9d25ecffe4a9,R05,2019-09-23,7831.375,7841,7822.75,73,0.7013288344657333298882210134,2019
0.2,true,NQH9,prior_rth,true,ca99e0fb6d07ab778049,R01,2019-01-14,6589.75,6604,6584,40,0.7126529064048839321914295147,2019
0.2,true,NQH9,prior_rth,true,ca99e0fb6d07ab778049,R02,2019-01-14,6589.75,6604,6584,40,0.7126529064048839321914295147,2019
0.05,true,NQZ9,opening_hour_rth,true,caac2ef20ede6f4b0ede,R05,2019-10-28,8093.125,8097,8086,44,0.7044579069979934377316822178,2019
0.1,true,NQH9,opening_hour_rth,true,cac6c18bd96defe62730,R05,2019-01-14,6537.875,6548,6529.75,73,0.7049189028970734092979819035,2019
0.05,true,NQZ9,midnight,true,cac7369c2613f74c07ba,R04,2019-10-03,7559.125,7579.5,7555.25,97,0.7044473069278691567787455255,2019
0.1,true,NQZ9,midnight,true,caec81c2e617d892a2a8,R04,2019-10-21,7904.375,7912,7895,68,0.7026735511760000487708268017,2019
0.05,true,NQZ9,opening_hour_rth,true,caf125f3a274932a81e4,R05,2019-11-20,8328.375,8333.75,8323.25,42,0.7000497906593271718932199909,2019
0.2,true,NQH9,midnight,true,caf8ecc1f5eaf49e0229,R04,2019-01-09,6586.875,6594,6577.75,65,0.7001319749102077793703287617,2019
0.1,true,NQU9,full_overnight,true,cafb9274951689898a8f,R03,2019-08-23,7748.375,7762,7671,364,0.7013770833489018979796702118,2019
0.05,true,NQM9,full_overnight,true,cb2b8ad90dbd63f2d068,R03,2019-05-17,7523.375,7571,7510,244,0.7009587296910518601884462936,2019
0.2,true,NQM9,prior_rth,true,cb54c71760d8d2384570,R01,2019-05-21,7393.875,7421.25,7384.5,49,0.7028355708439524615513538494,2019
0.2,true,NQM9,prior_rth,true,cb54c71760d8d2384570,R02,2019-05-21,7393.875,7421.25,7384.5,49,0.7028355708439524615513538494,2019
0.05,true,NQU9,prior_rth,true,cb55ac8b5e6efd808c11,R01,2019-07-16,7972.375,7979,7963.5,62,0.701894526970839877501495946,2019
0.05,true,NQU9,prior_rth,true,cb55ac8b5e6efd808c11,R02,2019-07-16,7972.375,7979,7963.5,62,0.701894526970839877501495946,2019
0.1,true,NQM9,midnight,true,cb75e8b7b6fce64bd7c9,R04,2019-06-07,7307.875,7329.5,7298.75,123,0.7026853806982816590844576296,2019
0.05,true,NQU9,opening_hour_rth,true,cb986d6703e7e4567ad6,R05,2019-08-09,7667.875,7693.75,7643.5,201,0.7025279994727490956743481098,2019
0.05,true,NQZ9,midnight,true,cb9b2e86d34a41bfd3c7,R04,2019-10-15,7877.625,7894.5,7869.5,100,0.7058223660591139951877458039,2019
0.1,true,NQU9,prior_rth,true,cbbc8cf42adc5b31159e,R01,2019-09-12,7862.375,7892.75,7852.5,161,0.7001603026989162765640191527,2019
0.1,true,NQU9,prior_rth,true,cbbc8cf42adc5b31159e,R02,2019-09-12,7862.375,7892.75,7852.5,161,0.7001603026989162765640191527,2019
0.2,true,NQH0,opening_hour_rth,true,cbc518fa2d0457922fca,R05,2019-12-17,8604.125,8612.5,8597.5,60,0.7122028852300742486977477943,2019
0.1,true,NQH9,midnight,true,cbd5013615ab6ab6ea77,R04,2019-03-06,7159.375,7162.5,7150,50,0.702430119494595010854792681,2019
0.1,true,NQU9,opening_hour_rth,true,cbf6f4de19a3bd1c4ce8,R05,2019-08-08,7599.25,7623.5,7585,77,0.7021774011428042859135316123,2019
0.1,true,NQM9,midnight,true,cc1a151e113c5e8b7e68,R04,2019-05-22,7415.375,7443,7391.25,207,0.7052419822506738464744277028,2019
0.05,true,NQM9,opening_hour_rth,true,cc27ecedc65e1554ff71,R05,2019-05-13,7369.125,7419.25,7353.5,263,0.7025469070505630171909273341,2019
0.2,true,NQU9,opening_hour_rth,true,cc3df3f8457639a2d493,R05,2019-06-28,7675.125,7687.25,7664.5,91,0.7030478891009389839124131864,2019
0.05,true,NQZ9,prior_rth,true,cc52daa12a1b4e92c98d,R01,2019-10-24,7886.125,7895.5,7871.75,95,0.7022344208702469582944747707,2019
0.05,true,NQZ9,prior_rth,true,cc52daa12a1b4e92c98d,R02,2019-10-24,7886.125,7895.5,7871.75,95,0.7022344208702469582944747707,2019
0.05,true,NQH0,opening_hour_rth,true,cc56588e70b3f27b56cb,R05,2019-12-19,8631.125,8633,8627.5,22,0.710207109850811067398517797,2019
0.2,true,NQU9,midnight,true,cc760f1f3dc0ab375bcf,R04,2019-08-12,7613.125,7642.75,7587,223,0.7000325390328125557884857649,2019
0.05,true,NQM9,opening_hour_rth,true,cc77377a7bd118f1ef7d,R05,2019-04-17,7720.875,7730.75,7694.5,145,0.7015855155450537939887533729,2019
0.1,true,NQM9,opening_hour_rth,true,cc80627ba4336d418562,R05,2019-03-20,7375.125,7379.25,7366.75,50,0.7101545360114798660945548255,2019
0.2,true,NQU9,full_overnight,true,ccc1a042656ea7300ae1,R03,2019-07-24,7951.125,7959.75,7938,29,0.7160689296709447842949102394,2019
0.05,true,NQH9,midnight,true,ccc93a597333d2019d8d,R04,2019-03-01,7155.125,7158,7146.75,45,0.7051847162281916837746162006,2019
0.2,true,NQZ9,midnight,true,cd021a3c7cee7de1daa2,R04,2019-09-16,7859.625,7863.75,7847,67,0.703848134392631384598089443,2019
0.1,true,NQM9,midnight,true,cd1148085b8481927fe1,R04,2019-06-04,7031.875,7053.75,7013.25,162,0.702682402840029204731553875,2019
0.2,true,NQZ9,full_overnight,true,cd2918b324bf3c46b6b7,R03,2019-10-08,7692.75,7744,7665.5,157,0.7019001307307343677175522795,2019
0.05,true,NQZ9,midnight,true,cd36304c47fa681e0444,R04,2019-09-27,7805.875,7808.5,7787.75,83,0.7041740394339931872357927037,2019
0.05,true,NQH9,prior_rth,true,cd37287c686d030b8766,R01,2019-03-04,7152.375,7163,7129.75,133,0.7029673581660353615709640505,2019
0.05,true,NQH9,prior_rth,true,cd37287c686d030b8766,R02,2019-03-04,7152.375,7163,7129.75,133,0.7029673581660353615709640505,2019
0.05,true,NQZ9,midnight,true,cd6e2b8d5d747dcbabfe,R04,2019-10-30,8055.125,8067.75,8047.75,80,0.7008687269095279731809563955,2019
0.2,true,NQM9,full_overnight,true,cd72d8d1574a9a13e557,R03,2019-05-13,7412.75,7514,7403,222,0.7037156482446395551582330475,2019
0.2,true,NQZ9,midnight,true,cd8d7260d7310489db41,R04,2019-10-07,7742.125,7750.5,7729.75,83,0.7065647877135775723565304867,2019
