bin_ratio,contract,family,poc_class,poc_high_bin_index,poc_low_bin_index,poc_price,poc_volume,poc_width_bins,profile_id,relationship_id,session_date,year
0.1,NQM9,midnight,POC_ATOMIC,29776,29776,7444.125,1044.099057560086971851677734,1,0062469027d533d45a72,R04,2019-06-10,2019
0.1,NQH9,full_overnight,POC_ATOMIC,26258,26258,6564.625,1527.42034889326584036504618,1,006b191194737bea0026,R03,2019-01-10,2019
0.05,NQH9,prior_rth,POC_ATOMIC,27548,27548,6887.125,3399.777102360381812463166359,1,00979fc20eaca6c229f8,R01,2019-02-08,2019
0.05,NQH9,prior_rth,POC_ATOMIC,27548,27548,6887.125,3399.777102360381812463166359,1,00979fc20eaca6c229f8,R02,2019-02-08,2019
0.05,NQZ9,opening_hour_rth,POC_ATOMIC,33684,33684,8421.125,1663.698718753637617734980818,1,00d38033493193f17284,R05,2019-12-09,2019
0.1,NQM9,prior_rth,POC_ATOMIC,31286,31286,7821.625,4634.647339773516244104479399,1,00f9b0c287e65da88a14,R01,2019-04-25,2019
0.1,NQM9,prior_rth,POC_ATOMIC,31286,31286,7821.625,4634.647339773516244104479399,1,00f9b0c287e65da88a14,R02,2019-04-25,2019
0.1,NQU9,opening_hour_rth,POC_ATOMIC,30700,30700,7675.125,1152.219329281829281829281829,1,0110ef35506cb71453b5,R05,2019-06-28,2019
0.2,NQH9,prior_rth,POC_ATOMIC,13115,13115,6557.75,4737.099539285104300584176745,1,01404b61abebe45f2383,R01,2019-01-09,2019
0.2,NQH9,prior_rth,POC_ATOMIC,13115,13115,6557.75,4737.099539285104300584176745,1,01404b61abebe45f2383,R02,2019-01-09,2019
0.05,NQU9,midnight,POC_ATOMIC,31742,31742,7935.625,1000.487225261015761789915632,1,0163817b5d64fa9a1c11,R04,2019-09-12,2019
0.05,NQM9,midnight,POC_ATOMIC,29534,29534,7383.625,748.5089611532258591082120494,1,0164617be5ba286e2f6d,R04,2019-03-27,2019
0.05,NQM9,opening_hour_rth,POC_ATOMIC,29474,29471,7367.875,5997.559185986050183777828512,4,01647bd5445fb75d210b,R05,2019-05-24,2019
0.1,NQU9,prior_rth,POC_ATOMIC,31474,31474,7868.625,2140.627667704543972292450994,1,017fc555329685535952,R01,2019-09-10,2019
0.1,NQU9,prior_rth,POC_ATOMIC,31474,31474,7868.625,2140.627667704543972292450994,1,017fc555329685535952,R02,2019-09-10,2019
0.1,NQM9,opening_hour_rth,POC_ATOMIC,31380,31380,7845.125,1976.158934822186616593018705,1,01b318fd99657e5e833f,R05,2019-04-29,2019
0.2,NQM9,prior_rth,POC_ATOMIC,7571,7571,7571.5,13508.75714285714285714285714,1,01b7232147c5566ae728,R01,2019-05-20,2019
0.2,NQM9,prior_rth,POC_ATOMIC,7571,7571,7571.5,13508.75714285714285714285714,1,01b7232147c5566ae728,R02,2019-05-20,2019
0.1,NQH9,full_overnight,POC_ATOMIC,26461,26461,6615.375,983.9492634996582365003417635,1,024c69df2b3f2e8b542e,R03,2019-01-11,2019
0.1,NQH9,midnight,POC_ATOMIC,27461,27461,6865.375,1182.575918525918525918525919,1,0251c7c87733a555086f,R04,2019-01-31,2019
0.1,NQZ9,full_overnight,POC_ATOMIC,32219,32219,8054.875,1219.425197025197025197025197,1,025d82e87074467d7c18,R03,2019-10-30,2019
0.2,NQM9,prior_rth,POC_ATOMIC,14313,14313,7156.75,5645.115247954659719365601719,1,0293418b0c709af1f6f0,R01,2019-06-03,2019
0.2,NQM9,prior_rth,POC_ATOMIC,14313,14313,7156.75,5645.115247954659719365601719,1,0293418b0c709af1f6f0,R02,2019-06-03,2019
0.2,NQH9,opening_hour_rth,POC_ATOMIC,28032,28032,7008.125,1673.757055759944775963082599,1,02a64a8f27b9624b608f,R05,2019-02-05,2019
0.05,NQH9,full_overnight,POC_ATOMIC,28170,28170,7042.625,1189.07563336601027058124091,1,02ae3cb469c85164d049,R03,2019-02-14,2019
0.2,NQZ9,full_overnight,POC_ATOMIC,15387,15387,7693.75,3311.04825767049989463448483,1,02b873f3a344d16378d0,R03,2019-10-10,2019
