relationship_id,control_family,width_bins,count
R01,C01_NEUTRAL,1,10577
R01,C01_NEUTRAL,2,298
R01,C01_NEUTRAL,3,41
R01,C01_NEUTRAL,4,15
R01,C01_NEUTRAL,5,4
R01,C02_ACTIVITY_MATCHED,1,10577
R01,C02_ACTIVITY_MATCHED,2,298
R01,C02_ACTIVITY_MATCHED,3,41
R01,C02_ACTIVITY_MATCHED,4,15
R01,C02_ACTIVITY_MATCHED,5,4
R02,C01_NEUTRAL,1,10577
R02,C01_NEUTRAL,2,298
R02,C01_NEUTRAL,3,41
R02,C01_NEUTRAL,4,15
R02,C01_NEUTRAL,5,4
R02,C02_ACTIVITY_MATCHED,1,10577
R02,C02_ACTIVITY_MATCHED,2,298
R02,C02_ACTIVITY_MATCHED,3,41
R02,C02_ACTIVITY_MATCHED,4,15
R02,C02_ACTIVITY_MATCHED,5,4
R03,C01_NEUTRAL,1,7307
R03,C01_NEUTRAL,2,35
R03,C01_NEUTRAL,3,4
R03,C02_ACTIVITY_MATCHED,1,7307
R03,C02_ACTIVITY_MATCHED,2,35
R03,C02_ACTIVITY_MATCHED,3,4
R04,C01_NEUTRAL,1,7723
R04,C01_NEUTRAL,2,72
R04,C01_NEUTRAL,3,15
R04,C01_NEUTRAL,4,3
R04,C01_NEUTRAL,5,2
R04,C02_ACTIVITY_MATCHED,1,7723
R04,C02_ACTIVITY_MATCHED,2,72
R04,C02_ACTIVITY_MATCHED,3,15
R04,C02_ACTIVITY_MATCHED,4,3
R04,C02_ACTIVITY_MATCHED,5,2
R05,C01_NEUTRAL,1,3675
R05,C01_NEUTRAL,2,843
R05,C01_NEUTRAL,3,367
R05,C01_NEUTRAL,4,125
R05,C01_NEUTRAL,5,64
R05,C02_ACTIVITY_MATCHED,1,3675
R05,C02_ACTIVITY_MATCHED,2,843
R05,C02_ACTIVITY_MATCHED,3,367
R05,C02_ACTIVITY_MATCHED,4,125
R05,C02_ACTIVITY_MATCHED,5,64
