bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,tpo_POC,tpo_VAH,tpo_VAL,tpo_value_area_bin_count,tpo_value_area_tpo_share,year
0.1,true,NQM9,midnight,true,0062469027d533d45a72,R04,2019-06-10,7444.125,7458.25,7437,85,0.7021331945889698231009365245,2019
0.1,true,NQH9,full_overnight,true,006b191194737bea0026,R03,2019-01-10,6565.375,6576.5,6556.5,80,0.7013223894208846329229366165,2019
0.05,true,NQH9,prior_rth,true,00979fc20eaca6c229f8,R01,2019-02-08,6888.625,6912.25,6861.5,203,0.7000888437618987181114354614,2019
0.05,true,NQH9,prior_rth,true,00979fc20eaca6c229f8,R02,2019-02-08,6888.625,6912.25,6861.5,203,0.7000888437618987181114354614,2019
0.05,true,NQZ9,opening_hour_rth,true,00d38033493193f17284,R05,2019-12-09,8420.875,8425.25,8414.25,44,0.7054361567635903919089759798,2019
0.1,true,NQM9,prior_rth,true,00f9b0c287e65da88a14,R01,2019-04-25,7821.625,7835,7816.25,75,0.7054005630918863578192986947,2019
0.1,true,NQM9,prior_rth,true,00f9b0c287e65da88a14,R02,2019-04-25,7821.625,7835,7816.25,75,0.7054005630918863578192986947,2019
0.1,true,NQU9,opening_hour_rth,true,0110ef35506cb71453b5,R05,2019-06-28,7673.625,7685.75,7664.5,85,0.7010119595216191352345906164,2019
0.2,true,NQH9,prior_rth,true,01404b61abebe45f2383,R01,2019-01-09,6557.75,6567.5,6511.5,112,0.7042191296664457698254914955,2019
0.2,true,NQH9,prior_rth,true,01404b61abebe45f2383,R02,2019-01-09,6557.75,6567.5,6511.5,112,0.7042191296664457698254914955,2019
0.05,true,NQU9,midnight,true,0163817b5d64fa9a1c11,R04,2019-09-12,7916.625,7935.5,7912.25,93,0.7019298245614035087719298246,2019
0.05,true,NQM9,midnight,true,0164617be5ba286e2f6d,R04,2019-03-27,7399.125,7400.75,7374.5,105,0.7054413542926239419588875453,2019
0.05,true,NQM9,opening_hour_rth,true,01647bd5445fb75d210b,R05,2019-05-24,7360.625,7370.75,7358,51,0.7085828343313373253493013972,2019
0.1,true,NQU9,prior_rth,true,017fc555329685535952,R01,2019-09-10,7868.625,7878.25,7821.25,228,0.7017381656804733727810650888,2019
0.1,true,NQU9,prior_rth,true,017fc555329685535952,R02,2019-09-10,7868.625,7878.25,7821.25,228,0.7017381656804733727810650888,2019
0.1,true,NQM9,opening_hour_rth,true,01b318fd99657e5e833f,R05,2019-04-29,7845.125,7849,7837.5,46,0.7077338129496402877697841727,2019
0.2,true,NQM9,prior_rth,true,01b7232147c5566ae728,R01,2019-05-20,7571.5,7581,7533,48,0.7004252029377657518361035949,2019
0.2,true,NQM9,prior_rth,true,01b7232147c5566ae728,R02,2019-05-20,7571.5,7581,7533,48,0.7004252029377657518361035949,2019
0.1,true,NQH9,full_overnight,true,024c69df2b3f2e8b542e,R03,2019-01-11,6615.375,6624.25,6606.75,70,0.7038077841787269917099901644,2019
0.1,true,NQH9,midnight,true,0251c7c87733a555086f,R04,2019-01-31,6865.375,6874,6858.25,63,0.7028357159596906491680337474,2019
0.1,true,NQZ9,full_overnight,true,025d82e87074467d7c18,R03,2019-10-30,8054.875,8058.5,8048.25,41,0.7033467202141900937081659973,2019
0.2,true,NQM9,prior_rth,true,0293418b0c709af1f6f0,R01,2019-06-03,7156.75,7170.5,7139.5,62,0.7046848856664807585052983826,2019
0.2,true,NQM9,prior_rth,true,0293418b0c709af1f6f0,R02,2019-06-03,7156.75,7170.5,7139.5,62,0.7046848856664807585052983826,2019
0.2,true,NQH9,opening_hour_rth,true,02a64a8f27b9624b608f,R05,2019-02-05,7008.125,7013.75,6999.5,57,0.702970297029702970297029703,2019
0.05,true,NQH9,full_overnight,true,02ae3cb469c85164d049,R03,2019-02-14,7044.125,7050,7014.75,141,0.7049556439278066687060263077,2019
0.2,true,NQZ9,full_overnight,true,02b873f3a344d16378d0,R03,2019-10-10,7693.75,7710.5,7652,117,0.7005937234944868532654792197,2019
0.1,true,NQU9,opening_hour_rth,true,030bfc85f51aeaa4f33e,R05,2019-07-10,7922.875,7939.75,7906.25,134,0.7049300956585724797645327447,2019
0.2,true,NQZ9,opening_hour_rth,true,0337e75fef7d75957a15,R05,2019-12-10,8361.25,8372.5,8347,51,0.7015384615384615384615384615,2019
0.2,true,NQH9,prior_rth,true,0348e2cbbb2bfdc0b54e,R01,2019-01-25,6696.375,6703.5,6678,34,0.7063711911357340720221606648,2019
0.2,true,NQH9,prior_rth,true,0348e2cbbb2bfdc0b54e,R02,2019-01-25,6696.375,6703.5,6678,34,0.7063711911357340720221606648,2019
0.2,true,NQM9,opening_hour_rth,true,0349ab6f9a17b28839cc,R05,2019-03-12,7210.75,7215.5,7203,25,0.7072135785007072135785007072,2019
0.1,true,NQU9,opening_hour_rth,true,03576bb398babb48090e,R05,2019-06-17,7563.875,7570.75,7546.25,98,0.7017255546425636811832374692,2019
0.05,true,NQH9,opening_hour_rth,true,03677a4da6c53004bda7,R05,2019-01-30,6722.375,6727.75,6704.25,94,0.7028051554207733131159969674,2019
0.1,true,NQH9,midnight,true,0371dc56d91b7f27d1b7,R04,2019-02-07,6953.375,6972,6940.75,125,0.7054967221381744831064044377,2019
0.1,true,NQM9,prior_rth,true,037aa209085bb89a10cb,R01,2019-04-26,7843.625,7856.75,7832.5,97,0.7011002444987775061124694377,2019
0.1,true,NQM9,prior_rth,true,037aa209085bb89a10cb,R02,2019-04-26,7843.625,7856.75,7832.5,97,0.7011002444987775061124694377,2019
