node_class,activity_percentile_band,count
NONPOC_ATOMIC_HVN,ge_90,2498
NONPOC_ATOMIC_HVN,ge_95,2088
NONPOC_ATOMIC_HVN,ge_99,586
POC_ATOMIC,ge_90,99
POC_ATOMIC,ge_95,860
POC_ATOMIC,ge_99,2418
POC_ATOMIC,lt_90,45
