relationship_id,node_class,count
R01,NONPOC_ATOMIC_HVN,29264
R01,POC_ATOMIC,741
R02,NONPOC_ATOMIC_HVN,29264
R02,POC_ATOMIC,741
R03,NONPOC_ATOMIC_HVN,21202
R03,POC_ATOMIC,531
R04,NONPOC_ATOMIC_HVN,22676
R04,POC_ATOMIC,672
R05,NONPOC_ATOMIC_HVN,10282
R05,POC_ATOMIC,737
R05,POC_BROAD,4
