node_class,geometry,width_bins,count
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,10,156
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,11,99
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,12,89
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,13,78
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,14,66
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,15,16
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,16,33
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,17,8
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,18,26
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,19,31
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,20,21
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,21,3
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,23,5
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,24,1
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,25,3
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,26,3
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,27,5
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,28,5
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,29,2
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,31,2
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,32,2
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,34,6
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,35,2
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,48,6
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,51,4
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,6,597
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,7,386
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,8,273
NONPOC_ATOMIC_HVN,BROAD_COMPOSITE_PLATEAU,9,182
NONPOC_ATOMIC_HVN,COMPOSITE_FLAT_TOP_PLATEAU,2,9528
NONPOC_ATOMIC_HVN,COMPOSITE_FLAT_TOP_PLATEAU,3,3490
NONPOC_ATOMIC_HVN,COMPOSITE_FLAT_TOP_PLATEAU,4,1578
NONPOC_ATOMIC_HVN,COMPOSITE_FLAT_TOP_PLATEAU,5,931
NONPOC_ATOMIC_HVN,ONE_BIN_COMPOSITE_LOCAL_MAXIMUM,1,95051
POC_ATOMIC,COMPOSITE_FLAT_TOP_PLATEAU,2,31
POC_ATOMIC,COMPOSITE_FLAT_TOP_PLATEAU,3,14
POC_ATOMIC,COMPOSITE_FLAT_TOP_PLATEAU,4,10
POC_ATOMIC,ONE_BIN_COMPOSITE_LOCAL_MAXIMUM,1,3367
POC_BROAD,COMPOSITE_FLAT_TOP_PLATEAU,6,2
POC_BROAD,COMPOSITE_FLAT_TOP_PLATEAU,8,2
