relationship_id,control_family,width_bins,count
R01,C01_NEUTRAL,1,1823
R01,C01_NEUTRAL,2,12
R01,C01_NEUTRAL,3,6
R01,C02_ACTIVITY_MATCHED,1,1823
R01,C02_ACTIVITY_MATCHED,2,12
R01,C02_ACTIVITY_MATCHED,3,6
R02,C01_NEUTRAL,1,1823
R02,C01_NEUTRAL,2,12
R02,C01_NEUTRAL,3,6
R02,C02_ACTIVITY_MATCHED,1,1823
R02,C02_ACTIVITY_MATCHED,2,12
R02,C02_ACTIVITY_MATCHED,3,6
R03,C01_NEUTRAL,1,1744
R03,C02_ACTIVITY_MATCHED,1,1744
R04,C01_NEUTRAL,1,1562
R04,C01_NEUTRAL,2,8
R04,C01_NEUTRAL,3,3
R04,C02_ACTIVITY_MATCHED,1,1562
R04,C02_ACTIVITY_MATCHED,2,8
R04,C02_ACTIVITY_MATCHED,3,3
R05,C01_NEUTRAL,1,1255
R05,C01_NEUTRAL,2,204
R05,C01_NEUTRAL,3,94
R05,C01_NEUTRAL,4,32
R05,C01_NEUTRAL,5,10
R05,C02_ACTIVITY_MATCHED,1,1255
R05,C02_ACTIVITY_MATCHED,2,204
R05,C02_ACTIVITY_MATCHED,3,94
R05,C02_ACTIVITY_MATCHED,4,32
R05,C02_ACTIVITY_MATCHED,5,10
