population,displacement,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,lt_0.5,15,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
NONPOC,lt_0.5,15,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,lt_0.5,30,C01_NEUTRAL,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,lt_0.5,30,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,lt_0.5,60,C01_NEUTRAL,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,lt_0.5,60,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,0.5_1.0,15,C01_NEUTRAL,14,11,50.00,18.18,31.82,2/4,False,True,100.00,0.00,37.50,75.00
NONPOC,0.5_1.0,15,C02_ACTIVITY_MATCHED,14,3,50.00,33.33,16.67,1/4,False,True,100.00,0.00,37.50,75.00
NONPOC,0.5_1.0,30,C01_NEUTRAL,14,11,50.00,27.27,22.73,1/4,False,True,100.00,0.00,50.00,50.00
NONPOC,0.5_1.0,30,C02_ACTIVITY_MATCHED,14,3,50.00,66.67,-16.67,2/4,False,True,100.00,0.00,50.00,50.00
NONPOC,0.5_1.0,60,C01_NEUTRAL,14,11,57.14,18.18,38.96,2/4,False,True,100.00,0.00,62.50,50.00
NONPOC,0.5_1.0,60,C02_ACTIVITY_MATCHED,14,3,57.14,66.67,-9.53,2/4,False,True,100.00,0.00,62.50,50.00
NONPOC,1.0_1.5,15,C01_NEUTRAL,27,20,37.04,45.00,-7.96,3/4,False,True,60.00,25.00,37.50,33.33
NONPOC,1.0_1.5,15,C02_ACTIVITY_MATCHED,27,21,37.04,47.62,-10.58,2/4,False,True,60.00,25.00,37.50,33.33
NONPOC,1.0_1.5,30,C01_NEUTRAL,27,20,37.04,55.00,-17.96,2/4,False,True,60.00,25.00,37.50,33.33
NONPOC,1.0_1.5,30,C02_ACTIVITY_MATCHED,27,21,37.04,52.38,-15.34,3/4,False,True,60.00,25.00,37.50,33.33
NONPOC,1.0_1.5,60,C01_NEUTRAL,27,20,44.44,65.00,-20.56,3/4,False,True,40.00,50.00,37.50,50.00
NONPOC,1.0_1.5,60,C02_ACTIVITY_MATCHED,27,21,44.44,52.38,-7.94,3/4,False,True,40.00,50.00,37.50,50.00
NONPOC,gt_1.5,15,C01_NEUTRAL,1328,1326,50.53,50.15,0.38,2/4,False,False,49.48,48.65,54.98,49.19
NONPOC,gt_1.5,15,C02_ACTIVITY_MATCHED,1328,1205,50.53,48.55,1.98,3/4,True,False,49.48,48.65,54.98,49.19
NONPOC,gt_1.5,30,C01_NEUTRAL,1322,1316,49.24,49.92,-0.68,3/4,True,False,51.03,46.87,51.06,49.07
NONPOC,gt_1.5,30,C02_ACTIVITY_MATCHED,1322,1194,49.24,51.17,-1.93,3/4,True,False,51.03,46.87,51.06,49.07
NONPOC,gt_1.5,60,C01_NEUTRAL,1298,1297,49.85,51.20,-1.35,3/4,True,False,50.52,46.80,51.72,50.70
NONPOC,gt_1.5,60,C02_ACTIVITY_MATCHED,1298,1170,49.85,53.33,-3.48,4/4,True,False,50.52,46.80,51.72,50.70
POC,0.5_1.0,15,C01_NEUTRAL,14,13,21.43,61.54,-40.11,2/4,False,True,50.00,50.00,0.00,0.00
POC,0.5_1.0,15,C02_ACTIVITY_MATCHED,14,5,21.43,100.00,-78.57,2/4,False,True,50.00,50.00,0.00,0.00
POC,0.5_1.0,30,C01_NEUTRAL,14,13,14.29,76.92,-62.63,3/4,False,True,25.00,50.00,0.00,0.00
POC,0.5_1.0,30,C02_ACTIVITY_MATCHED,14,5,14.29,80.00,-65.71,2/4,False,True,25.00,50.00,0.00,0.00
POC,0.5_1.0,60,C01_NEUTRAL,14,13,28.57,69.23,-40.66,2/4,False,True,50.00,50.00,16.67,0.00
POC,0.5_1.0,60,C02_ACTIVITY_MATCHED,14,5,28.57,80.00,-51.43,2/4,False,True,50.00,50.00,16.67,0.00
POC,1.0_1.5,15,C01_NEUTRAL,35,36,40.00,47.22,-7.22,2/4,False,False,33.33,50.00,58.33,10.00
POC,1.0_1.5,15,C02_ACTIVITY_MATCHED,35,30,40.00,56.67,-16.67,3/4,True,False,33.33,50.00,58.33,10.00
POC,1.0_1.5,30,C01_NEUTRAL,35,36,54.29,47.22,7.07,3/4,True,False,66.67,40.00,75.00,40.00
POC,1.0_1.5,30,C02_ACTIVITY_MATCHED,35,30,54.29,50.00,4.29,1/4,False,False,66.67,40.00,75.00,40.00
POC,1.0_1.5,60,C01_NEUTRAL,35,36,45.71,50.00,-4.29,2/4,False,False,66.67,40.00,66.67,20.00
POC,1.0_1.5,60,C02_ACTIVITY_MATCHED,35,30,45.71,50.00,-4.29,1/4,False,False,66.67,40.00,66.67,20.00
POC,gt_1.5,15,C01_NEUTRAL,3083,3066,51.87,50.23,1.64,3/4,True,False,50.39,50.06,54.19,53.02
POC,gt_1.5,15,C02_ACTIVITY_MATCHED,3083,2186,51.87,50.59,1.28,3/4,True,False,50.39,50.06,54.19,53.02
POC,gt_1.5,30,C01_NEUTRAL,3076,3062,51.04,50.07,0.97,3/4,True,False,53.12,49.45,50.45,51.27
POC,gt_1.5,30,C02_ACTIVITY_MATCHED,3076,2178,51.04,49.31,1.73,3/4,True,False,53.12,49.45,50.45,51.27
POC,gt_1.5,60,C01_NEUTRAL,3042,3030,52.20,51.88,0.32,1/4,False,False,50.33,51.49,52.69,54.55
POC,gt_1.5,60,C02_ACTIVITY_MATCHED,3042,2149,52.20,50.16,2.04,4/4,True,False,50.33,51.49,52.69,54.55
