population,volume,displacement,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,elevated,1.0_1.5,15,C02_ACTIVITY_MATCHED,1,3,0.00,33.33,-33.33,1/4,False,True,,,,0.00
NONPOC,elevated,1.0_1.5,30,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,,100.00
NONPOC,elevated,1.0_1.5,30,C02_ACTIVITY_MATCHED,1,3,100.00,33.33,66.67,0/4,False,True,,,,100.00
NONPOC,elevated,1.0_1.5,60,C01_NEUTRAL,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
NONPOC,elevated,1.0_1.5,60,C02_ACTIVITY_MATCHED,1,3,0.00,33.33,-33.33,0/4,False,True,,,,0.00
NONPOC,elevated,gt_1.5,15,C01_NEUTRAL,111,124,53.15,49.19,3.96,3/4,True,False,50.00,45.71,65.52,51.43
NONPOC,elevated,gt_1.5,15,C02_ACTIVITY_MATCHED,111,114,53.15,50.00,3.15,1/4,False,False,50.00,45.71,65.52,51.43
NONPOC,elevated,gt_1.5,30,C01_NEUTRAL,110,122,47.27,48.36,-1.09,2/4,False,False,41.67,40.00,53.57,51.43
NONPOC,elevated,gt_1.5,30,C02_ACTIVITY_MATCHED,110,112,47.27,54.46,-7.19,4/4,True,False,41.67,40.00,53.57,51.43
NONPOC,elevated,gt_1.5,60,C01_NEUTRAL,108,120,52.78,53.33,-0.55,2/4,False,False,41.67,50.00,59.26,54.29
NONPOC,elevated,gt_1.5,60,C02_ACTIVITY_MATCHED,108,107,52.78,59.81,-7.03,3/4,True,False,41.67,50.00,59.26,54.29
NONPOC,extreme,0.5_1.0,15,C01_NEUTRAL,2,3,0.00,33.33,-33.33,1/4,False,True,,,0.00,
NONPOC,extreme,0.5_1.0,15,C02_ACTIVITY_MATCHED,2,1,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,extreme,0.5_1.0,30,C01_NEUTRAL,2,3,50.00,33.33,16.67,1/4,False,True,,,50.00,
NONPOC,extreme,0.5_1.0,30,C02_ACTIVITY_MATCHED,2,1,50.00,100.00,-50.00,1/4,False,True,,,50.00,
NONPOC,extreme,0.5_1.0,60,C01_NEUTRAL,2,3,100.00,33.33,66.67,1/4,False,True,,,100.00,
NONPOC,extreme,0.5_1.0,60,C02_ACTIVITY_MATCHED,2,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
NONPOC,extreme,1.0_1.5,15,C01_NEUTRAL,3,1,66.67,100.00,-33.33,1/4,False,True,,100.00,0.00,100.00
NONPOC,extreme,1.0_1.5,15,C02_ACTIVITY_MATCHED,3,2,66.67,50.00,16.67,0/4,False,True,,100.00,0.00,100.00
NONPOC,extreme,1.0_1.5,30,C01_NEUTRAL,3,1,33.33,100.00,-66.67,1/4,False,True,,100.00,0.00,0.00
NONPOC,extreme,1.0_1.5,30,C02_ACTIVITY_MATCHED,3,2,33.33,0.00,33.33,0/4,False,True,,100.00,0.00,0.00
NONPOC,extreme,1.0_1.5,60,C01_NEUTRAL,3,1,66.67,0.00,66.67,0/4,False,True,,100.00,0.00,100.00
NONPOC,extreme,1.0_1.5,60,C02_ACTIVITY_MATCHED,3,2,66.67,50.00,16.67,0/4,False,True,,100.00,0.00,100.00
NONPOC,extreme,gt_1.5,15,C01_NEUTRAL,215,209,51.63,54.07,-2.44,3/4,True,False,41.67,50.91,57.89,52.24
NONPOC,extreme,gt_1.5,15,C02_ACTIVITY_MATCHED,215,191,51.63,47.64,3.99,3/4,True,False,41.67,50.91,57.89,52.24
NONPOC,extreme,gt_1.5,30,C01_NEUTRAL,213,207,48.36,49.28,-0.92,2/4,False,False,47.22,53.70,43.86,48.48
NONPOC,extreme,gt_1.5,30,C02_ACTIVITY_MATCHED,213,190,48.36,53.68,-5.32,2/4,False,False,47.22,53.70,43.86,48.48
NONPOC,extreme,gt_1.5,60,C01_NEUTRAL,204,201,55.39,55.22,0.17,2/4,False,False,52.78,58.82,55.77,53.85
NONPOC,extreme,gt_1.5,60,C02_ACTIVITY_MATCHED,204,181,55.39,55.25,0.14,2/4,False,False,52.78,58.82,55.77,53.85
NONPOC,undefined,gt_1.5,15,C01_NEUTRAL,20,20,45.00,50.00,-5.00,1/4,False,True,25.00,66.67,50.00,33.33
NONPOC,undefined,gt_1.5,15,C02_ACTIVITY_MATCHED,20,21,45.00,47.62,-2.62,2/4,False,True,25.00,66.67,50.00,33.33
NONPOC,undefined,gt_1.5,30,C01_NEUTRAL,20,20,45.00,70.00,-25.00,3/4,False,True,50.00,16.67,100.00,33.33
NONPOC,undefined,gt_1.5,30,C02_ACTIVITY_MATCHED,20,21,45.00,47.62,-2.62,1/4,False,True,50.00,16.67,100.00,33.33
NONPOC,undefined,gt_1.5,60,C01_NEUTRAL,19,19,57.89,63.16,-5.27,2/4,False,True,50.00,50.00,100.00,40.00
NONPOC,undefined,gt_1.5,60,C02_ACTIVITY_MATCHED,19,21,57.89,66.67,-8.78,2/4,False,True,50.00,50.00,100.00,40.00
