population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,R03,normal,15,C01_NEUTRAL,127,132,51.97,50.00,1.97,2/4,False,False,34.48,58.62,50.00,63.64
POC,R03,normal,15,C02_ACTIVITY_MATCHED,127,73,51.97,56.16,-4.19,2/4,False,False,34.48,58.62,50.00,63.64
POC,R03,normal,30,C01_NEUTRAL,127,131,54.33,52.67,1.66,2/4,False,False,51.72,58.62,47.22,60.61
POC,R03,normal,30,C02_ACTIVITY_MATCHED,127,73,54.33,52.05,2.28,2/4,False,False,51.72,58.62,47.22,60.61
POC,R03,normal,60,C01_NEUTRAL,127,131,53.54,52.67,0.87,3/4,True,False,48.28,55.17,50.00,60.61
POC,R03,normal,60,C02_ACTIVITY_MATCHED,127,73,53.54,53.42,0.12,1/4,False,False,48.28,55.17,50.00,60.61
POC,R04,normal,15,C01_NEUTRAL,127,128,51.97,47.66,4.31,4/4,True,False,42.86,51.52,53.85,59.26
POC,R04,normal,15,C02_ACTIVITY_MATCHED,127,92,51.97,45.65,6.32,3/4,True,False,42.86,51.52,53.85,59.26
POC,R04,normal,30,C01_NEUTRAL,127,128,49.61,51.56,-1.95,3/4,True,False,42.86,48.48,51.28,55.56
POC,R04,normal,30,C02_ACTIVITY_MATCHED,127,92,49.61,54.35,-4.74,3/4,True,False,42.86,48.48,51.28,55.56
POC,R04,normal,60,C01_NEUTRAL,127,128,48.82,50.00,-1.18,3/4,True,False,39.29,45.45,48.72,62.96
POC,R04,normal,60,C02_ACTIVITY_MATCHED,127,92,48.82,51.09,-2.27,2/4,False,False,39.29,45.45,48.72,62.96
POC,R05,normal,15,C01_NEUTRAL,123,124,47.97,51.61,-3.64,2/4,False,False,40.00,48.57,50.00,57.14
POC,R05,normal,15,C02_ACTIVITY_MATCHED,123,99,47.97,43.43,4.54,4/4,True,False,40.00,48.57,50.00,57.14
POC,R05,normal,30,C01_NEUTRAL,123,124,48.78,43.55,5.23,3/4,True,False,48.57,45.71,50.00,52.38
POC,R05,normal,30,C02_ACTIVITY_MATCHED,123,99,48.78,50.51,-1.73,2/4,False,False,48.57,45.71,50.00,52.38
POC,R05,normal,60,C01_NEUTRAL,122,124,56.56,54.03,2.53,2/4,False,False,42.86,61.76,65.62,57.14
POC,R05,normal,60,C02_ACTIVITY_MATCHED,122,98,56.56,52.04,4.52,3/4,True,False,42.86,61.76,65.62,57.14
POC,R01,elevated,15,C01_NEUTRAL,83,85,48.19,49.41,-1.22,2/4,False,False,54.17,50.00,50.00,35.29
POC,R01,elevated,15,C02_ACTIVITY_MATCHED,83,59,48.19,47.46,0.73,2/4,False,False,54.17,50.00,50.00,35.29
POC,R01,elevated,30,C01_NEUTRAL,83,85,51.81,45.88,5.93,2/4,False,False,66.67,50.00,45.45,41.18
POC,R01,elevated,30,C02_ACTIVITY_MATCHED,83,58,51.81,48.28,3.53,2/4,False,False,66.67,50.00,45.45,41.18
POC,R01,elevated,60,C01_NEUTRAL,79,80,46.84,48.75,-1.91,2/4,False,False,37.50,42.11,42.86,73.33
POC,R01,elevated,60,C02_ACTIVITY_MATCHED,79,55,46.84,54.55,-7.71,3/4,True,False,37.50,42.11,42.86,73.33
POC,R02,elevated,15,C01_NEUTRAL,37,38,48.65,47.37,1.28,2/4,False,False,71.43,38.46,50.00,42.86
POC,R02,elevated,15,C02_ACTIVITY_MATCHED,37,25,48.65,52.00,-3.35,2/4,False,True,71.43,38.46,50.00,42.86
POC,R02,elevated,30,C01_NEUTRAL,37,38,43.24,50.00,-6.76,3/4,True,False,57.14,46.15,30.00,42.86
POC,R02,elevated,30,C02_ACTIVITY_MATCHED,37,25,43.24,48.00,-4.76,3/4,False,True,57.14,46.15,30.00,42.86
POC,R02,elevated,60,C01_NEUTRAL,37,38,48.65,44.74,3.91,2/4,False,False,57.14,38.46,40.00,71.43
POC,R02,elevated,60,C02_ACTIVITY_MATCHED,37,25,48.65,40.00,8.65,3/4,False,True,57.14,38.46,40.00,71.43
POC,R03,elevated,15,C01_NEUTRAL,26,30,50.00,46.67,3.33,3/4,False,True,100.00,33.33,33.33,57.14
POC,R03,elevated,15,C02_ACTIVITY_MATCHED,26,15,50.00,46.67,3.33,2/4,False,True,100.00,33.33,33.33,57.14
POC,R03,elevated,30,C01_NEUTRAL,26,30,50.00,43.33,6.67,3/4,False,True,75.00,33.33,50.00,57.14
POC,R03,elevated,30,C02_ACTIVITY_MATCHED,26,15,50.00,46.67,3.33,2/4,False,True,75.00,33.33,50.00,57.14
POC,R03,elevated,60,C01_NEUTRAL,26,30,57.69,50.00,7.69,3/4,False,True,75.00,33.33,50.00,85.71
POC,R03,elevated,60,C02_ACTIVITY_MATCHED,26,15,57.69,60.00,-2.31,3/4,False,True,75.00,33.33,50.00,85.71
POC,R04,elevated,15,C01_NEUTRAL,29,32,44.83,43.75,1.08,1/4,False,True,77.78,12.50,33.33,44.44
POC,R04,elevated,15,C02_ACTIVITY_MATCHED,29,19,44.83,63.16,-18.33,4/4,False,True,77.78,12.50,33.33,44.44
POC,R04,elevated,30,C01_NEUTRAL,29,32,44.83,40.62,4.21,2/4,False,True,55.56,12.50,66.67,55.56
POC,R04,elevated,30,C02_ACTIVITY_MATCHED,29,19,44.83,52.63,-7.80,3/4,False,True,55.56,12.50,66.67,55.56
POC,R04,elevated,60,C01_NEUTRAL,29,32,48.28,56.25,-7.97,2/4,False,True,44.44,12.50,66.67,77.78
POC,R04,elevated,60,C02_ACTIVITY_MATCHED,29,19,48.28,63.16,-14.88,4/4,False,True,44.44,12.50,66.67,77.78
POC,R05,elevated,15,C01_NEUTRAL,41,44,56.10,50.00,6.10,3/4,True,False,64.29,30.00,63.64,66.67
POC,R05,elevated,15,C02_ACTIVITY_MATCHED,41,30,56.10,50.00,6.10,2/4,False,False,64.29,30.00,63.64,66.67
POC,R05,elevated,30,C01_NEUTRAL,40,44,65.00,63.64,1.36,2/4,False,False,69.23,60.00,72.73,50.00
POC,R05,elevated,30,C02_ACTIVITY_MATCHED,40,30,65.00,60.00,5.00,3/4,True,False,69.23,60.00,72.73,50.00
POC,R05,elevated,60,C01_NEUTRAL,40,44,62.50,65.91,-3.41,2/4,False,False,53.85,60.00,90.91,33.33
POC,R05,elevated,60,C02_ACTIVITY_MATCHED,40,30,62.50,66.67,-4.17,2/4,False,False,53.85,60.00,90.91,33.33
POC,R01,extreme,15,C01_NEUTRAL,95,110,48.42,43.64,4.78,3/4,True,False,42.86,46.43,66.67,40.00
POC,R01,extreme,15,C02_ACTIVITY_MATCHED,95,78,48.42,47.44,0.98,2/4,False,False,42.86,46.43,66.67,40.00
POC,R01,extreme,30,C01_NEUTRAL,95,110,55.79,39.09,16.70,4/4,True,False,57.14,46.43,71.43,52.00
POC,R01,extreme,30,C02_ACTIVITY_MATCHED,95,78,55.79,46.15,9.64,3/4,True,False,57.14,46.43,71.43,52.00
POC,R01,extreme,60,C01_NEUTRAL,88,105,61.36,53.33,8.03,4/4,True,False,61.90,62.50,68.42,54.17
POC,R01,extreme,60,C02_ACTIVITY_MATCHED,88,71,61.36,50.70,10.66,4/4,True,False,61.90,62.50,68.42,54.17
POC,R02,extreme,15,C01_NEUTRAL,74,74,52.70,58.11,-5.41,3/4,True,False,31.82,47.37,68.75,70.59
POC,R02,extreme,15,C02_ACTIVITY_MATCHED,74,52,52.70,65.38,-12.68,3/4,True,False,31.82,47.37,68.75,70.59
POC,R02,extreme,30,C01_NEUTRAL,74,74,52.70,56.76,-4.06,2/4,False,False,40.91,57.89,62.50,52.94
POC,R02,extreme,30,C02_ACTIVITY_MATCHED,74,52,52.70,61.54,-8.84,4/4,True,False,40.91,57.89,62.50,52.94
POC,R02,extreme,60,C01_NEUTRAL,72,72,47.22,51.39,-4.17,1/4,False,False,27.27,50.00,66.67,52.94
POC,R02,extreme,60,C02_ACTIVITY_MATCHED,72,51,47.22,50.98,-3.76,1/4,False,False,27.27,50.00,66.67,52.94
POC,R03,extreme,15,C01_NEUTRAL,100,98,52.00,53.06,-1.06,3/4,True,False,45.45,54.55,44.44,62.07
POC,R03,extreme,15,C02_ACTIVITY_MATCHED,100,65,52.00,58.46,-6.46,3/4,True,False,45.45,54.55,44.44,62.07
POC,R03,extreme,30,C01_NEUTRAL,100,98,47.00,53.06,-6.06,3/4,True,False,50.00,59.09,37.04,44.83
POC,R03,extreme,30,C02_ACTIVITY_MATCHED,100,64,47.00,42.19,4.81,2/4,False,False,50.00,59.09,37.04,44.83
POC,R03,extreme,60,C01_NEUTRAL,99,96,56.57,58.33,-1.76,3/4,True,False,50.00,42.86,59.26,68.97
POC,R03,extreme,60,C02_ACTIVITY_MATCHED,99,62,56.57,51.61,4.96,3/4,True,False,50.00,42.86,59.26,68.97
POC,R04,extreme,15,C01_NEUTRAL,121,118,54.55,52.54,2.01,2/4,False,False,50.00,59.26,40.00,67.65
POC,R04,extreme,15,C02_ACTIVITY_MATCHED,121,99,54.55,53.54,1.01,1/4,False,False,50.00,59.26,40.00,67.65
POC,R04,extreme,30,C01_NEUTRAL,121,118,50.41,51.69,-1.28,1/4,False,False,56.67,62.96,33.33,50.00
POC,R04,extreme,30,C02_ACTIVITY_MATCHED,121,98,50.41,48.98,1.43,2/4,False,False,56.67,62.96,33.33,50.00
POC,R04,extreme,60,C01_NEUTRAL,120,116,57.50,56.03,1.47,2/4,False,False,53.33,53.85,53.33,67.65
POC,R04,extreme,60,C02_ACTIVITY_MATCHED,120,97,57.50,52.58,4.92,2/4,False,False,53.33,53.85,53.33,67.65
POC,R05,extreme,15,C01_NEUTRAL,110,112,56.36,50.89,5.47,3/4,True,False,57.58,51.85,64.29,50.00
POC,R05,extreme,15,C02_ACTIVITY_MATCHED,110,80,56.36,52.50,3.86,3/4,True,False,57.58,51.85,64.29,50.00
POC,R05,extreme,30,C01_NEUTRAL,110,112,64.55,56.25,8.30,4/4,True,False,69.70,62.96,64.29,59.09
POC,R05,extreme,30,C02_ACTIVITY_MATCHED,110,80,64.55,60.00,4.55,3/4,True,False,69.70,62.96,64.29,59.09
POC,R05,extreme,60,C01_NEUTRAL,110,112,56.36,53.57,2.79,3/4,True,False,63.64,62.96,53.57,40.91
POC,R05,extreme,60,C02_ACTIVITY_MATCHED,110,80,56.36,53.75,2.61,2/4,False,False,63.64,62.96,53.57,40.91
POC,R01,undefined,15,C01_NEUTRAL,5,5,60.00,60.00,0.00,0/4,False,True,0.00,100.00,50.00,
POC,R01,undefined,15,C02_ACTIVITY_MATCHED,5,5,60.00,40.00,20.00,1/4,False,True,0.00,100.00,50.00,
POC,R01,undefined,30,C01_NEUTRAL,5,5,40.00,60.00,-20.00,1/4,False,True,0.00,50.00,50.00,
POC,R01,undefined,30,C02_ACTIVITY_MATCHED,5,5,40.00,20.00,20.00,1/4,False,True,0.00,50.00,50.00,
POC,R01,undefined,60,C01_NEUTRAL,5,5,40.00,60.00,-20.00,1/4,False,True,0.00,50.00,50.00,
POC,R01,undefined,60,C02_ACTIVITY_MATCHED,5,5,40.00,20.00,20.00,1/4,False,True,0.00,50.00,50.00,
POC,R02,undefined,15,C01_NEUTRAL,2,2,50.00,50.00,0.00,0/4,False,True,,0.00,100.00,
POC,R02,undefined,15,C02_ACTIVITY_MATCHED,2,3,50.00,66.67,-16.67,1/4,False,True,,0.00,100.00,
POC,R02,undefined,30,C01_NEUTRAL,2,2,0.00,50.00,-50.00,1/4,False,True,,0.00,0.00,
POC,R02,undefined,30,C02_ACTIVITY_MATCHED,2,3,0.00,66.67,-66.67,1/4,False,True,,0.00,0.00,
POC,R02,undefined,60,C01_NEUTRAL,2,2,0.00,0.00,0.00,0/4,False,True,,0.00,0.00,
POC,R02,undefined,60,C02_ACTIVITY_MATCHED,2,3,0.00,0.00,0.00,0/4,False,True,,0.00,0.00,
POC,R03,undefined,15,C01_NEUTRAL,6,5,83.33,80.00,3.33,1/4,False,True,50.00,100.00,100.00,100.00
POC,R03,undefined,15,C02_ACTIVITY_MATCHED,6,4,83.33,50.00,33.33,1/4,False,True,50.00,100.00,100.00,100.00
POC,R03,undefined,30,C01_NEUTRAL,6,5,83.33,80.00,3.33,0/4,False,True,100.00,50.00,100.00,100.00
POC,R03,undefined,30,C02_ACTIVITY_MATCHED,6,4,83.33,50.00,33.33,2/4,False,True,100.00,50.00,100.00,100.00
POC,R03,undefined,60,C01_NEUTRAL,6,5,66.67,60.00,6.67,1/4,False,True,50.00,50.00,100.00,100.00
POC,R03,undefined,60,C02_ACTIVITY_MATCHED,6,4,66.67,75.00,-8.33,1/4,False,True,50.00,50.00,100.00,100.00
POC,R04,undefined,15,C01_NEUTRAL,4,4,75.00,75.00,0.00,0/4,False,True,0.00,100.00,100.00,100.00
POC,R04,undefined,15,C02_ACTIVITY_MATCHED,4,4,75.00,75.00,0.00,0/4,False,True,0.00,100.00,100.00,100.00
POC,R04,undefined,30,C01_NEUTRAL,4,4,75.00,75.00,0.00,0/4,False,True,100.00,0.00,100.00,100.00
POC,R04,undefined,30,C02_ACTIVITY_MATCHED,4,4,75.00,50.00,25.00,1/4,False,True,100.00,0.00,100.00,100.00
POC,R04,undefined,60,C01_NEUTRAL,4,4,75.00,75.00,0.00,0/4,False,True,100.00,0.00,100.00,100.00
POC,R04,undefined,60,C02_ACTIVITY_MATCHED,4,4,75.00,75.00,0.00,0/4,False,True,100.00,0.00,100.00,100.00
POC,R05,undefined,15,C01_NEUTRAL,6,6,33.33,50.00,-16.67,1/4,False,True,0.00,50.00,50.00,0.00
POC,R05,undefined,15,C02_ACTIVITY_MATCHED,6,3,33.33,66.67,-33.34,1/4,False,True,0.00,50.00,50.00,0.00
POC,R05,undefined,30,C01_NEUTRAL,5,5,40.00,40.00,0.00,0/4,False,True,0.00,0.00,100.00,0.00
POC,R05,undefined,30,C02_ACTIVITY_MATCHED,5,3,40.00,66.67,-26.67,1/4,False,True,0.00,0.00,100.00,0.00
POC,R05,undefined,60,C01_NEUTRAL,5,5,60.00,60.00,0.00,0/4,False,True,0.00,100.00,100.00,0.00
POC,R05,undefined,60,C02_ACTIVITY_MATCHED,5,3,60.00,66.67,-6.67,0/4,False,True,0.00,100.00,100.00,0.00
