population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,R04,below_normal,15,C02_ACTIVITY_MATCHED,88,87,52.27,48.28,3.99,3/4,True,False,75.00,59.09,56.25,45.65
NONPOC,R04,below_normal,30,C01_NEUTRAL,88,88,44.32,45.45,-1.13,1/4,False,False,25.00,50.00,56.25,39.13
NONPOC,R04,below_normal,30,C02_ACTIVITY_MATCHED,88,87,44.32,42.53,1.79,2/4,False,False,25.00,50.00,56.25,39.13
NONPOC,R04,below_normal,60,C01_NEUTRAL,86,86,47.67,47.67,0.00,0/4,False,False,25.00,52.38,53.33,45.65
NONPOC,R04,below_normal,60,C02_ACTIVITY_MATCHED,86,87,47.67,50.57,-2.90,4/4,True,False,25.00,52.38,53.33,45.65
NONPOC,R05,below_normal,15,C01_NEUTRAL,125,131,54.40,52.67,1.73,3/4,True,False,75.00,37.50,65.85,50.00
NONPOC,R05,below_normal,15,C02_ACTIVITY_MATCHED,125,118,54.40,50.85,3.55,2/4,False,False,75.00,37.50,65.85,50.00
NONPOC,R05,below_normal,30,C01_NEUTRAL,125,131,51.20,55.73,-4.53,2/4,False,False,75.00,37.50,58.54,47.50
NONPOC,R05,below_normal,30,C02_ACTIVITY_MATCHED,125,118,51.20,51.69,-0.49,2/4,False,False,75.00,37.50,58.54,47.50
NONPOC,R05,below_normal,60,C01_NEUTRAL,125,131,59.20,58.78,0.42,3/4,True,False,58.33,50.00,63.41,62.50
NONPOC,R05,below_normal,60,C02_ACTIVITY_MATCHED,125,116,59.20,57.76,1.44,1/4,False,False,58.33,50.00,63.41,62.50
NONPOC,R01,normal,15,C01_NEUTRAL,50,56,54.00,48.21,5.79,1/4,False,False,66.67,33.33,70.59,41.67
NONPOC,R01,normal,15,C02_ACTIVITY_MATCHED,50,52,54.00,40.38,13.62,4/4,True,False,66.67,33.33,70.59,41.67
NONPOC,R01,normal,30,C01_NEUTRAL,50,55,42.00,58.18,-16.18,3/4,True,False,55.56,25.00,35.29,58.33
NONPOC,R01,normal,30,C02_ACTIVITY_MATCHED,50,52,42.00,57.69,-15.69,4/4,True,False,55.56,25.00,35.29,58.33
NONPOC,R01,normal,60,C01_NEUTRAL,48,54,39.58,59.26,-19.68,4/4,True,False,33.33,33.33,50.00,36.36
NONPOC,R01,normal,60,C02_ACTIVITY_MATCHED,48,52,39.58,46.15,-6.57,3/4,True,False,33.33,33.33,50.00,36.36
NONPOC,R02,normal,15,C01_NEUTRAL,55,52,38.18,34.62,3.56,2/4,False,False,62.50,17.65,37.50,50.00
NONPOC,R02,normal,15,C02_ACTIVITY_MATCHED,55,58,38.18,36.21,1.97,3/4,True,False,62.50,17.65,37.50,50.00
NONPOC,R02,normal,30,C01_NEUTRAL,54,51,55.56,49.02,6.54,2/4,False,False,62.50,50.00,50.00,64.29
NONPOC,R02,normal,30,C02_ACTIVITY_MATCHED,54,56,55.56,48.21,7.35,4/4,True,False,62.50,50.00,50.00,64.29
NONPOC,R02,normal,60,C01_NEUTRAL,52,50,46.15,46.00,0.15,2/4,False,False,50.00,37.50,37.50,66.67
NONPOC,R02,normal,60,C02_ACTIVITY_MATCHED,52,55,46.15,38.18,7.97,4/4,True,False,50.00,37.50,37.50,66.67
NONPOC,R03,normal,15,C01_NEUTRAL,81,75,41.98,45.33,-3.35,3/4,True,False,42.86,40.00,45.00,40.62
NONPOC,R03,normal,15,C02_ACTIVITY_MATCHED,81,64,41.98,39.06,2.92,3/4,True,False,42.86,40.00,45.00,40.62
NONPOC,R03,normal,30,C01_NEUTRAL,81,74,50.62,50.00,0.62,2/4,False,False,50.00,46.67,45.00,56.25
NONPOC,R03,normal,30,C02_ACTIVITY_MATCHED,81,63,50.62,49.21,1.41,3/4,True,False,50.00,46.67,45.00,56.25
NONPOC,R03,normal,60,C01_NEUTRAL,81,74,44.44,41.89,2.55,3/4,True,False,35.71,46.67,40.00,50.00
NONPOC,R03,normal,60,C02_ACTIVITY_MATCHED,81,63,44.44,49.21,-4.77,3/4,True,False,35.71,46.67,40.00,50.00
NONPOC,R04,normal,15,C01_NEUTRAL,40,39,45.00,43.59,1.41,3/4,True,False,28.57,30.77,0.00,66.67
NONPOC,R04,normal,15,C02_ACTIVITY_MATCHED,40,34,45.00,41.18,3.82,2/4,False,False,28.57,30.77,0.00,66.67
NONPOC,R04,normal,30,C01_NEUTRAL,40,39,47.50,48.72,-1.22,2/4,False,False,85.71,38.46,0.00,44.44
NONPOC,R04,normal,30,C02_ACTIVITY_MATCHED,40,34,47.50,52.94,-5.44,3/4,True,False,85.71,38.46,0.00,44.44
NONPOC,R04,normal,60,C01_NEUTRAL,40,39,47.50,58.97,-11.47,3/4,True,False,42.86,46.15,50.00,50.00
