population,arm,events,with_seasonal_baseline,baseline_coverage_pct,volume_bucket_defined,bucket_coverage_pct
NONPOC,TREATED,1389,1368,98.49,1368,98.49
NONPOC,C01_NEUTRAL,1380,1359,98.48,1359,98.48
NONPOC,C02_ACTIVITY_MATCHED,1247,1225,98.24,1225,98.24
POC,TREATED,3161,3138,99.27,3138,99.27
POC,C01_NEUTRAL,3147,3125,99.30,3125,99.30
POC,C02_ACTIVITY_MATCHED,2242,2223,99.15,2223,99.15
