population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,below_normal,gt_1.5,high,30,C01_NEUTRAL,21,19,47.62,42.11,5.51,2/4,False,True,50.00,37.50,25.00,80.00
NONPOC,below_normal,gt_1.5,high,30,C02_ACTIVITY_MATCHED,21,22,47.62,59.09,-11.47,3/4,False,True,50.00,37.50,25.00,80.00
NONPOC,below_normal,gt_1.5,high,60,C01_NEUTRAL,21,19,52.38,63.16,-10.78,2/4,False,True,50.00,50.00,25.00,80.00
NONPOC,below_normal,gt_1.5,high,60,C02_ACTIVITY_MATCHED,21,22,52.38,63.64,-11.26,3/4,False,True,50.00,50.00,25.00,80.00
NONPOC,normal,lt_0.5,low,15,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,lt_0.5,low,30,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,lt_0.5,low,60,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,1.0_1.5,low,15,C01_NEUTRAL,3,2,66.67,100.00,-33.33,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,low,15,C02_ACTIVITY_MATCHED,3,4,66.67,50.00,16.67,1/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,low,30,C01_NEUTRAL,3,2,66.67,100.00,-33.33,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,low,30,C02_ACTIVITY_MATCHED,3,4,66.67,50.00,16.67,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,low,60,C01_NEUTRAL,3,2,33.33,50.00,-16.67,0/4,False,True,0.00,0.00,100.00,
NONPOC,normal,1.0_1.5,low,60,C02_ACTIVITY_MATCHED,3,4,33.33,0.00,33.33,1/4,False,True,0.00,0.00,100.00,
NONPOC,normal,gt_1.5,low,15,C01_NEUTRAL,146,135,45.21,47.41,-2.20,3/4,True,False,46.43,28.21,61.29,47.92
NONPOC,normal,gt_1.5,low,15,C02_ACTIVITY_MATCHED,146,116,45.21,38.79,6.42,3/4,True,False,46.43,28.21,61.29,47.92
NONPOC,normal,gt_1.5,low,30,C01_NEUTRAL,146,133,55.48,58.65,-3.17,2/4,False,False,64.29,43.59,51.61,62.50
NONPOC,normal,gt_1.5,low,30,C02_ACTIVITY_MATCHED,146,115,55.48,61.74,-6.26,3/4,True,False,64.29,43.59,51.61,62.50
NONPOC,normal,gt_1.5,low,60,C01_NEUTRAL,143,131,50.35,56.49,-6.14,3/4,True,False,42.86,41.03,63.33,54.35
NONPOC,normal,gt_1.5,low,60,C02_ACTIVITY_MATCHED,143,114,50.35,49.12,1.23,2/4,False,False,42.86,41.03,63.33,54.35
NONPOC,normal,gt_1.5,medium,15,C01_NEUTRAL,102,107,45.10,42.06,3.04,2/4,False,False,44.44,48.28,32.14,55.56
NONPOC,normal,gt_1.5,medium,15,C02_ACTIVITY_MATCHED,102,101,45.10,35.64,9.46,4/4,True,False,44.44,48.28,32.14,55.56
NONPOC,normal,gt_1.5,medium,30,C01_NEUTRAL,101,106,48.51,46.23,2.28,2/4,False,False,55.56,50.00,42.86,48.15
NONPOC,normal,gt_1.5,medium,30,C02_ACTIVITY_MATCHED,101,98,48.51,38.78,9.73,3/4,True,False,55.56,50.00,42.86,48.15
NONPOC,normal,gt_1.5,medium,60,C01_NEUTRAL,100,106,47.00,45.28,1.72,3/4,True,False,55.56,53.57,32.14,50.00
NONPOC,normal,gt_1.5,medium,60,C02_ACTIVITY_MATCHED,100,97,47.00,43.30,3.70,2/4,False,False,55.56,53.57,32.14,50.00
NONPOC,normal,gt_1.5,high,15,C01_NEUTRAL,32,27,34.38,44.44,-10.06,3/4,False,True,25.00,28.57,40.00,36.36
NONPOC,normal,gt_1.5,high,15,C02_ACTIVITY_MATCHED,32,30,34.38,56.67,-22.29,3/4,True,False,25.00,28.57,40.00,36.36
NONPOC,normal,gt_1.5,high,30,C01_NEUTRAL,32,27,40.62,51.85,-11.23,3/4,False,True,75.00,28.57,40.00,36.36
NONPOC,normal,gt_1.5,high,30,C02_ACTIVITY_MATCHED,32,30,40.62,56.67,-16.05,3/4,True,False,75.00,28.57,40.00,36.36
NONPOC,normal,gt_1.5,high,60,C01_NEUTRAL,32,27,40.62,55.56,-14.94,4/4,False,True,75.00,28.57,30.00,45.45
NONPOC,normal,gt_1.5,high,60,C02_ACTIVITY_MATCHED,32,30,40.62,56.67,-16.05,4/4,True,False,75.00,28.57,30.00,45.45
NONPOC,elevated,0.5_1.0,low,15,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,0.5_1.0,low,30,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,0.5_1.0,low,60,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,1.0_1.5,medium,15,C02_ACTIVITY_MATCHED,1,1,0.00,0.00,0.00,0/4,False,True,,,,0.00
NONPOC,elevated,1.0_1.5,medium,30,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,0/4,False,True,,,,100.00
NONPOC,elevated,1.0_1.5,medium,60,C02_ACTIVITY_MATCHED,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
NONPOC,elevated,gt_1.5,low,15,C01_NEUTRAL,50,60,58.00,48.33,9.67,3/4,True,False,50.00,50.00,69.23,63.64
NONPOC,elevated,gt_1.5,low,15,C02_ACTIVITY_MATCHED,50,54,58.00,48.15,9.85,4/4,True,False,50.00,50.00,69.23,63.64
NONPOC,elevated,gt_1.5,low,30,C01_NEUTRAL,50,59,40.00,47.46,-7.46,3/4,True,False,25.00,33.33,46.15,54.55
NONPOC,elevated,gt_1.5,low,30,C02_ACTIVITY_MATCHED,50,53,40.00,47.17,-7.17,2/4,False,False,25.00,33.33,46.15,54.55
NONPOC,elevated,gt_1.5,low,60,C01_NEUTRAL,48,57,47.92,52.63,-4.71,2/4,False,False,25.00,47.06,50.00,63.64
NONPOC,elevated,gt_1.5,low,60,C02_ACTIVITY_MATCHED,48,49,47.92,51.02,-3.10,3/4,True,False,25.00,47.06,50.00,63.64
NONPOC,elevated,gt_1.5,medium,15,C01_NEUTRAL,49,45,51.02,53.33,-2.31,1/4,False,False,50.00,42.86,70.00,47.62
NONPOC,elevated,gt_1.5,medium,15,C02_ACTIVITY_MATCHED,49,47,51.02,48.94,2.08,3/4,True,False,50.00,42.86,70.00,47.62
NONPOC,elevated,gt_1.5,medium,30,C01_NEUTRAL,48,44,56.25,52.27,3.98,3/4,True,False,75.00,50.00,66.67,52.38
NONPOC,elevated,gt_1.5,medium,30,C02_ACTIVITY_MATCHED,48,47,56.25,59.57,-3.32,2/4,False,False,75.00,50.00,66.67,52.38
NONPOC,elevated,gt_1.5,medium,60,C01_NEUTRAL,48,44,58.33,56.82,1.51,3/4,True,False,75.00,57.14,66.67,52.38
NONPOC,elevated,gt_1.5,medium,60,C02_ACTIVITY_MATCHED,48,46,58.33,65.22,-6.89,2/4,False,False,75.00,57.14,66.67,52.38
NONPOC,elevated,gt_1.5,high,15,C01_NEUTRAL,12,19,41.67,42.11,-0.44,2/4,False,True,,33.33,50.00,33.33
NONPOC,elevated,gt_1.5,high,15,C02_ACTIVITY_MATCHED,12,13,41.67,61.54,-19.87,2/4,False,True,,33.33,50.00,33.33
NONPOC,elevated,gt_1.5,high,30,C01_NEUTRAL,12,19,41.67,42.11,-0.44,2/4,False,True,,33.33,50.00,33.33
NONPOC,elevated,gt_1.5,high,30,C02_ACTIVITY_MATCHED,12,12,41.67,66.67,-25.00,3/4,False,True,,33.33,50.00,33.33
