relationship_id,control_family,matched_pairs,mean_treated_width_atr,mean_control_width_atr,mean_absolute_width_difference_atr,mean_width_ratio,minimum_width_ratio,maximum_width_ratio,mean_absolute_log_width_ratio,pre_match_width_smd,post_match_width_smd,post_match_width_balanced,width_caliper_rejections
R01,C01,13,3.058945487884886181020751375,3.580936397125269582423372965,0.6822929177143384617928356017,1.137997323022464608995647272,0.6941699337947558454507329512,1.40146526479723839792267869,0.2194827974389868036673756697,0.6914383596819902057406836869,-0.1163955322116773458662870644,true,356545
R01,C02,1,13.74657794485911016445080791,17.43311239318099306487973938,3.68653444832188290042893147,1.268178339591822428835897364,1.268178339591822428835897364,1.268178339591822428835897364,0.2375814924910519311548899858,0.6831663345506518642635293302,-Infinity,false,37195
R02,C01,87,3.176796185096667907276625002,2.863686033863814875738695968,0.6006193375200248251790419321,1.02935226490746849502007804,0.6785359225741594458073219312,1.496513013333769298229427103,0.1925633341786052389822167057,0.9438892716842815440604719021,0.09060045612387267964863001652,true,1021495
R02,C02,27,2.470723730936213892008739899,2.191762359173294407319538926,0.5640319607166234884924094456,1.029198009911741504880926409,0.6809537556494146054937715684,1.485284458637344315783123943,0.2114179527042056355662455474,0.9182786063682729450731457902,0.103636308649457671690867029,true,139170
R03,C01,182,0.8880483826703025145164604665,0.899473752372364356764162811,0.1464555748241116492035457648,1.06073993993468093395141006,0.6744925630996746189844540328,1.49813888398674193513992531,0.173371218992375473769577251,0.2183333875052313171208806406,-0.01093513628054997586154870581,true,1182795
R03,C02,79,0.6152485241456855071705139323,0.6441043079814468664291675508,0.09226952407455203205122242904,1.073219374907899928508085997,0.6744925630996746189844540328,1.418204869827107693314155783,0.1721351943616836334504855275,0.09341002227122528257754244575,-0.06422050396953684971032059842,true,213617
R04,C01,166,1.331892679847100986887404084,1.325653020383365189692850511,0.2216829953310394760845748161,1.022514980758697488417234822,0.6717971464382416789127288785,1.46972500816576454853398348,0.1693335197913530661773998287,0.4898904240121510704551635512,0.005089886877475205714602909265,true,1246445
R04,C02,74,1.297369888161040435244328039,1.315610559480930190939962984,0.2224318866572746931002390497,1.049811827381299625795120183,0.7336260039033609922266750687,1.378743479068824226453013482,0.1647723197224194706106434409,0.2671706421768527770147883407,-0.01481737052546073703436611404,true,180565
R05,C01,175,1.904917902670841243847564089,1.842535707224221916690253605,0.3251782634400627502485016497,1.042130035746527646893507639,0.6769950790548370527372728563,1.473991085244590894297281135,0.1833277418809820559737581074,0.716496816340022626645770781,0.04064484693788123022662146747,true,421321
R05,C02,72,2.221928804775997351956295093,2.086100455235887303485908467,0.4077363303113585630065390417,1.038866497248282909829615881,0.6822799415927458258154510521,1.44284214016958547128360137,0.1993653173149674565361132149,0.6718103240231623687207554194,0.06880615915164428884034342097,true,94413
