relationship_id,control_family,year,unique_economic_episodes,mean,ci_low,ci_high
R01,C01,2019,0,,,
R01,C01,2021,5,-0.0017777777777777777777777778,-0.1662222222222222222222222222,0.1626666666666666666666666666
R01,C01,2023,1,-0.09999999999999999999999999997,-0.09999999999999999999999999997,-0.09999999999999999999999999997
R01,C01,2025,0,,,
R01,C01,2026,0,,,
R01,C02,2019,0,,,
R01,C02,2021,1,0,0,0
R01,C02,2023,0,,,
R01,C02,2025,0,,,
R01,C02,2026,0,,,
R02,C01,2019,6,0.06851851851851851851851851852,-0.2055555555555555555555555555,0.3685185185185185185185185185
R02,C01,2021,31,0.03727598566308243727598566306,-0.06612903225806451612903225805,0.1444444444444444444444444444
R02,C01,2023,11,-0.202020202020202020202020202,-0.3838383838383838383838383838,-0.0272727272727272727272727273
R02,C01,2025,9,-0.01358024691358024691358024691,-0.1962962962962962962962962963,0.1407407407407407407407407407
R02,C01,2026,3,0.2,-0.0666666666666666666666666666,0.5
R02,C02,2019,2,-0.2333333333333333333333333333,-0.3666666666666666666666666666,-0.1
R02,C02,2021,12,0.03287037037037037037037037038,-0.05416666666666666666666666666,0.1152777777777777777777777778
R02,C02,2023,2,-0.35,-0.5666666666666666666666666667,-0.1333333333333333333333333333
R02,C02,2025,4,0.07916666666666666666666666668,-0.1,0.225
R02,C02,2026,1,0.1666666666666666666666666667,0.1666666666666666666666666667,0.1666666666666666666666666667
R03,C01,2019,18,0.06203703703703703703703703706,0.002645154553049289891395154548,0.1326388888888888888888888889
R03,C01,2021,15,0.07333333333333333333333333333,0.00222222222222222222222222223,0.1755555555555555555555555555
R03,C01,2023,23,-0.04432367149758454106280193239,-0.09022041062801932367149758455,0.002777777777777777777777777773
R03,C01,2025,25,-0.0457222222222222222222222222,-0.1426666666666666666666666667,0.03279914529914529914529914529
R03,C01,2026,8,-0.05138888888888888888888888889,-0.1375,0.05833333333333333333333333334
R03,C02,2019,10,0.045,-0.02,0.1166666666666666666666666667
R03,C02,2021,4,-0.01249999999999999999999999999,-0.02499999999999999999999999998,0
R03,C02,2023,12,-0.0009259259259259259259259259167,-0.09047924297924297924297924297,0.09352029914529914529914529916
R03,C02,2025,11,0.03691919191919191919191919192,-0.0307070707070707070707070707,0.1013674242424242424242424242
R03,C02,2026,0,,,
R04,C01,2019,4,0.2527777777777777777777777778,0.1166666666666666666666666666,0.4916666666666666666666666666
R04,C01,2021,14,0.02817460317460317460317460318,-0.05992063492063492063492063492,0.1182638888888888888888888889
R04,C01,2023,19,-0.05643274853801169590643274858,-0.1339189408706952566601689409,0.04691764132553606237816764134
R04,C01,2025,31,0.009946236559139784946236559142,-0.07673963025525525525525525526,0.1086209462233169129720853859
R04,C01,2026,4,-0.08333333333333333333333333335,-0.3833333333333333333333333333,0.1333333333333333333333333333
R04,C02,2019,3,0.2851851851851851851851851852,0.0555555555555555555555555556,0.6666666666666666666666666667
R04,C02,2021,7,0.02142857142857142857142857141,-0.1000595238095238095238095238,0.1190476190476190476190476191
R04,C02,2023,11,-0.08303030303030303030303030302,-0.1636363636363636363636363636,0.004848484848484848484848484859
R04,C02,2025,11,-0.04545454545454545454545454545,-0.1454545454545454545454545454,0.05666666666666666666666666668
R04,C02,2026,0,,,
R05,C01,2019,15,0.0447138047138047138047138047,-0.0778813131313131313131313132,0.1599015151515151515151515151
R05,C01,2021,22,-0.008282828282828282828282828255,-0.1392708333333333333333333334,0.1320744949494949494949494949
R05,C01,2023,15,0.1973333333333333333333333333,0.02629444444444444444444444444,0.3680759259259259259259259259
R05,C01,2025,9,-0.0148148148148148148148148148,-0.2481481481481481481481481481,0.2092592592592592592592592593
R05,C01,2026,9,-0.1018518518518518518518518518,-0.3098765432098765432098765432,0.05061728395061728395061728396
R05,C02,2019,9,0.02222222222222222222222222224,-0.1296296296296296296296296296,0.1740740740740740740740740741
R05,C02,2021,13,-0.1128205128205128205128205128,-0.2846153846153846153846153846,0.0487179487179487179487179487
R05,C02,2023,9,0.0703703703703703703703703704,-0.1777777777777777777777777777,0.3148148148148148148148148148
R05,C02,2025,5,-0.11,-0.43,0.1466666666666666666666666667
R05,C02,2026,5,-0.12,-0.2533333333333333333333333333,0.00000000000000000000000000001
