relationship_id,control_family,diagnostic,excluded_year,mean,count
R01,C01,BASE,,-0.01814814814814814814814814817,6
R01,C01,LEAVE_ONE_YEAR_OUT,2019,-0.01814814814814814814814814817,6
R01,C01,LEAVE_ONE_YEAR_OUT,2021,-0.09999999999999999999999999997,1
R01,C01,LEAVE_ONE_YEAR_OUT,2023,-0.0017777777777777777777777778,5
R01,C01,LEAVE_ONE_YEAR_OUT,2025,-0.01814814814814814814814814817,6
R01,C01,LEAVE_ONE_YEAR_OUT,2026,-0.01814814814814814814814814817,6
R01,C01,REMOVE_LARGEST_1_PERCENT,,0.02933333333333333333333333332,5
R01,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R01,C02,BASE,,0,1
R01,C02,LEAVE_ONE_YEAR_OUT,2019,0,1
R01,C02,LEAVE_ONE_YEAR_OUT,2021,,0
R01,C02,LEAVE_ONE_YEAR_OUT,2023,0,1
R01,C02,LEAVE_ONE_YEAR_OUT,2025,0,1
R01,C02,LEAVE_ONE_YEAR_OUT,2026,0,1
R01,C02,REMOVE_LARGEST_1_PERCENT,,,0
R01,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,,0
R02,C01,BASE,,-0.002962962962962962962962962955,60
R02,C01,LEAVE_ONE_YEAR_OUT,2019,-0.01090534979423868312757201645,54
R02,C01,LEAVE_ONE_YEAR_OUT,2021,-0.04597701149425287356321839072,29
R02,C01,LEAVE_ONE_YEAR_OUT,2023,0.04172335600907029478458049888,49
R02,C01,LEAVE_ONE_YEAR_OUT,2025,-0.001089324618736383442265795198,51
R02,C01,LEAVE_ONE_YEAR_OUT,2026,-0.01364522417153996101364522416,57
R02,C01,REMOVE_LARGEST_1_PERCENT,,-0.01826741996233521657250470807,59
R02,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.007207207207207207207207207197,37
R02,C02,BASE,,-0.01375661375661375661375661375,21
R02,C02,LEAVE_ONE_YEAR_OUT,2019,0.009356725146198830409356725189,19
R02,C02,LEAVE_ONE_YEAR_OUT,2021,-0.07592592592592592592592592591,9
R02,C02,LEAVE_ONE_YEAR_OUT,2023,0.02163742690058479532163742691,19
R02,C02,LEAVE_ONE_YEAR_OUT,2025,-0.03562091503267973856209150326,17
R02,C02,LEAVE_ONE_YEAR_OUT,2026,-0.02277777777777777777777777777,20
R02,C02,REMOVE_LARGEST_1_PERCENT,,0.0138888888888888888888888889,20
R02,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,0.02857142857142857142857142857,7
R03,C01,BASE,,-0.004010611735330836454431960055,89
R03,C01,LEAVE_ONE_YEAR_OUT,2019,-0.02075508607198748043818466354,71
R03,C01,LEAVE_ONE_YEAR_OUT,2021,-0.01968843843843843843843843845,74
R03,C01,LEAVE_ONE_YEAR_OUT,2023,0.01003787878787878787878787878,66
R03,C01,LEAVE_ONE_YEAR_OUT,2025,0.01228298611111111111111111111,64
R03,C01,LEAVE_ONE_YEAR_OUT,2026,0.0006687242798353909465020576074,81
R03,C01,REMOVE_LARGEST_1_PERCENT,,0.005413510101010101010101010088,88
R03,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.0007161458333333333333333333381,64
R03,C02,BASE,,0.02148648648648648648648648651,37
R03,C02,LEAVE_ONE_YEAR_OUT,2019,0.01277777777777777777777777778,27
R03,C02,LEAVE_ONE_YEAR_OUT,2021,0.02560606060606060606060606058,33
R03,C02,LEAVE_ONE_YEAR_OUT,2023,0.03224444444444444444444444444,25
R03,C02,LEAVE_ONE_YEAR_OUT,2025,0.01495726495726495726495726496,26
R03,C02,LEAVE_ONE_YEAR_OUT,2026,0.02148648648648648648648648651,37
R03,C02,REMOVE_LARGEST_1_PERCENT,,0.03041666666666666666666666664,36
R03,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.00814814814814814814814814815,18
R04,C01,BASE,,0.004282407407407407407407407407,72
R04,C01,LEAVE_ONE_YEAR_OUT,2019,-0.01033496732026143790849673201,68
R04,C01,LEAVE_ONE_YEAR_OUT,2021,-0.001484674329501915708812260527,58
R04,C01,LEAVE_ONE_YEAR_OUT,2023,0.02604821802935010482180293504,53
R04,C01,LEAVE_ONE_YEAR_OUT,2025,-0.00000000000000000000000000001390243902439024390243902439,41
R04,C01,LEAVE_ONE_YEAR_OUT,2026,0.009436274509803921568627450981,68
R04,C01,REMOVE_LARGEST_1_PERCENT,,-0.00457746478873239436619718308,71
R04,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.03815192743764172335600907024,49
R04,C02,BASE,,-0.01274305555555555555555555555,32
R04,C02,LEAVE_ONE_YEAR_OUT,2019,-0.04356321839080459770114942528,29
R04,C02,LEAVE_ONE_YEAR_OUT,2021,-0.0223111111111111111111111111,25
R04,C02,LEAVE_ONE_YEAR_OUT,2023,0.02407407407407407407407407405,21
R04,C02,LEAVE_ONE_YEAR_OUT,2025,0.0043915343915343915343915344,21
R04,C02,LEAVE_ONE_YEAR_OUT,2026,-0.01274305555555555555555555555,32
R04,C02,REMOVE_LARGEST_1_PERCENT,,-0.03465949820788530465949820794,31
R04,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.0307142857142857142857142857,14
R05,C01,BASE,,0.03426406926406926406926406929,70
R05,C01,LEAVE_ONE_YEAR_OUT,2019,0.03141414141414141414141414144,55
R05,C01,LEAVE_ONE_YEAR_OUT,2021,0.05376473063973063973063973062,48
R05,C01,LEAVE_ONE_YEAR_OUT,2023,-0.01020936639118457300275482095,55
R05,C01,LEAVE_ONE_YEAR_OUT,2025,0.04150521609538002980625931446,61
R05,C01,LEAVE_ONE_YEAR_OUT,2026,0.05434674615002483854942871338,61
R05,C01,REMOVE_LARGEST_1_PERCENT,,0.02268335529205094422485726833,69
R05,C01,REMOVE_TOP5_EPISODES_PER_YEAR,,0.0213580246913580246913580247,45
R05,C02,BASE,,-0.04349593495934959349593495932,41
R05,C02,LEAVE_ONE_YEAR_OUT,2019,-0.06197916666666666666666666666,32
R05,C02,LEAVE_ONE_YEAR_OUT,2021,-0.01130952380952380952380952376,28
R05,C02,LEAVE_ONE_YEAR_OUT,2023,-0.07552083333333333333333333334,32
R05,C02,LEAVE_ONE_YEAR_OUT,2025,-0.03425925925925925925925925925,36
R05,C02,LEAVE_ONE_YEAR_OUT,2026,-0.03287037037037037037037037036,36
R05,C02,REMOVE_LARGEST_1_PERCENT,,-0.02791666666666666666666666662,40
R05,C02,REMOVE_TOP5_EPISODES_PER_YEAR,,-0.01041666666666666666666666668,16
