relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean
R01,C01,tpo_range_occupancy,0.05,1.5,2019,3,0.5444444444444444444444444443
R01,C01,tpo_range_occupancy,0.05,1.5,2021,2,-0.3333333333333333333333333334
R01,C01,tpo_range_occupancy,0.05,1.5,2023,1,0.8
R01,C01,tpo_range_occupancy,0.05,1.5,2025,2,0.05
R01,C01,tpo_range_occupancy,0.05,1.5,2026,1,-0.2666666666666666666666666667
R01,C01,tpo_range_occupancy,0.05,2,2025,1,-0.06666666666666666666666666667
R01,C01,tpo_range_occupancy,0.05,2.5,2025,1,-0.06666666666666666666666666667
R01,C01,tpo_range_occupancy,0.1,1.5,2019,2,0.3666666666666666666666666666
R01,C01,tpo_range_occupancy,0.1,1.5,2021,2,-0.35
R01,C01,tpo_range_occupancy,0.1,1.5,2023,1,0.8
R01,C01,tpo_range_occupancy,0.1,1.5,2025,2,0.25
R01,C01,tpo_range_occupancy,0.1,1.5,2026,3,-0.1333333333333333333333333333
R01,C01,tpo_range_occupancy,0.1,2,2021,1,0.2
R01,C01,tpo_range_occupancy,0.1,2,2025,1,-0.06666666666666666666666666667
R01,C01,tpo_range_occupancy,0.1,2.5,2025,1,-0.06666666666666666666666666667
R01,C01,tpo_range_occupancy,0.2,1.5,2019,2,0.35
R01,C01,tpo_range_occupancy,0.2,1.5,2021,2,-0.3333333333333333333333333334
R01,C01,tpo_range_occupancy,0.2,1.5,2023,1,0.8
R01,C01,tpo_range_occupancy,0.2,1.5,2025,3,0.2555555555555555555555555555
R01,C01,tpo_range_occupancy,0.2,2,2025,1,0.5333333333333333333333333333
R01,C01,uniform_bar_volume,0.05,1.5,2019,2,0.4833333333333333333333333333
R01,C01,uniform_bar_volume,0.05,1.5,2021,10,-0.05333333333333333333333333333
R01,C01,uniform_bar_volume,0.05,1.5,2023,4,0.175
R01,C01,uniform_bar_volume,0.05,1.5,2025,11,0.06060606060606060606060606065
R01,C01,uniform_bar_volume,0.05,1.5,2026,2,0.09999999999999999999999999995
R01,C01,uniform_bar_volume,0.05,2,2021,2,-0.1333333333333333333333333334
R01,C01,uniform_bar_volume,0.05,2,2023,1,0.6333333333333333333333333333
R01,C01,uniform_bar_volume,0.05,2,2025,4,-0.1833333333333333333333333334
R01,C01,uniform_bar_volume,0.05,2.5,2025,3,-0.0888888888888888888888888889
R01,C01,uniform_bar_volume,0.1,1.5,2019,1,0.6
R01,C01,uniform_bar_volume,0.1,1.5,2021,8,-0.1458333333333333333333333334
R01,C01,uniform_bar_volume,0.1,1.5,2023,4,-0.025
R01,C01,uniform_bar_volume,0.1,1.5,2025,6,0.07777777777777777777777777777
R01,C01,uniform_bar_volume,0.1,1.5,2026,1,-0.5666666666666666666666666667
R01,C01,uniform_bar_volume,0.1,2,2021,1,-0.3333333333333333333333333334
R01,C01,uniform_bar_volume,0.1,2,2025,3,-0.0888888888888888888888888889
R01,C01,uniform_bar_volume,0.1,2,2026,1,-0.5666666666666666666666666667
R01,C01,uniform_bar_volume,0.2,1.5,2019,2,0.3
R01,C01,uniform_bar_volume,0.2,1.5,2021,5,-0.34
R01,C01,uniform_bar_volume,0.2,1.5,2023,3,-0.05555555555555555555555555557
R01,C01,uniform_bar_volume,0.2,1.5,2025,5,0.3200000000000000000000000002
R01,C01,uniform_bar_volume,0.2,1.5,2026,1,0.2333333333333333333333333333
R01,C01,uniform_bar_volume,0.2,2,2019,1,0
R01,C01,uniform_bar_volume,0.2,2,2021,1,-0.2
R01,C01,uniform_bar_volume,0.2,2,2023,1,-0.2666666666666666666666666667
R01,C01,uniform_bar_volume,0.2,2,2025,1,0.5333333333333333333333333333
R01,C01,uniform_bar_volume,0.2,2.5,2021,1,-0.2
R01,C02,tpo_range_occupancy,0.05,1.5,2021,2,-0.3
R01,C02,tpo_range_occupancy,0.05,1.5,2025,1,-0.06666666666666666666666666667
R01,C02,tpo_range_occupancy,0.05,1.5,2026,1,-0.1333333333333333333333333333
R01,C02,tpo_range_occupancy,0.05,2,2025,1,-0.06666666666666666666666666667
R01,C02,tpo_range_occupancy,0.05,2.5,2025,1,-0.06666666666666666666666666667
R01,C02,tpo_range_occupancy,0.1,1.5,2021,2,-0.3
R01,C02,tpo_range_occupancy,0.1,1.5,2025,1,-0.06666666666666666666666666667
R01,C02,tpo_range_occupancy,0.1,1.5,2026,2,-0.1166666666666666666666666666
R01,C02,tpo_range_occupancy,0.1,2,2025,1,-0.06666666666666666666666666667
R01,C02,tpo_range_occupancy,0.1,2.5,2025,1,0
R01,C02,tpo_range_occupancy,0.2,1.5,2019,1,-0.4333333333333333333333333333
R01,C02,tpo_range_occupancy,0.2,1.5,2021,3,-0.04444444444444444444444444447
R01,C02,tpo_range_occupancy,0.2,1.5,2025,1,0.2666666666666666666666666666
R01,C02,uniform_bar_volume,0.05,1.5,2019,1,0.3666666666666666666666666666
R01,C02,uniform_bar_volume,0.05,1.5,2021,7,-0.1190476190476190476190476191
R01,C02,uniform_bar_volume,0.05,1.5,2023,2,0.4166666666666666666666666666
R01,C02,uniform_bar_volume,0.05,1.5,2025,8,-0.008333333333333333333333333325
R01,C02,uniform_bar_volume,0.05,1.5,2026,1,-0.0666666666666666666666666667
R01,C02,uniform_bar_volume,0.05,2,2021,1,0.1
R01,C02,uniform_bar_volume,0.05,2,2025,3,-0.0777777777777777777777777778
R01,C02,uniform_bar_volume,0.05,2.5,2025,3,-0.0888888888888888888888888889
R01,C02,uniform_bar_volume,0.1,1.5,2021,4,-0.1583333333333333333333333334
R01,C02,uniform_bar_volume,0.1,1.5,2023,2,0.03333333333333333333333333334
R01,C02,uniform_bar_volume,0.1,1.5,2025,4,0.1333333333333333333333333334
R01,C02,uniform_bar_volume,0.1,2,2025,1,-0.1333333333333333333333333334
R01,C02,uniform_bar_volume,0.2,1.5,2021,2,0.0833333333333333333333333333
R01,C02,uniform_bar_volume,0.2,1.5,2023,1,0
R01,C02,uniform_bar_volume,0.2,1.5,2025,2,0.2666666666666666666666666666
R02,C01,tpo_range_occupancy,0.05,1.5,2019,5,-0.02666666666666666666666666666
R02,C01,tpo_range_occupancy,0.05,1.5,2021,9,-0.1925925925925925925925925926
R02,C01,tpo_range_occupancy,0.05,1.5,2023,6,-0.0888888888888888888888888889
R02,C01,tpo_range_occupancy,0.05,1.5,2025,4,-0.05833333333333333333333333335
R02,C01,tpo_range_occupancy,0.05,1.5,2026,4,0.04166666666666666666666666668
R02,C01,tpo_range_occupancy,0.05,2,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.05,2,2021,1,0.1666666666666666666666666667
R02,C01,tpo_range_occupancy,0.05,2,2023,1,0.03333333333333333333333333333
R02,C01,tpo_range_occupancy,0.05,2,2025,1,0
R02,C01,tpo_range_occupancy,0.05,2,2026,1,-0.1333333333333333333333333334
R02,C01,tpo_range_occupancy,0.05,2.5,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.05,2.5,2021,2,-0.1333333333333333333333333334
R02,C01,tpo_range_occupancy,0.05,2.5,2025,1,0
R02,C01,tpo_range_occupancy,0.05,2.5,2026,1,-0.1333333333333333333333333334
R02,C01,tpo_range_occupancy,0.1,1.5,2019,5,-0.02666666666666666666666666666
R02,C01,tpo_range_occupancy,0.1,1.5,2021,8,-0.08333333333333333333333333332
R02,C01,tpo_range_occupancy,0.1,1.5,2023,7,-0.08571428571428571428571428571
R02,C01,tpo_range_occupancy,0.1,1.5,2025,6,-0.05
R02,C01,tpo_range_occupancy,0.1,1.5,2026,4,-0.08333333333333333333333333332
R02,C01,tpo_range_occupancy,0.1,2,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.1,2,2021,2,-0.15
R02,C01,tpo_range_occupancy,0.1,2,2025,1,0
R02,C01,tpo_range_occupancy,0.1,2.5,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.1,2.5,2021,3,-0.2111111111111111111111111111
R02,C01,tpo_range_occupancy,0.1,2.5,2025,1,0
R02,C01,tpo_range_occupancy,0.2,1.5,2019,5,-0.02666666666666666666666666666
R02,C01,tpo_range_occupancy,0.2,1.5,2021,5,0.05333333333333333333333333334
R02,C01,tpo_range_occupancy,0.2,1.5,2023,6,0.1833333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,1.5,2025,6,-0.08333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,1.5,2026,1,-0.1333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,2,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,2,2021,1,0.1
R02,C01,tpo_range_occupancy,0.2,2,2025,1,-0.1333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,2.5,2019,2,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,2.5,2021,1,-0.2
R02,C01,uniform_bar_volume,0.05,1.5,2019,8,-0.08333333333333333333333333335
R02,C01,uniform_bar_volume,0.05,1.5,2021,20,0.03166666666666666666666666667
R02,C01,uniform_bar_volume,0.05,1.5,2023,14,-0.142857142857142857142857143
R02,C01,uniform_bar_volume,0.05,1.5,2025,16,-0.01666666666666666666666666666
R02,C01,uniform_bar_volume,0.05,1.5,2026,8,0.025
R02,C01,uniform_bar_volume,0.05,2,2019,5,0
R02,C01,uniform_bar_volume,0.05,2,2021,7,0.08571428571428571428571428573
R02,C01,uniform_bar_volume,0.05,2,2023,3,-0.0222222222222222222222222222
R02,C01,uniform_bar_volume,0.05,2,2025,6,0.01111111111111111111111111109
R02,C01,uniform_bar_volume,0.05,2,2026,1,0.6666666666666666666666666667
R02,C01,uniform_bar_volume,0.05,2.5,2019,2,-0.2333333333333333333333333334
R02,C01,uniform_bar_volume,0.05,2.5,2021,3,0.0111111111111111111111111111
R02,C01,uniform_bar_volume,0.05,2.5,2023,1,0
R02,C01,uniform_bar_volume,0.05,2.5,2025,4,0.02499999999999999999999999998
R02,C01,uniform_bar_volume,0.1,1.5,2019,8,-0.08333333333333333333333333335
R02,C01,uniform_bar_volume,0.1,1.5,2021,19,0.02982456140350877192982456141
R02,C01,uniform_bar_volume,0.1,1.5,2023,11,-0.096969696969696969696969697
R02,C01,uniform_bar_volume,0.1,1.5,2025,9,-0.01481481481481481481481481482
R02,C01,uniform_bar_volume,0.1,1.5,2026,7,-0.1333333333333333333333333333
R02,C01,uniform_bar_volume,0.1,2,2019,5,0
R02,C01,uniform_bar_volume,0.1,2,2021,8,0.1166666666666666666666666667
R02,C01,uniform_bar_volume,0.1,2,2023,1,-0.2333333333333333333333333334
R02,C01,uniform_bar_volume,0.1,2,2025,2,-0.0166666666666666666666666667
R02,C01,uniform_bar_volume,0.1,2,2026,1,-0.6666666666666666666666666666
R02,C01,uniform_bar_volume,0.1,2.5,2019,2,-0.2333333333333333333333333334
R02,C01,uniform_bar_volume,0.1,2.5,2021,4,0.1666666666666666666666666667
R02,C01,uniform_bar_volume,0.1,2.5,2025,2,-0.1
R02,C01,uniform_bar_volume,0.2,1.5,2019,7,0.03333333333333333333333333333
R02,C01,uniform_bar_volume,0.2,1.5,2021,13,0.005128205128205128205128205138
R02,C01,uniform_bar_volume,0.2,1.5,2023,12,-0.09166666666666666666666666667
