anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C01_NEUTRAL,5,1.8,278,273,45.2,6,2,30,134,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,46,46,195.3,134,63,239,434,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,2,7.14,28,26,64.2,41,30,68,137,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C01_NEUTRAL,1,100,1,0,,,,,,NONPOC,OUT_OF_SESSION,true
ALL_ANCHORS,C01_NEUTRAL,2,13.33,15,13,5.8,3,2,7,11,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,26,26,17.7,16,4,22,34,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C01_NEUTRAL,0,0,72,72,11.8,4,2,15,26,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,90,90,3.2,2,0,4,8,NONPOC,RTH_OPEN,false
R01,C01_NEUTRAL,2,2.7,74,72,147.9,93,31,174,347,NONPOC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,46,46,195.3,134,63,239,434,NONPOC,ETH_EVENING,false
R01,C01_NEUTRAL,2,7.14,28,26,64.2,41,30,68,137,NONPOC,ETH_OVERNIGHT,true
R02,C01_NEUTRAL,2,2.63,76,74,9.8,3,1,7,18,NONPOC,ALL_SESSIONS,false
R02,C01_NEUTRAL,1,100,1,0,,,,,,NONPOC,OUT_OF_SESSION,true
R02,C01_NEUTRAL,1,33.33,3,2,2.5,3,2,2,2,NONPOC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,7,7,18.1,11,4,15,18,NONPOC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,12,12,30.3,17,3,31,39,NONPOC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,53,53,4.3,3,1,7,9,NONPOC,RTH_OPEN,false
R03,C01_NEUTRAL,0,0,54,54,4.3,2,0,3,9,NONPOC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,8,8,6.1,4,2,7,11,NONPOC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,7,7,15,9,2,22,30,NONPOC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,7,7,3.7,2,1,3,4,NONPOC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,32,32,1.6,1,0,3,3,NONPOC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,10,10,1.9,1,0,1,3,NONPOC,ALL_SESSIONS,true
R04,C01_NEUTRAL,0,0,1,1,2,2,2,2,2,NONPOC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,1,1,1,1,1,1,1,NONPOC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,3,3,1,0,0,0,0,NONPOC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,5,5,2.6,0,0,1,1,NONPOC,RTH_OPEN,true
R05,C01_NEUTRAL,1,1.56,64,63,11.1,6,3,16,26,NONPOC,ALL_SESSIONS,false
R05,C01_NEUTRAL,1,33.33,3,2,10,13,7,7,7,NONPOC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,11,11,20.5,20,5,22,42,NONPOC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,50,50,9.1,4,2,10,24,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,4,1.88,213,209,44.3,6,2,29,123,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,43,43,161.5,102,39,199,359,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,1,5,20,19,71.7,46,27,79,152,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,3,25,12,9,8.8,7,3,11,15,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,15,15,13.2,8,6,17,19,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,56,56,7.2,5,2,10,14,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,67,67,4,2,1,5,11,NONPOC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,1,1.59,63,62,134,82,34,168,343,NONPOC,ALL_SESSIONS,false
R01,C02_ACTIVITY_MATCHED,0,0,43,43,161.5,102,39,199,359,NONPOC,ETH_EVENING,false
R01,C02_ACTIVITY_MATCHED,1,5,20,19,71.7,46,27,79,152,NONPOC,ETH_OVERNIGHT,true
R02,C02_ACTIVITY_MATCHED,2,3.92,51,49,7.5,5,2,11,17,NONPOC,ALL_SESSIONS,false
R02,C02_ACTIVITY_MATCHED,2,50,4,2,2.5,3,2,2,2,NONPOC,RTH_AFTERNOON,true
R02,C02_ACTIVITY_MATCHED,0,0,4,4,14.8,19,8,19,19,NONPOC,RTH_MIDDAY,true
R02,C02_ACTIVITY_MATCHED,0,0,8,8,11.6,9,3,10,12,NONPOC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,35,35,6,3,2,8,15,NONPOC,RTH_OPEN,false
R03,C02_ACTIVITY_MATCHED,0,0,40,40,3.3,2,1,5,7,NONPOC,ALL_SESSIONS,false
R03,C02_ACTIVITY_MATCHED,0,0,4,4,11.2,11,2,11,11,NONPOC,RTH_AFTERNOON,true
R03,C02_ACTIVITY_MATCHED,0,0,3,3,6.3,6,5,6,6,NONPOC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,6,6,2.8,4,1,4,4,NONPOC,RTH_MORNING,true
R03,C02_ACTIVITY_MATCHED,0,0,27,27,1.9,1,0,2,5,NONPOC,RTH_OPEN,true
R04,C02_ACTIVITY_MATCHED,0,0,8,8,2,1,1,1,3,NONPOC,ALL_SESSIONS,true
R04,C02_ACTIVITY_MATCHED,0,0,1,1,3,3,3,3,3,NONPOC,RTH_MIDDAY,true
R04,C02_ACTIVITY_MATCHED,0,0,2,2,1,1,1,1,1,NONPOC,RTH_MORNING,true
R04,C02_ACTIVITY_MATCHED,0,0,5,5,2.2,1,1,1,1,NONPOC,RTH_OPEN,true
R05,C02_ACTIVITY_MATCHED,1,1.96,51,50,8.7,6,3,11,17,NONPOC,ALL_SESSIONS,false
R05,C02_ACTIVITY_MATCHED,1,25,4,3,9.7,9,5,9,9,NONPOC,RTH_AFTERNOON,true
R05,C02_ACTIVITY_MATCHED,0,0,7,7,16.7,7,7,17,31,NONPOC,RTH_MIDDAY,true
R05,C02_ACTIVITY_MATCHED,0,0,40,40,7.3,5,2,10,15,NONPOC,RTH_MORNING,false
ALL_ANCHORS,TREATED,2,0.73,273,271,43.7,6,1,27,130,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,TREATED,0,0,51,51,174.1,124,33,242,446,NONPOC,ETH_EVENING,false
ALL_ANCHORS,TREATED,2,9.52,21,19,73.8,46,29,73,130,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,TREATED,0,0,15,15,6.4,6,1,7,12,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,TREATED,0,0,23,23,19.9,13,4,20,46,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,TREATED,0,0,79,79,9,5,2,14,24,NONPOC,RTH_MORNING,false
ALL_ANCHORS,TREATED,0,0,84,84,3.7,1,0,4,8,NONPOC,RTH_OPEN,false
R01,TREATED,2,2.78,72,70,146.9,92,33,208,356,NONPOC,ALL_SESSIONS,false
R01,TREATED,0,0,51,51,174.1,124,33,242,446,NONPOC,ETH_EVENING,false
R01,TREATED,2,9.52,21,19,73.8,46,29,73,130,NONPOC,ETH_OVERNIGHT,true
R02,TREATED,0,0,71,71,8.3,4,1,9,18,NONPOC,ALL_SESSIONS,false
R02,TREATED,0,0,6,6,2.5,2,1,2,5,NONPOC,RTH_AFTERNOON,true
R02,TREATED,0,0,6,6,22.2,13,9,13,18,NONPOC,RTH_MIDDAY,true
R02,TREATED,0,0,13,13,16.5,13,6,23,25,NONPOC,RTH_MORNING,true
R02,TREATED,0,0,46,46,5,3,1,6,10,NONPOC,RTH_OPEN,false
R03,TREATED,0,0,48,48,3.7,1,0,4,12,NONPOC,ALL_SESSIONS,false
R03,TREATED,0,0,6,6,9.3,7,2,7,13,NONPOC,RTH_AFTERNOON,true
