anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C02_ACTIVITY_MATCHED,10,0,40,5,0,10,5,0,15,0,3,15,20,3,0,0,12,NONPOC,17,85,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,23.81,0,14.29,14.29,0,4.76,4.76,4.76,33.33,0,0,0,21,8,0,0,27,NONPOC,21,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,16.67,0,18.06,8.33,5.56,6.94,11.11,11.11,22.22,0,0,0,72,5,0,0,15,NONPOC,72,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,5.56,0,46.83,0.79,19.05,8.73,4.76,1.59,12.7,0,0,0,126,2,0,0,8,NONPOC,126,100,RTH_OPEN,3atr,false
R01,C02_ACTIVITY_MATCHED,4.11,34.25,8.22,20.55,2.74,1.37,0,0,5.48,21.92,1,1.37,73,77,0,0,352,NONPOC,72,98.63,ALL_SESSIONS,3atr,false
R01,C02_ACTIVITY_MATCHED,2.04,44.9,2.04,14.29,4.08,2.04,0,0,8.16,22.45,0,0,49,98,0,0,390,NONPOC,49,100,ETH_EVENING,3atr,false
R01,C02_ACTIVITY_MATCHED,8.33,12.5,20.83,33.33,0,0,0,0,0,20.83,1,4.17,24,35,0,0,88,NONPOC,23,95.83,ETH_OVERNIGHT,3atr,true
R02,C02_ACTIVITY_MATCHED,15.85,0,28.05,2.44,13.41,9.76,9.76,0,18.29,0,2,2.44,82,3,0,0,14,NONPOC,80,97.56,ALL_SESSIONS,3atr,false
R02,C02_ACTIVITY_MATCHED,0,0,50,0,0,12.5,12.5,0,0,0,2,25,8,1,0,0,3,NONPOC,6,75,RTH_AFTERNOON,3atr,true
R02,C02_ACTIVITY_MATCHED,50,0,33.33,0,0,0,0,0,16.67,0,0,0,6,14,0,0,20,NONPOC,6,100,RTH_MIDDAY,3atr,true
R02,C02_ACTIVITY_MATCHED,27.27,0,9.09,9.09,0,0,27.27,0,27.27,0,0,0,11,8,0,0,13,NONPOC,11,100,RTH_MORNING,3atr,true
R02,C02_ACTIVITY_MATCHED,12.28,0,28.07,1.75,19.3,12.28,7.02,0,19.3,0,0,0,57,3,0,0,13,NONPOC,57,100,RTH_OPEN,3atr,false
R03,C02_ACTIVITY_MATCHED,1.35,0,55.41,1.35,13.51,6.76,4.05,5.41,12.16,0,0,0,74,1,0,0,6,NONPOC,74,100,ALL_SESSIONS,3atr,false
R03,C02_ACTIVITY_MATCHED,16.67,0,33.33,16.67,0,16.67,0,0,16.67,0,0,0,6,8,0,0,12,NONPOC,6,100,RTH_AFTERNOON,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,0,0,0,0,0,0,100,0,0,0,3,7,0,0,7,NONPOC,3,100,RTH_MIDDAY,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,44.44,0,11.11,0,11.11,22.22,11.11,0,0,0,9,2,0,0,5,NONPOC,9,100,RTH_MORNING,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,62.5,0,16.07,7.14,3.57,3.57,7.14,0,0,0,56,1,0,0,4,NONPOC,56,100,RTH_OPEN,3atr,false
R04,C02_ACTIVITY_MATCHED,0,0,52.94,0,35.29,0,5.88,0,5.88,0,0,0,17,1,0,0,2,NONPOC,17,100,ALL_SESSIONS,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,100,0,0,0,0,0,0,0,0,0,1,1,0,0,1,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,0,0,0,0,100,0,0,0,0,0,1,4,0,0,4,NONPOC,1,100,RTH_MIDDAY,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,0,0,100,0,0,0,0,0,0,0,2,2,0,0,2,NONPOC,2,100,RTH_MORNING,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,61.54,0,30.77,0,0,0,7.69,0,0,0,13,1,0,0,2,NONPOC,13,100,RTH_OPEN,3atr,true
R05,C02_ACTIVITY_MATCHED,18.18,0,15.15,12.12,1.52,9.09,6.06,10.61,25.76,0,1,1.52,66,6,0,0,21,NONPOC,65,98.48,ALL_SESSIONS,3atr,false
R05,C02_ACTIVITY_MATCHED,20,0,20,0,0,0,0,0,40,0,1,20,5,10,0,0,10,NONPOC,4,80,RTH_AFTERNOON,3atr,true
R05,C02_ACTIVITY_MATCHED,18.18,0,9.09,27.27,0,9.09,0,9.09,27.27,0,0,0,11,8,0,0,32,NONPOC,11,100,RTH_MIDDAY,3atr,true
R05,C02_ACTIVITY_MATCHED,18,0,16,10,2,10,8,12,24,0,0,0,50,6,0,0,17,NONPOC,50,100,RTH_MORNING,3atr,false
ALL_ANCHORS,TREATED,9.89,8.76,25.14,10.45,12.15,7.06,5.08,4.8,12.43,3.67,2,0.56,354,5,0,0,82,NONPOC,352,99.44,ALL_SESSIONS,3atr,false
