anchor,arm,intervals,median_minutes_to_first_touch,population,retouches,total_touches,touch_rate_pct,touched,touches_per_touched_interval,underpowered,untouched
ALL_ANCHORS,C01_NEUTRAL,620,20,NONPOC,3087,3442,57.26,355,9.7,false,265
R01,C01_NEUTRAL,170,195,NONPOC,1167,1251,49.41,84,14.89,false,86
R02,C01_NEUTRAL,170,22,NONPOC,626,721,55.88,95,7.59,false,75
R03,C01_NEUTRAL,137,23,NONPOC,678,758,58.39,80,9.48,false,57
R04,C01_NEUTRAL,31,8,NONPOC,126,144,58.06,18,8,true,13
R05,C01_NEUTRAL,112,6,NONPOC,490,568,69.64,78,7.28,false,34
ALL_ANCHORS,C02_ACTIVITY_MATCHED,546,19,NONPOC,2777,3089,57.14,312,9.9,false,234
R01,C02_ACTIVITY_MATCHED,153,175,NONPOC,993,1066,47.71,73,14.6,false,80
R02,C02_ACTIVITY_MATCHED,153,20,NONPOC,653,735,53.59,82,8.96,false,71
R03,C02_ACTIVITY_MATCHED,119,11,NONPOC,642,716,62.18,74,9.68,false,45
R04,C02_ACTIVITY_MATCHED,27,6,NONPOC,96,113,62.96,17,6.65,true,10
R05,C02_ACTIVITY_MATCHED,94,6,NONPOC,393,459,70.21,66,6.95,false,28
ALL_ANCHORS,TREATED,620,15,NONPOC,3148,3502,57.1,354,9.89,false,266
R01,TREATED,170,75,NONPOC,1208,1289,47.65,81,15.91,false,89
R02,TREATED,170,20,NONPOC,671,767,56.47,96,7.99,false,74
R03,TREATED,137,15,NONPOC,672,753,59.12,81,9.3,false,56
R04,TREATED,31,8,NONPOC,118,136,58.06,18,7.56,true,13
R05,TREATED,112,4,NONPOC,479,557,69.64,78,7.14,false,34
ALL_ANCHORS,C01_NEUTRAL,1111,6,POC,6264,7066,72.19,802,8.81,false,309
R01,C01_NEUTRAL,222,134,POC,1648,1778,58.56,130,13.68,false,92
R02,C01_NEUTRAL,222,19,POC,780,900,54.05,120,7.5,false,102
R03,C01_NEUTRAL,215,1,POC,1299,1478,83.26,179,8.26,false,36
R04,C01_NEUTRAL,238,1,POC,1415,1615,84.03,200,8.08,false,38
R05,C01_NEUTRAL,214,6,POC,1122,1295,80.84,173,7.49,false,41
ALL_ANCHORS,C02_ACTIVITY_MATCHED,851,6,POC,4658,5265,71.33,607,8.67,false,244
R01,C02_ACTIVITY_MATCHED,166,141,POC,1031,1127,57.83,96,11.74,false,70
R02,C02_ACTIVITY_MATCHED,166,21,POC,571,659,53.01,88,7.49,false,78
R03,C02_ACTIVITY_MATCHED,154,2,POC,934,1060,81.82,126,8.41,false,28
R04,C02_ACTIVITY_MATCHED,198,1,POC,1232,1393,81.31,161,8.65,false,37
R05,C02_ACTIVITY_MATCHED,167,5,POC,890,1026,81.44,136,7.54,false,31
ALL_ANCHORS,TREATED,1111,4,POC,6489,7287,71.83,798,9.13,false,313
R01,TREATED,222,121,POC,1723,1853,58.56,130,14.25,false,92
R02,TREATED,222,20,POC,830,952,54.95,122,7.8,false,100
R03,TREATED,215,1,POC,1327,1504,82.33,177,8.5,false,38
R04,TREATED,238,0,POC,1489,1689,84.03,200,8.44,false,38
R05,TREATED,214,4,POC,1120,1289,78.97,169,7.63,false,45
