anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,65,43.92,148,15,NONPOC,125,84.46,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,20,20,15,NONPOC,17,85,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,47.62,21,15,NONPOC,15,71.43,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,50,6,15,NONPOC,4,66.67,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,18.18,11,15,NONPOC,10,90.91,RTH_MIDDAY,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,16,41.03,39,15,NONPOC,32,82.05,RTH_MORNING,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,30,58.82,51,15,NONPOC,47,92.16,RTH_OPEN,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,14,34.15,41,15,NONPOC,32,78.05,ALL_SESSIONS,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,20,20,15,NONPOC,17,85,ETH_EVENING,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,47.62,21,15,NONPOC,15,71.43,ETH_OVERNIGHT,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,17,43.59,39,15,NONPOC,37,94.87,ALL_SESSIONS,3atr,false
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,1,15,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,25,4,15,NONPOC,4,100,RTH_MIDDAY,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,12.5,8,15,NONPOC,7,87.5,RTH_MORNING,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,15,57.69,26,15,NONPOC,25,96.15,RTH_OPEN,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,16,50,32,15,NONPOC,27,84.38,ALL_SESSIONS,3atr,false
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,33.33,3,15,NONPOC,2,66.67,RTH_AFTERNOON,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,25,4,15,NONPOC,3,75,RTH_MIDDAY,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,33.33,3,15,NONPOC,3,100,RTH_MORNING,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,13,59.09,22,15,NONPOC,19,86.36,RTH_OPEN,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,5,83.33,6,15,NONPOC,6,100,ALL_SESSIONS,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,15,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,100,2,15,NONPOC,2,100,RTH_MORNING,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,66.67,3,15,NONPOC,3,100,RTH_OPEN,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,13,43.33,30,15,NONPOC,23,76.67,ALL_SESSIONS,3atr,false
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,15,NONPOC,0,0,RTH_AFTERNOON,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,3,15,NONPOC,3,100,RTH_MIDDAY,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,12,46.15,26,15,NONPOC,20,76.92,RTH_MORNING,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,56,45.16,124,15,NONPOC,107,86.29,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,8,47.06,17,15,NONPOC,17,100,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,2,18.18,11,15,NONPOC,5,45.45,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,4,40,10,15,NONPOC,10,100,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,5,31.25,16,15,NONPOC,13,81.25,RTH_MIDDAY,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,15,55.56,27,15,NONPOC,22,81.48,RTH_MORNING,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,22,51.16,43,15,NONPOC,40,93.02,RTH_OPEN,3atr,false
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,10,35.71,28,15,NONPOC,22,78.57,ALL_SESSIONS,3atr,true
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,8,47.06,17,15,NONPOC,17,100,ETH_EVENING,3atr,true
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,2,18.18,11,15,NONPOC,5,45.45,ETH_OVERNIGHT,3atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,21,60,35,15,NONPOC,28,80,ALL_SESSIONS,3atr,false
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,1,33.33,3,15,NONPOC,3,100,RTH_AFTERNOON,3atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,3,75,4,15,NONPOC,2,50,RTH_MIDDAY,3atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,5,100,5,15,NONPOC,3,60,RTH_MORNING,3atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,12,52.17,23,15,NONPOC,20,86.96,RTH_OPEN,3atr,true
R03,APPROACH_FROM_BELOW,C01_NEUTRAL,11,33.33,33,15,NONPOC,33,100,ALL_SESSIONS,3atr,false
