rejection_reason,count
,10395
LOCAL_PROMINENCE_TOO_LOW,115797
TPO_DENSITY_TOO_LOW,5799
VOLUME_DENSITY_TOO_LOW,250263
VOLUME_PERCENTILE_TOO_LOW,3180
WIDTH_TOO_LARGE,3420
