node_class,geometry,width_bins,count
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,10,207
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,11,219
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,12,183
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,13,93
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,14,90
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,15,33
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,16,75
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,17,33
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,18,36
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,19,51
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,20,33
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,22,6
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,25,6
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,26,9
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,28,6
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,48,18
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,6,888
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,7,660
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,8,483
NONPOC_ATOMIC_HVN,BROAD_HIGH_VOLUME_PLATEAU,9,279
NONPOC_ATOMIC_HVN,FLAT_TOP_PLATEAU,2,12000
NONPOC_ATOMIC_HVN,FLAT_TOP_PLATEAU,3,4665
NONPOC_ATOMIC_HVN,FLAT_TOP_PLATEAU,4,2331
NONPOC_ATOMIC_HVN,FLAT_TOP_PLATEAU,5,1485
NONPOC_ATOMIC_HVN,ONE_BIN_LOCAL_MAXIMUM,1,354687
POC_ATOMIC,FLAT_TOP_PLATEAU,2,93
POC_ATOMIC,FLAT_TOP_PLATEAU,3,42
POC_ATOMIC,FLAT_TOP_PLATEAU,4,30
POC_ATOMIC,ONE_BIN_LOCAL_MAXIMUM,1,10101
POC_BROAD,BROAD_HIGH_VOLUME_PLATEAU,6,6
POC_BROAD,BROAD_HIGH_VOLUME_PLATEAU,8,6
