anchor,arm,intervals,median_minutes_to_first_touch,population,retouches,total_touches,touch_rate_pct,touched,touches_per_touched_interval,underpowered,untouched
ALL_ANCHORS,C01_NEUTRAL,331,16,NONPOC,1884,2080,59.21,196,10.61,false,135
R01,C01_NEUTRAL,83,41,NONPOC,795,849,65.06,54,15.72,false,29
R02,C01_NEUTRAL,83,32,NONPOC,267,307,48.19,40,7.68,false,43
R03,C01_NEUTRAL,95,8,NONPOC,476,532,58.95,56,9.5,false,39
R04,C01_NEUTRAL,16,11,NONPOC,125,137,75,12,11.42,true,4
R05,C01_NEUTRAL,54,19,NONPOC,221,255,62.96,34,7.5,false,20
ALL_ANCHORS,C02_ACTIVITY_MATCHED,260,31,NONPOC,1203,1356,58.85,153,8.86,false,107
R01,C02_ACTIVITY_MATCHED,68,210,NONPOC,433,475,61.76,42,11.31,false,26
R02,C02_ACTIVITY_MATCHED,68,32,NONPOC,177,209,47.06,32,6.53,false,36
R03,C02_ACTIVITY_MATCHED,67,6,NONPOC,316,357,61.19,41,8.71,false,26
R04,C02_ACTIVITY_MATCHED,15,46,NONPOC,115,124,60,9,13.78,true,6
R05,C02_ACTIVITY_MATCHED,42,31,NONPOC,162,191,69.05,29,6.59,true,13
ALL_ANCHORS,TREATED,331,18,NONPOC,1757,1959,61.03,202,9.7,false,129
R01,TREATED,83,105,NONPOC,715,770,66.27,55,14,false,28
R02,TREATED,83,38,NONPOC,257,298,49.4,41,7.27,false,42
R03,TREATED,95,6,NONPOC,440,499,62.11,59,8.46,false,36
R04,TREATED,16,17,NONPOC,130,142,75,12,11.83,true,4
R05,TREATED,54,9,NONPOC,215,250,64.81,35,7.14,false,19
ALL_ANCHORS,C01_NEUTRAL,1137,5,POC,6144,6926,68.78,782,8.86,false,355
R01,C01_NEUTRAL,246,90,POC,1720,1864,58.54,144,12.94,false,102
R02,C01_NEUTRAL,246,23,POC,829,950,49.19,121,7.85,false,125
R03,C01_NEUTRAL,177,1,POC,976,1125,84.18,149,7.55,false,28
R04,C01_NEUTRAL,223,1,POC,1379,1567,84.3,188,8.34,false,35
R05,C01_NEUTRAL,245,7,POC,1240,1420,73.47,180,7.89,false,65
ALL_ANCHORS,C02_ACTIVITY_MATCHED,694,5,POC,3764,4243,69.02,479,8.86,false,215
R01,C02_ACTIVITY_MATCHED,152,69,POC,981,1072,59.87,91,11.78,false,61
R02,C02_ACTIVITY_MATCHED,152,26,POC,543,619,50,76,8.14,false,76
R03,C02_ACTIVITY_MATCHED,95,3,POC,615,693,82.11,78,8.88,false,17
R04,C02_ACTIVITY_MATCHED,162,1,POC,965,1099,82.72,134,8.2,false,28
R05,C02_ACTIVITY_MATCHED,133,7,POC,660,760,75.19,100,7.6,false,33
ALL_ANCHORS,TREATED,1137,5,POC,6257,7047,69.48,790,8.92,false,347
R01,TREATED,246,92,POC,1678,1827,60.57,149,12.26,false,97
R02,TREATED,246,20,POC,824,943,48.37,119,7.92,false,127
R03,TREATED,177,1,POC,1024,1173,84.18,149,7.87,false,28
R04,TREATED,223,1,POC,1374,1562,84.3,188,8.31,false,35
R05,TREATED,245,6,POC,1357,1542,75.51,185,8.34,false,60
