anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,107,48.2,222,15,POC,161,72.52,ALL_SESSIONS,5atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,26,54.17,48,15,POC,31,64.58,ETH_EVENING,5atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,4,40,10,15,POC,6,60,ETH_OVERNIGHT,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,2,40,5,15,POC,4,80,RTH_AFTERNOON,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,3,23.08,13,15,POC,11,84.62,RTH_MIDDAY,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,32,48.48,66,15,POC,47,71.21,RTH_MORNING,5atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,TREATED,40,50,80,15,POC,62,77.5,RTH_OPEN,5atr,false
R01,APPROACH_FROM_BELOW,TREATED,30,51.72,58,15,POC,37,63.79,ALL_SESSIONS,5atr,false
R01,APPROACH_FROM_BELOW,TREATED,26,54.17,48,15,POC,31,64.58,ETH_EVENING,5atr,false
R01,APPROACH_FROM_BELOW,TREATED,4,40,10,15,POC,6,60,ETH_OVERNIGHT,5atr,true
R02,APPROACH_FROM_BELOW,TREATED,25,62.5,40,15,POC,29,72.5,ALL_SESSIONS,5atr,false
R02,APPROACH_FROM_BELOW,TREATED,2,66.67,3,15,POC,2,66.67,RTH_AFTERNOON,5atr,true
R02,APPROACH_FROM_BELOW,TREATED,1,50,2,15,POC,1,50,RTH_MIDDAY,5atr,true
R02,APPROACH_FROM_BELOW,TREATED,7,53.85,13,15,POC,11,84.62,RTH_MORNING,5atr,true
R02,APPROACH_FROM_BELOW,TREATED,15,68.18,22,15,POC,15,68.18,RTH_OPEN,5atr,true
