anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C01_NEUTRAL,10.71,5.61,21.43,12.24,9.69,7.65,4.08,6.12,14.29,7.65,1,0.51,196,6,0,0,80,NONPOC,195,99.49,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,9.3,23.26,6.98,20.93,2.33,2.33,0,0,2.33,32.56,0,0,43,65,0,0,194,NONPOC,43,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,9.09,0,27.27,45.45,0,9.09,0,0,9.09,0,0,0,11,15,0,0,42,NONPOC,11,100,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,C01_NEUTRAL,16.67,0,16.67,0,0,0,0,50,0,0,1,16.67,6,5,0,0,5,NONPOC,5,83.33,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,18.18,0,27.27,27.27,0,0,0,9.09,9.09,9.09,0,0,11,11,0,0,59,NONPOC,11,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C01_NEUTRAL,19.15,2.13,14.89,14.89,2.13,12.77,6.38,8.51,19.15,0,0,0,47,8,0,0,22,NONPOC,47,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,5.13,0,32.05,0,21.79,8.97,6.41,5.13,20.51,0,0,0,78,2,0,0,8,NONPOC,78,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,9.26,18.52,11.11,25.93,1.85,3.7,0,0,3.7,25.93,0,0,54,58,0,0,189,NONPOC,54,100,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,9.3,23.26,6.98,20.93,2.33,2.33,0,0,2.33,32.56,0,0,43,65,0,0,194,NONPOC,43,100,ETH_EVENING,3atr,false
R01,C01_NEUTRAL,9.09,0,27.27,45.45,0,9.09,0,0,9.09,0,0,0,11,15,0,0,42,NONPOC,11,100,ETH_OVERNIGHT,3atr,true
R02,C01_NEUTRAL,12.5,2.5,15,2.5,10,5,10,7.5,30,2.5,1,2.5,40,6,0,0,14,NONPOC,39,97.5,ALL_SESSIONS,3atr,false
R02,C01_NEUTRAL,0,0,0,0,0,0,0,50,0,0,1,50,2,5,0,0,5,NONPOC,1,50,RTH_AFTERNOON,3atr,true
R02,C01_NEUTRAL,25,0,0,0,0,0,0,25,25,25,0,0,4,11,0,0,11,NONPOC,4,100,RTH_MIDDAY,3atr,true
R02,C01_NEUTRAL,22.22,11.11,11.11,11.11,11.11,11.11,11.11,0,11.11,0,0,0,9,9,0,0,21,NONPOC,9,100,RTH_MORNING,3atr,true
R02,C01_NEUTRAL,8,0,20,0,12,4,12,4,40,0,0,0,25,5,0,0,9,NONPOC,25,100,RTH_OPEN,3atr,true
R03,C01_NEUTRAL,3.57,0,32.14,5.36,23.21,7.14,5.36,10.71,12.5,0,0,0,56,2,0,0,8,NONPOC,56,100,ALL_SESSIONS,3atr,false
R03,C01_NEUTRAL,0,0,50,0,0,0,0,50,0,0,0,0,2,5,0,0,1,NONPOC,2,100,RTH_AFTERNOON,3atr,true
R03,C01_NEUTRAL,0,0,0,100,0,0,0,0,0,0,0,0,1,28,0,0,28,NONPOC,1,100,RTH_MIDDAY,3atr,true
R03,C01_NEUTRAL,0,0,33.33,22.22,0,0,11.11,22.22,11.11,0,0,0,9,5,0,0,22,NONPOC,9,100,RTH_MORNING,3atr,true
R03,C01_NEUTRAL,4.55,0,31.82,0,29.55,9.09,4.55,6.82,13.64,0,0,0,44,2,0,0,6,NONPOC,44,100,RTH_OPEN,3atr,false
R04,C01_NEUTRAL,0,0,50,0,8.33,25,0,8.33,8.33,0,0,0,12,2,0,0,3,NONPOC,12,100,ALL_SESSIONS,3atr,true
R04,C01_NEUTRAL,0,0,0,0,0,0,0,100,0,0,0,0,1,5,0,0,5,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R04,C01_NEUTRAL,0,0,0,0,0,50,0,0,50,0,0,0,2,8,0,0,3,NONPOC,2,100,RTH_MORNING,3atr,true
R04,C01_NEUTRAL,0,0,66.67,0,11.11,22.22,0,0,0,0,0,0,9,1,0,0,3,NONPOC,9,100,RTH_OPEN,3atr,true
R05,C01_NEUTRAL,26.47,0,17.65,17.65,0,11.76,2.94,5.88,17.65,0,0,0,34,10,0,0,23,NONPOC,34,100,ALL_SESSIONS,3atr,false
R05,C01_NEUTRAL,100,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,11,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R05,C01_NEUTRAL,16.67,0,50,33.33,0,0,0,0,0,0,0,0,6,16,0,0,28,NONPOC,6,100,RTH_MIDDAY,3atr,true
R05,C01_NEUTRAL,25.93,0,11.11,14.81,0,14.81,3.7,7.41,22.22,0,0,0,27,10,0,0,22,NONPOC,27,100,RTH_MORNING,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,10.46,5.23,22.22,11.76,8.5,3.92,5.88,5.88,17.65,8.5,0,0,153,6,0,0,73,NONPOC,153,100,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,7.69,26.92,7.69,15.38,3.85,0,0,0,0,38.46,0,0,26,76,0,0,136,NONPOC,26,100,ETH_EVENING,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,12.5,6.25,12.5,25,12.5,0,6.25,0,12.5,12.5,0,0,16,19,0,0,98,NONPOC,16,100,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,16.67,0,16.67,0,0,0,33.33,16.67,16.67,0,0,0,6,5,0,0,8,NONPOC,6,100,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,37.5,25,0,12.5,12.5,0,12.5,0,0,0,8,4,0,0,29,NONPOC,8,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,12.12,0,15.15,12.12,12.12,6.06,3.03,15.15,21.21,3.03,0,0,33,5,0,0,22,NONPOC,33,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,10.94,0,32.81,6.25,9.38,4.69,6.25,4.69,25,0,0,0,64,4,0,0,15,NONPOC,64,100,RTH_OPEN,3atr,false
R01,C02_ACTIVITY_MATCHED,9.52,19.05,9.52,19.05,7.14,0,2.38,0,4.76,28.57,0,0,42,57,0,0,134,NONPOC,42,100,ALL_SESSIONS,3atr,false
R01,C02_ACTIVITY_MATCHED,7.69,26.92,7.69,15.38,3.85,0,0,0,0,38.46,0,0,26,76,0,0,136,NONPOC,26,100,ETH_EVENING,3atr,true
R01,C02_ACTIVITY_MATCHED,12.5,6.25,12.5,25,12.5,0,6.25,0,12.5,12.5,0,0,16,19,0,0,98,NONPOC,16,100,ETH_OVERNIGHT,3atr,true
R02,C02_ACTIVITY_MATCHED,15.62,0,21.88,9.38,12.5,3.12,9.38,0,28.12,0,0,0,32,6,0,0,15,NONPOC,32,100,ALL_SESSIONS,3atr,false
R02,C02_ACTIVITY_MATCHED,50,0,0,0,0,0,50,0,0,0,0,0,2,13,0,0,4,NONPOC,2,100,RTH_AFTERNOON,3atr,true
R02,C02_ACTIVITY_MATCHED,0,0,0,50,0,0,50,0,0,0,0,0,2,50,0,0,4,NONPOC,2,100,RTH_MIDDAY,3atr,true
R02,C02_ACTIVITY_MATCHED,16.67,0,16.67,0,16.67,0,0,0,50,0,0,0,6,9,0,0,10,NONPOC,6,100,RTH_MORNING,3atr,true
R02,C02_ACTIVITY_MATCHED,13.64,0,27.27,9.09,13.64,4.55,4.55,0,27.27,0,0,0,22,6,0,0,13,NONPOC,22,100,RTH_OPEN,3atr,true
R03,C02_ACTIVITY_MATCHED,9.76,0,36.59,4.88,7.32,4.88,4.88,7.32,24.39,0,0,0,41,4,0,0,15,NONPOC,41,100,ALL_SESSIONS,3atr,false
R03,C02_ACTIVITY_MATCHED,0,0,100,0,0,0,0,0,0,0,0,0,1,1,0,0,1,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,100,0,0,0,0,0,0,0,0,0,2,1,0,0,1,NONPOC,2,100,RTH_MIDDAY,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,33.33,0,33.33,0,0,0,33.33,0,0,0,3,2,0,0,2,NONPOC,3,100,RTH_MORNING,3atr,true
R03,C02_ACTIVITY_MATCHED,11.43,0,31.43,5.71,5.71,5.71,5.71,8.57,25.71,0,0,0,35,5,0,0,15,NONPOC,35,100,RTH_OPEN,3atr,false
R04,C02_ACTIVITY_MATCHED,0,0,44.44,0,11.11,11.11,11.11,0,22.22,0,0,0,9,2,0,0,8,NONPOC,9,100,ALL_SESSIONS,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,0,0,0,50,0,0,50,0,0,0,2,10,0,0,3,NONPOC,2,100,RTH_MIDDAY,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,57.14,0,14.29,0,14.29,0,14.29,0,0,0,7,1,0,0,4,NONPOC,7,100,RTH_OPEN,3atr,true
R05,C02_ACTIVITY_MATCHED,10.34,0,13.79,17.24,6.9,6.9,6.9,20.69,13.79,3.45,0,0,29,5,0,0,24,NONPOC,29,100,ALL_SESSIONS,3atr,true
R05,C02_ACTIVITY_MATCHED,0,0,0,0,0,0,33.33,33.33,33.33,0,0,0,3,5,0,0,5,NONPOC,3,100,RTH_AFTERNOON,3atr,true
R05,C02_ACTIVITY_MATCHED,0,0,50,50,0,0,0,0,0,0,0,0,2,29,0,0,1,NONPOC,2,100,RTH_MIDDAY,3atr,true
R05,C02_ACTIVITY_MATCHED,12.5,0,12.5,16.67,8.33,8.33,4.17,20.83,12.5,4.17,0,0,24,5,0,0,23,NONPOC,24,100,RTH_MORNING,3atr,true
ALL_ANCHORS,TREATED,9.41,5.45,22.28,13.86,9.9,10.4,4.46,3.96,13.86,6.44,0,0,202,5,0,0,65,NONPOC,202,100,ALL_SESSIONS,3atr,false
ALL_ANCHORS,TREATED,7.5,22.5,7.5,25,2.5,2.5,0,0,5,27.5,0,0,40,63,0,0,229,NONPOC,40,100,ETH_EVENING,3atr,false
ALL_ANCHORS,TREATED,26.67,13.33,26.67,20,0,0,0,0,0,13.33,0,0,15,18,0,0,102,NONPOC,15,100,ETH_OVERNIGHT,3atr,true
