anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C01_NEUTRAL,2,0.72,279,277,27.3,4,1,15,76,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,44,44,112.6,52,21,181,227,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,1,4.17,24,23,62.3,45,12,82,135,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C01_NEUTRAL,1,9.09,11,10,2.9,2,0,2,8,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,23,23,4.8,3,1,4,11,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C01_NEUTRAL,0,0,72,72,9.8,5,2,11,16,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,105,105,3.1,1,0,4,9,NONPOC,RTH_OPEN,false
R01,C01_NEUTRAL,1,1.47,68,67,95.4,45,16,135,217,NONPOC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,44,44,112.6,52,21,181,227,NONPOC,ETH_EVENING,false
R01,C01_NEUTRAL,1,4.17,24,23,62.3,45,12,82,135,NONPOC,ETH_OVERNIGHT,true
R02,C01_NEUTRAL,1,1.79,56,55,6.5,3,1,9,15,NONPOC,ALL_SESSIONS,false
R02,C01_NEUTRAL,1,25,4,3,6.7,8,1,8,8,NONPOC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,3,3,11.7,15,1,15,15,NONPOC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,12,12,9,4,1,9,11,NONPOC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,37,37,5.2,3,1,7,11,NONPOC,RTH_OPEN,false
R03,C01_NEUTRAL,0,0,71,71,2.8,1,0,4,7,NONPOC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,4,4,1.8,2,0,2,2,NONPOC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,13,13,2.3,2,1,4,4,NONPOC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,8,8,4.5,6,1,7,8,NONPOC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,46,46,2.8,1,0,3,7,NONPOC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,35,35,1.3,0,0,1,3,NONPOC,ALL_SESSIONS,false
R04,C01_NEUTRAL,0,0,3,3,0.7,0,0,0,0,NONPOC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,3,3,5,4,0,4,4,NONPOC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,7,7,3.3,1,0,2,9,NONPOC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,22,22,0.3,0,0,0,0,NONPOC,RTH_OPEN,true
R05,C01_NEUTRAL,0,0,49,49,11.7,6,3,11,22,NONPOC,ALL_SESSIONS,false
R05,C01_NEUTRAL,0,0,4,4,7.8,5,0,5,5,NONPOC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,45,45,12,6,3,11,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,2,0.73,274,272,29.9,3,1,16,60,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,48,48,123,60,21,119,389,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,1,5.26,19,18,65.3,32,9,59,187,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,13,13,5.5,3,0,5,7,NONPOC,RTH_AFTERNOON,true
