anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C01_NEUTRAL,7.59,5.13,41.07,7.37,10.49,7.14,5.36,4.24,9.15,2.01,2,0.45,448,2,0,0,36,NONPOC,446,99.55,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,6.25,37.5,8.33,29.17,0,2.08,4.17,2.08,2.08,8.33,0,0,48,43,0,0,228,NONPOC,48,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,14.81,18.52,7.41,29.63,3.7,0,0,0,11.11,11.11,1,3.7,27,29,0,0,136,NONPOC,26,96.3,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,C01_NEUTRAL,5.26,0,36.84,5.26,15.79,15.79,5.26,0,10.53,0,1,5.26,19,2,0,0,9,NONPOC,18,94.74,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,9.09,0,33.33,3.03,18.18,6.06,9.09,15.15,6.06,0,0,0,33,2,0,0,6,NONPOC,33,100,RTH_MIDDAY,3atr,false
ALL_ANCHORS,C01_NEUTRAL,15.62,0,16.67,5.21,15.62,12.5,5.21,8.33,18.75,2.08,0,0,96,5,0,0,16,NONPOC,96,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,3.56,0,64,1.78,9.78,6.22,5.78,2.22,6.67,0,0,0,225,1,0,0,6,NONPOC,225,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,9.33,30.67,8,29.33,1.33,1.33,2.67,1.33,5.33,9.33,1,1.33,75,41,0,0,217,NONPOC,74,98.67,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,6.25,37.5,8.33,29.17,0,2.08,4.17,2.08,2.08,8.33,0,0,48,43,0,0,228,NONPOC,48,100,ETH_EVENING,3atr,false
R01,C01_NEUTRAL,14.81,18.52,7.41,29.63,3.7,0,0,0,11.11,11.11,1,3.7,27,29,0,0,136,NONPOC,26,96.3,ETH_OVERNIGHT,3atr,true
R02,C01_NEUTRAL,12.05,0,24.1,6.02,18.07,7.23,13.25,6.02,12.05,0,1,1.2,83,4,0,0,16,NONPOC,82,98.8,ALL_SESSIONS,3atr,false
R02,C01_NEUTRAL,14.29,0,28.57,14.29,14.29,0,0,0,14.29,0,1,14.29,7,9,0,0,12,NONPOC,6,85.71,RTH_AFTERNOON,3atr,true
