anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,89,46.84,190,15,NONPOC,166,87.37,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,9,52.94,17,15,NONPOC,15,88.24,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,61.54,13,15,NONPOC,11,84.62,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,60,5,15,NONPOC,4,80,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,55.56,18,15,NONPOC,16,88.89,RTH_MIDDAY,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,21,45.65,46,15,NONPOC,38,82.61,RTH_MORNING,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,38,41.76,91,15,NONPOC,82,90.11,RTH_OPEN,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,17,56.67,30,15,NONPOC,26,86.67,ALL_SESSIONS,3atr,false
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,9,52.94,17,15,NONPOC,15,88.24,ETH_EVENING,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,61.54,13,15,NONPOC,11,84.62,ETH_OVERNIGHT,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,13,30.23,43,15,NONPOC,38,88.37,ALL_SESSIONS,3atr,false
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,2,15,NONPOC,2,100,RTH_AFTERNOON,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,20,5,15,NONPOC,4,80,RTH_MIDDAY,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,66.67,9,15,NONPOC,7,77.78,RTH_MORNING,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,22.22,27,15,NONPOC,25,92.59,RTH_OPEN,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,30,49.18,61,15,NONPOC,52,85.25,ALL_SESSIONS,3atr,false
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,100,2,15,NONPOC,1,50,RTH_AFTERNOON,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,57.14,7,15,NONPOC,6,85.71,RTH_MIDDAY,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,50,6,15,NONPOC,5,83.33,RTH_MORNING,3atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,21,45.65,46,15,NONPOC,40,86.96,RTH_OPEN,3atr,false
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,16,57.14,28,15,NONPOC,25,89.29,ALL_SESSIONS,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,15,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,15,NONPOC,1,100,RTH_MIDDAY,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,37.5,8,15,NONPOC,6,75,RTH_MORNING,3atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,11,61.11,18,15,NONPOC,17,94.44,RTH_OPEN,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,13,46.43,28,15,NONPOC,25,89.29,ALL_SESSIONS,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,80,5,15,NONPOC,5,100,RTH_MIDDAY,3atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,9,39.13,23,15,NONPOC,20,86.96,RTH_MORNING,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,79,52.67,150,15,NONPOC,131,87.33,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,4,30.77,13,15,NONPOC,12,92.31,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,5,41.67,12,15,NONPOC,10,83.33,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,3,37.5,8,15,NONPOC,6,75,RTH_AFTERNOON,3atr,true
