anchor,arm,intervals,median_minutes_to_first_touch,population,retouches,total_touches,touch_rate_pct,touched,touches_per_touched_interval,underpowered,untouched
ALL_ANCHORS,C01_NEUTRAL,710,16,NONPOC,3950,4398,63.1,448,9.82,false,262
R01,C01_NEUTRAL,152,95,NONPOC,1069,1144,49.34,75,15.25,false,77
R02,C01_NEUTRAL,152,23,NONPOC,660,743,54.61,83,8.95,false,69
R03,C01_NEUTRAL,202,12,NONPOC,1109,1253,71.29,144,8.7,false,58
R04,C01_NEUTRAL,104,12,NONPOC,722,803,77.88,81,9.91,false,23
R05,C01_NEUTRAL,100,13,NONPOC,390,455,65,65,7,false,35
ALL_ANCHORS,C02_ACTIVITY_MATCHED,665,16,NONPOC,3816,4247,64.81,431,9.85,false,234
R01,C02_ACTIVITY_MATCHED,146,92,NONPOC,1118,1191,50,73,16.32,false,73
R02,C02_ACTIVITY_MATCHED,146,29,NONPOC,614,698,57.53,84,8.31,false,62
R03,C02_ACTIVITY_MATCHED,182,10,NONPOC,1022,1154,72.53,132,8.74,false,50
R04,C02_ACTIVITY_MATCHED,98,7,NONPOC,681,760,80.61,79,9.62,false,19
R05,C02_ACTIVITY_MATCHED,93,11,NONPOC,381,444,67.74,63,7.05,false,30
ALL_ANCHORS,TREATED,710,15,NONPOC,4003,4454,63.52,451,9.88,false,259
R01,TREATED,152,120,NONPOC,1107,1183,50,76,15.57,false,76
R02,TREATED,152,24,NONPOC,638,722,55.26,84,8.6,false,68
R03,TREATED,202,12,NONPOC,1117,1261,71.29,144,8.76,false,58
R04,TREATED,104,8,NONPOC,744,825,77.88,81,10.19,false,23
R05,TREATED,100,13,NONPOC,397,463,66,66,7.02,false,34
ALL_ANCHORS,C01_NEUTRAL,992,3,POC,5683,6413,73.59,730,8.78,false,262
R01,C01_NEUTRAL,186,72,POC,1484,1596,60.22,112,14.25,false,74
R02,C01_NEUTRAL,186,22,POC,753,865,60.22,112,7.72,false,74
R03,C01_NEUTRAL,211,1,POC,1129,1301,81.52,172,7.56,false,39
R04,C01_NEUTRAL,231,1,POC,1331,1529,85.71,198,7.72,false,33
R05,C01_NEUTRAL,178,5,POC,986,1122,76.4,136,8.25,false,42
ALL_ANCHORS,C02_ACTIVITY_MATCHED,802,5,POC,4540,5116,71.82,576,8.88,false,226
R01,C02_ACTIVITY_MATCHED,155,90,POC,1140,1230,58.06,90,13.67,false,65
R02,C02_ACTIVITY_MATCHED,155,27,POC,565,654,57.42,89,7.35,false,66
R03,C02_ACTIVITY_MATCHED,152,1,POC,864,990,82.89,126,7.86,false,26
R04,C02_ACTIVITY_MATCHED,188,1,POC,1143,1301,84.04,158,8.23,false,30
R05,C02_ACTIVITY_MATCHED,152,4,POC,828,941,74.34,113,8.33,false,39
ALL_ANCHORS,TREATED,992,4,POC,5685,6415,73.59,730,8.79,false,262
R01,TREATED,186,80,POC,1506,1619,60.75,113,14.33,false,73
R02,TREATED,186,22,POC,739,850,59.68,111,7.66,false,75
R03,TREATED,211,1,POC,1108,1280,81.52,172,7.44,false,39
R04,TREATED,231,1,POC,1343,1540,85.28,197,7.82,false,34
R05,TREATED,178,3,POC,989,1126,76.97,137,8.22,false,41
