arm,node_class,nodes,tapped,tap_rate_pct
CONTROL_WIDTH_MATCHED,HIGH_VOLUME_NODE,27087,1706,6.3
CONTROL_WIDTH_MATCHED,LOW_VOLUME_NODE,33326,813,2.44
TREATED,HIGH_VOLUME_NODE,27087,1714,6.33
TREATED,LOW_VOLUME_NODE,33326,796,2.39
