profile_id,source_session_date,profile_family,allocation_method,bin_ratio,prominence_threshold,bin_index,production_weight,independent_weight,exact_difference,result
e5cf78aff9faf953119d,2025-01-06,prior_rth,uniform_bar_volume,0.05,1.5,28863,127.35294117647058823529411764705882352941176470588235,127.35294117647058823529411764705882352941176470588235,0.00000000000000000000000000000000000000000000000000,PASS
e5cf78aff9faf953119d,2025-01-06,prior_rth,uniform_bar_volume,0.05,1.5,29029,1502.37367439354984996506639964324444447964197291653024,1502.37367439354984996506639964324444447964197291653024,0.00000000000000000000000000000000000000000000000000,PASS
e5cf78aff9faf953119d,2025-01-06,prior_rth,uniform_bar_volume,0.05,1.5,29153,2643.36205638131396807786167285983941123863422775886040,2643.36205638131396807786167285983941123863422775886040,0.00000000000000000000000000000000000000000000000000,PASS
e5cf78aff9faf953119d,2025-01-06,prior_rth,uniform_bar_volume,0.05,1.5,29195,62.88888888888888888888888888888888888888888888888887,62.88888888888888888888888888888888888888888888888887,0.00000000000000000000000000000000000000000000000000,PASS
4c1fa3d5fd7282c1fe1c,2025-01-06,prior_rth,tpo_range_occupancy,0.20,2.5,6660,1,1,0,PASS
4c1fa3d5fd7282c1fe1c,2025-01-06,prior_rth,tpo_range_occupancy,0.20,2.5,6699,35,35,0,PASS
4c1fa3d5fd7282c1fe1c,2025-01-06,prior_rth,tpo_range_occupancy,0.20,2.5,6727,54,54,0,PASS
4c1fa3d5fd7282c1fe1c,2025-01-06,prior_rth,tpo_range_occupancy,0.20,2.5,6737,1,1,0,PASS
e8611231b90882d6dcd6,2025-01-07,prior_rth,uniform_bar_volume,0.10,2.0,28372,78.86666666666666666666666666666666666666666666666667,78.86666666666666666666666666666666666666666666666667,0.00000000000000000000000000000000000000000000000000,PASS
e8611231b90882d6dcd6,2025-01-07,prior_rth,uniform_bar_volume,0.10,2.0,28588,3329.28894911269155483094931241763721443312060232893976,3329.28894911269155483094931241763721443312060232893976,0.00000000000000000000000000000000000000000000000000,PASS
e8611231b90882d6dcd6,2025-01-07,prior_rth,uniform_bar_volume,0.10,2.0,28723,1382.57132837683454133064261697748324613096322423296632,1382.57132837683454133064261697748324613096322423296632,0.00000000000000000000000000000000000000000000000000,PASS
e8611231b90882d6dcd6,2025-01-07,prior_rth,uniform_bar_volume,0.10,2.0,29074,131.18750000000000000000000000000000000000000000000000,131.18750000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,PASS
f58fb2e9ebd8af598c74,2025-01-07,prior_rth,tpo_range_occupancy,0.10,2.0,28372,1,1,0,PASS
f58fb2e9ebd8af598c74,2025-01-07,prior_rth,tpo_range_occupancy,0.10,2.0,28588,74,74,0,PASS
f58fb2e9ebd8af598c74,2025-01-07,prior_rth,tpo_range_occupancy,0.10,2.0,28723,26,26,0,PASS
f58fb2e9ebd8af598c74,2025-01-07,prior_rth,tpo_range_occupancy,0.10,2.0,29074,1,1,0,PASS
f39f79862c552ce2d813,2025-01-06,full_overnight,uniform_bar_volume,0.05,2.0,85913,2.40000000000000000000000000000000000000000000000000,2.40000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,PASS
f39f79862c552ce2d813,2025-01-06,full_overnight,uniform_bar_volume,0.05,2.0,86477,30.62233922939805292746469217057452351569998628822159,30.62233922939805292746469217057452351569998628822159,0.00000000000000000000000000000000000000000000000000,PASS
f39f79862c552ce2d813,2025-01-06,full_overnight,uniform_bar_volume,0.05,2.0,86936,560.75223761540615372664696533991844881580477785443071,560.75223761540615372664696533991844881580477785443071,0.00000000000000000000000000000000000000000000000000,PASS
f39f79862c552ce2d813,2025-01-06,full_overnight,uniform_bar_volume,0.05,2.0,87041,9.05263157894736842105263157894736842105263157894728,9.05263157894736842105263157894736842105263157894728,0.00000000000000000000000000000000000000000000000000,PASS
2bfada665e3443175ce5,2025-01-06,full_overnight,tpo_range_occupancy,0.20,2.0,21478,2,2,0,PASS
2bfada665e3443175ce5,2025-01-06,full_overnight,tpo_range_occupancy,0.20,2.0,21510,79,79,0,PASS
2bfada665e3443175ce5,2025-01-06,full_overnight,tpo_range_occupancy,0.20,2.0,21619,7,7,0,PASS
2bfada665e3443175ce5,2025-01-06,full_overnight,tpo_range_occupancy,0.20,2.0,21760,1,1,0,PASS
9daafd8371352694e88f,2025-01-07,full_overnight,uniform_bar_volume,0.10,2.0,43322,17.45454545454545454545454545454545454545454545454545,17.45454545454545454545454545454545454545454545454545,0.00000000000000000000000000000000000000000000000000,PASS
9daafd8371352694e88f,2025-01-07,full_overnight,uniform_bar_volume,0.10,2.0,43458,568.28297087282580990835222852341228137849950782493808,568.28297087282580990835222852341228137849950782493808,0.00000000000000000000000000000000000000000000000000,PASS
9daafd8371352694e88f,2025-01-07,full_overnight,uniform_bar_volume,0.10,2.0,43509,856.35855570822662741099807396380472071728610641816576,856.35855570822662741099807396380472071728610641816576,0.00000000000000000000000000000000000000000000000000,PASS
9daafd8371352694e88f,2025-01-07,full_overnight,uniform_bar_volume,0.10,2.0,43594,20.86363636363636363636363636363636363636363636363644,20.86363636363636363636363636363636363636363636363644,0.00000000000000000000000000000000000000000000000000,PASS
daca9a202b0de9710b7d,2025-01-07,full_overnight,tpo_range_occupancy,0.10,2.0,43322,1,1,0,PASS
daca9a202b0de9710b7d,2025-01-07,full_overnight,tpo_range_occupancy,0.10,2.0,43458,48,48,0,PASS
daca9a202b0de9710b7d,2025-01-07,full_overnight,tpo_range_occupancy,0.10,2.0,43510,94,94,0,PASS
daca9a202b0de9710b7d,2025-01-07,full_overnight,tpo_range_occupancy,0.10,2.0,43594,1,1,0,PASS
bc24d839c246b4af41b3,2025-01-06,midnight,uniform_bar_volume,0.10,2.0,86082,3.61904761904761904761904761904761904761904761904762,3.61904761904761904761904761904761904761904761904762,0.00000000000000000000000000000000000000000000000000,PASS
bc24d839c246b4af41b3,2025-01-06,midnight,uniform_bar_volume,0.10,2.0,86562,62.69535701672166484606841926215284382778133935600050,62.69535701672166484606841926215284382778133935600050,0.00000000000000000000000000000000000000000000000000,PASS
bc24d839c246b4af41b3,2025-01-06,midnight,uniform_bar_volume,0.10,2.0,86936,560.75223761540615372664696533991844881580477785443071,560.75223761540615372664696533991844881580477785443071,0.00000000000000000000000000000000000000000000000000,PASS
bc24d839c246b4af41b3,2025-01-06,midnight,uniform_bar_volume,0.10,2.0,87041,9.05263157894736842105263157894736842105263157894728,9.05263157894736842105263157894736842105263157894728,0.00000000000000000000000000000000000000000000000000,PASS
4f271b791d5514216cd9,2025-01-06,midnight,tpo_range_occupancy,0.10,2.0,86082,1,1,0,PASS
4f271b791d5514216cd9,2025-01-06,midnight,tpo_range_occupancy,0.10,2.0,86562,11,11,0,PASS
4f271b791d5514216cd9,2025-01-06,midnight,tpo_range_occupancy,0.10,2.0,86932,58,58,0,PASS
4f271b791d5514216cd9,2025-01-06,midnight,tpo_range_occupancy,0.10,2.0,87041,1,1,0,PASS
b53cd090587d79f71912,2025-01-07,midnight,uniform_bar_volume,0.10,2.0,86644,8.86153846153846153846153846153846153846153846153846,8.86153846153846153846153846153846153846153846153846,0.00000000000000000000000000000000000000000000000000,PASS
b53cd090587d79f71912,2025-01-07,midnight,uniform_bar_volume,0.10,2.0,86916,173.90199633686804637720504507681874366353136834360009,173.90199633686804637720504507681874366353136834360009,0.00000000000000000000000000000000000000000000000000,PASS
