anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C01_NEUTRAL,6.19,2.65,46.02,7.08,10.18,3.98,5.31,4.42,10.18,3.54,0,0,226,2,1,0.44,27,NONPOC,225,99.56,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,4,20,8,16,8,0,0,0,16,28,0,0,25,34,0,0,146,NONPOC,25,100,ETH_EVENING,3atr,true
ALL_ANCHORS,C01_NEUTRAL,21.43,7.14,14.29,28.57,14.29,0,0,0,7.14,7.14,0,0,14,15,0,0,45,NONPOC,14,100,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,C01_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,100,,NONPOC,0,0,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,8.33,0,8.33,0,8.33,16.67,16.67,8.33,33.33,0,0,0,12,5,0,0,8,NONPOC,12,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C01_NEUTRAL,10.87,0,19.57,10.87,6.52,10.87,8.7,13.04,19.57,0,0,0,46,5,0,0,20,NONPOC,46,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,3.12,0,70.31,2.34,11.72,1.56,4.69,2.34,3.91,0,0,0,128,1,0,0,5,NONPOC,128,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,10.26,15.38,10.26,20.51,10.26,0,0,0,12.82,20.51,0,0,39,27,0,0,146,NONPOC,39,100,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,4,20,8,16,8,0,0,0,16,28,0,0,25,34,0,0,146,NONPOC,25,100,ETH_EVENING,3atr,true
R01,C01_NEUTRAL,21.43,7.14,14.29,28.57,14.29,0,0,0,7.14,7.14,0,0,14,15,0,0,45,NONPOC,14,100,ETH_OVERNIGHT,3atr,true
R02,C01_NEUTRAL,14.81,0,48.15,11.11,14.81,0,3.7,0,7.41,0,0,0,27,2,0,0,20,NONPOC,27,100,ALL_SESSIONS,3atr,true
R02,C01_NEUTRAL,0,0,0,0,0,0,100,0,0,0,0,0,1,4,0,0,4,NONPOC,1,100,RTH_MIDDAY,3atr,true
R02,C01_NEUTRAL,15.38,0,50,11.54,15.38,0,0,0,7.69,0,0,0,26,2,0,0,20,NONPOC,26,100,RTH_OPEN,3atr,true
R03,C01_NEUTRAL,1.35,0,58.11,1.35,10.81,2.7,8.11,6.76,9.46,0,0,0,74,1,1,1.35,6,NONPOC,73,98.65,ALL_SESSIONS,3atr,false
R03,C01_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,100,,NONPOC,0,0,RTH_AFTERNOON,3atr,true
R03,C01_NEUTRAL,0,0,0,0,0,25,25,0,50,0,0,0,4,8,0,0,8,NONPOC,4,100,RTH_MIDDAY,3atr,true
R03,C01_NEUTRAL,10,0,20,10,10,10,0,20,20,0,0,0,10,5,0,0,11,NONPOC,10,100,RTH_MORNING,3atr,true
R03,C01_NEUTRAL,0,0,69.49,0,11.86,0,8.47,5.08,5.08,0,0,0,59,1,0,0,4,NONPOC,59,100,RTH_OPEN,3atr,false
R04,C01_NEUTRAL,3.7,0,74.07,0,7.41,7.41,1.85,3.7,1.85,0,0,0,54,1,0,0,3,NONPOC,54,100,ALL_SESSIONS,3atr,false
