anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
R05,C01_NEUTRAL,1,100,1,0,,,,,,POC,OUT_OF_SESSION,true
R05,C01_NEUTRAL,0,0,2,2,12,13,11,11,11,POC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,4,4,18.5,13,7,13,13,POC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,21,21,7.3,4,2,8,13,POC,RTH_MORNING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,120,120,20.6,4,0,15,59,POC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,25,25,68.4,51,21,113,128,POC,ETH_EVENING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,4,4,76.5,47,0,47,47,POC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,6,6,12.2,10,0,10,12,POC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,9,9,9.7,9,5,16,16,POC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,35,35,6,3,1,6,15,POC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,41,41,2.1,1,0,2,4,POC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,0,0,29,29,69.6,47,13,113,130,POC,ALL_SESSIONS,true
R01,C02_ACTIVITY_MATCHED,0,0,25,25,68.4,51,21,113,128,POC,ETH_EVENING,true
R01,C02_ACTIVITY_MATCHED,0,0,4,4,76.5,47,0,47,47,POC,ETH_OVERNIGHT,true
R02,C02_ACTIVITY_MATCHED,0,0,16,16,4.8,2,1,4,9,POC,ALL_SESSIONS,true
R02,C02_ACTIVITY_MATCHED,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R02,C02_ACTIVITY_MATCHED,0,0,5,5,9,2,1,12,12,POC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,10,10,3.1,4,1,4,5,POC,RTH_OPEN,true
R03,C02_ACTIVITY_MATCHED,0,0,24,24,3.8,1,0,4,9,POC,ALL_SESSIONS,true
R03,C02_ACTIVITY_MATCHED,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R03,C02_ACTIVITY_MATCHED,0,0,2,2,10.5,16,5,5,5,POC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,6,6,3.8,2,0,2,4,POC,RTH_MORNING,true
R03,C02_ACTIVITY_MATCHED,0,0,15,15,3.2,0,0,2,4,POC,RTH_OPEN,true
R04,C02_ACTIVITY_MATCHED,0,0,23,23,1.5,0,0,1,2,POC,ALL_SESSIONS,true
R04,C02_ACTIVITY_MATCHED,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R04,C02_ACTIVITY_MATCHED,0,0,2,2,5,9,1,1,1,POC,RTH_MIDDAY,true
R04,C02_ACTIVITY_MATCHED,0,0,4,4,4,1,0,1,1,POC,RTH_MORNING,true
R04,C02_ACTIVITY_MATCHED,0,0,16,16,0.6,0,0,1,2,POC,RTH_OPEN,true
R05,C02_ACTIVITY_MATCHED,0,0,28,28,9.1,6,3,10,17,POC,ALL_SESSIONS,true
R05,C02_ACTIVITY_MATCHED,0,0,3,3,24.3,12,10,12,12,POC,RTH_AFTERNOON,true
R05,C02_ACTIVITY_MATCHED,0,0,5,5,11.2,9,9,16,16,POC,RTH_MIDDAY,true
